record_id,title,section_priority,has_exact_when_reading_todo,has_template_evidence_block,no_current_cycle_verification,has_concrete_numeric_evidence_signal,claim_use_status,a1_status,note_file
1,Attention Is All You Need,S2 / P0,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0001.md
2,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,S2 / P0,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0002.md
3,Language Models are Few-Shot Learners,S2 / P0,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0003.md
4,Self-Consistency Improves Chain of Thought Reasoning in Language Models,S2 / P0,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0004.md
5,Training language models to follow instructions with human feedback,S2 / P0,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0005.md
6,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,S2 / P0,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0006.md
7,Improving Language Understanding by Generative Pre-Training,S2 / P1,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0007.md
8,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,S2 / P1,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0008.md
9,Finetuned Language Models Are Zero-Shot Learners,S2 / P1,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0009.md
11,Large Language Models are Zero-Shot Reasoners,S2 / P1,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0011.md
12,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,S2 / P1,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0012.md
13,Visual Instruction Tuning,S2 / P1,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0013.md
14,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,S2 / P1,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0014.md
17,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",S2 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0017.md
19,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,S2 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0019.md
20,Training Compute-Optimal Large Language Models,S2 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0020.md
21,Flamingo: a Visual Language Model for Few-Shot Learning,S2 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0021.md
22,Emergent Abilities of Large Language Models,S2 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0022.md
23,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,S2 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0023.md
24,Language Is Not All You Need: Aligning Perception with Language Models,S2 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0024.md
25,Multimodal Chain-of-Thought Reasoning in Language Models,S2 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0025.md
26,PaLM-E: An Embodied Multimodal Language Model,S2 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0026.md
27,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,S2 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0027.md
28,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,S2 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0028.md
30,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",S2 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0030.md
34,To CoT or Not to CoT? Chain-of-Thought Helps Mainly on Math and Symbolic Reasoning,S2 / P2,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0034.md
38,"A Survey of Frontiers in LLM Reasoning: Inference Scaling, Learning to Reason, and Agentic Systems",S2 / P2,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0038.md
39,How Can We Know What Language Models Know?,S2 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0039.md
40,How Much Knowledge Can You Pack Into the Parameters of a Language Model?,S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0040.md
41,Experience Grounds Language,S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0041.md
44,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,S2 / P3,False,False,False,True,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0044.md
46,Adapting Language Models to Compress Contexts,S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0046.md
47,AlpacaFarm: A Simulation Framework for Methods that Learn from Human Feedback,S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0047.md
48,Random-Access Infinite Context Length for Transformers,S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0048.md
49,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0049.md
50,Chain-of-Verification Reduces Hallucination in Large Language Models,S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0050.md
51,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0051.md
55,A Critical Evaluation of AI Feedback for Aligning Large Language Models,S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0055.md
57,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0057.md
58,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,S2 / P3,False,False,False,False,paper-specific note ready for synthesis,complete-or-needs-manual-quality-check,notes/papers/0058.md
