record_id,title,priority,initial_note_quality,audit_computed_quality,reason,action
74,The Rise and Potential of Large Language Model Based Agents A Survey,P1,A,A,Selected for deeper priority-adjusted remediation after manual review,Created or replaced with structured note
176,PlanBench An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,P3,B,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
181,Knowledge-enhanced Agents for Interactive Text Games,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
182,Language Models Meet World Models: Embodied Experiences Enhance Language Models,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
183,Automatically Correcting Large Language Models: Surveying the Landscape of Diverse Automated Correction Strategies,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
186,CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
187,AdaRefiner: Refining Decisions of Language Models with Adaptive Feedback,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
188,AlphaZero-Like Tree-Search can Guide Large Language Model Decoding and Training,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
189,AutoAgents: A Framework for Automatic Agent Generation,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
190,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
191,L2MAC: Large Language Model Automatic Computer for Extensive Code Generation,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
192,Lemur: Harmonizing Natural Language and Code for Language Agents,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
193,LLaMA-Rider: Spurring Large Language Models to Explore the Open World,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
194,Automating the Generation of Prompts for LLM-based Action Choice in PDDL Planning,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
196,JARVIS-1: Open-World Multi-Task Agents With Memory-Augmented Multimodal Language Models,P3,C,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
198,"A Survey on LLM-Based Multi-Agent Systems: Workflow, Infrastructure, and Challenges",P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
200,Self-Discover- Large Language Models Self-Compose Reasoning Structures,P3,B,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
201,"Position: Towards Unified Alignment Between Agents, Humans, and Environment",P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
202,A Human-Inspired Reading Agent with Gist Memory of Very Long Contexts,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
203,When is Tree Search Useful for LLM Planning? It Depends on the Discriminator,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
204,"WorldCoder, a Model-Based LLM Agent: Building World Models by Writing Code and Interacting with the Environment",P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
207,Can LLM-Augmented Autonomous Agents Cooperate? An Evaluation of Their Cooperative Capabilities Through Melting Pot,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
208,Language Guided Exploration for RL Agents in Text Environments,P3,Missing,Missing,No reliable paper-specific note matched the register title,Created or replaced with structured note
