record_id,title,machine_verdict,decision,final_status,final_venue,final_identifier,evidence_url,evidence_note,adjudicated_by,adjudicated_at,corpus_action
75,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PMLR,Archival published,Proceedings of ICML,https://proceedings.mlr.press/v235/zhou24r.html,https://proceedings.mlr.press/v235/zhou24r.html,Official Proceedings of Machine Learning Research page lists the exact paper in the ICML proceedings. The automated downgrade was false because the resolver selected the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; set/retain PMLR proceedings identifier
282,SeeAct: GPT-4V__ision__ is a Generalist Web Agent if Grounded,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PMLR,Archival published,Proceedings of ICML,https://proceedings.mlr.press/v235/zheng24e.html,https://proceedings.mlr.press/v235/zheng24e.html,Official Proceedings of Machine Learning Research page lists the exact paper in the ICML proceedings. The automated downgrade was false because the resolver selected the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; set/retain PMLR proceedings identifier
307,Cradle Empowering Foundation Agents Towards General Computer Control,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PMLR,Archival published,Proceedings of the 42nd International Conference on Machine Learning,https://proceedings.mlr.press/v267/tan25h.html,https://proceedings.mlr.press/v267/tan25h.html,Official Proceedings of Machine Learning Research page lists the exact paper in the ICML proceedings. The automated downgrade was false because the resolver selected the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; set/retain PMLR proceedings identifier
340,WebLINX: Real-World Website Navigation with Multi-Turn Dialogue,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PMLR,Archival published,Proceedings of ICML,https://proceedings.mlr.press/v235/lu24e.html,https://proceedings.mlr.press/v235/lu24e.html,Official Proceedings of Machine Learning Research page lists the exact paper in the ICML proceedings. The automated downgrade was false because the resolver selected the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; set/retain PMLR proceedings identifier
344,WorkArena: How Capable Are Web Agents at Solving Common Knowledge Work Tasks,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PMLR,Archival published,Proceedings of ICML,https://proceedings.mlr.press/v235/drouin24a.html,https://proceedings.mlr.press/v235/drouin24a.html,Official Proceedings of Machine Learning Research page lists the exact paper in the ICML proceedings. The automated downgrade was false because the resolver selected the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; set/retain PMLR proceedings identifier
373,TravelPlanner A Benchmark for Real-World Planning with Language Agents,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PMLR,Archival published,Proceedings of ICML,https://proceedings.mlr.press/v235/xie24j.html,https://proceedings.mlr.press/v235/xie24j.html,Official Proceedings of Machine Learning Research page lists the exact paper in the ICML proceedings. The automated downgrade was false because the resolver selected the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; set/retain PMLR proceedings identifier
383,Windows Agent Arena Evaluating Multi-Modal OS Agents at Scale,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PMLR,Archival published,Proceedings of ICML,https://proceedings.mlr.press/v267/bonatti25a.html,https://proceedings.mlr.press/v267/bonatti25a.html,Official Proceedings of Machine Learning Research page lists the exact paper in the ICML proceedings. The automated downgrade was false because the resolver selected the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; set/retain PMLR proceedings identifier
385,Agent-as-a-Judge Evaluate Agents with Agents,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PMLR,Archival published,Proceedings of ICML,https://proceedings.mlr.press/v267/zhuge25a.html,https://proceedings.mlr.press/v267/zhuge25a.html,Official Proceedings of Machine Learning Research page lists the exact paper in the ICML proceedings. The automated downgrade was false because the resolver selected the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; set/retain PMLR proceedings identifier
425,AgentWebBench: Benchmarking Multi-Agent Coordination in Agentic Web,DOWNGRADE,RETAIN_ARCHIVAL_ACCEPTED_OFFICIAL_ICML,Archival accepted,ICML 2026 (43rd International Conference on Machine Learning),https://icml.cc/ (2026 proceedings); 2604.10938,https://icml.cc/Downloads/2026,Official ICML 2026 downloads/accepted-paper listing contains the exact title AgentWebBench: Benchmarking Multi-Agent Coordination in Agentic Web. Retain archival accepted status pending canonical PMLR proceedings metadata.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival accepted; normalize ICML 2026 venue; retain/add official ICML evidence
437,Pix2Struct: Screenshot Parsing as Pretraining for Visual Language Understanding,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PMLR,Archival published,Proceedings of ICML,https://proceedings.mlr.press/v202/lee23g.html,https://proceedings.mlr.press/v202/lee23g.html,Official Proceedings of Machine Learning Research page lists the exact paper in the ICML proceedings. The automated downgrade was false because the resolver selected the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; set/retain PMLR proceedings identifier
