record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,b2_bucket
7,Improving Language Understanding by Generative Pre-Training,Archival published,OpenAI Blog,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_SUSPICIOUS_VENUE
30,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=hSyW5go0v8,openreview.net,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
34,To CoT or Not to CoT? Chain-of-Thought Helps Mainly on Math and Symbolic Reasoning,Archival published,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=4hSaB8l9cB,openreview.net,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
60,"Are Long-LLMs A Necessity For Long-Context Tasks: Hongjin Qian1,2, Zheng Liu2∗, Peitian Zhang1, Kelong Mao1, Yujia Zhou1",Preprint/technical report,arXiv preprint arXiv:2405.15318,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
68,ReAct: Synergizing Reasoning and Acting in Language Models,Archival published,International Conference on Learning Representations,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_NO_DIRECT_ID
98,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-World APIs,Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=dHng2O0Jjr,openreview.net,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
115,"Large Language Model based Multi-Agents: A Survey of Progress and Challenges Taicheng Guo1 , Xiuying Chen2 , Yaqi Wang3∗, Ruidi Chang , Shichao Pei4 ,",Archival published,"IJCAI 2024 (Survey Track), pp. 8048–8057",https://doi.org/10.24963/ijcai.2024/890; 2402.01680,doi.org,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
118,PreAct: Predicting Future in ReAct Enhances Agent’s Planning Ability,Preprint/technical report,arXiv / preprint,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
127,THE LANDSCAPE OF EMERGING AI AGENT ARCHITECTURES,Preprint/technical report,arXiv (tech report),2404.11584,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
146,Agentic Reasoning: Reasoning LLMs with Tools for the Deep Research,Preprint/technical report,arXiv / preprint,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
