record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,venue_family
569,Learn-by-interact: A Data-Centric Framework for Self-Adaptive Agents in Realistic Environments,Archival published,International Conference on Learning Representations,arXiv:2501.10893,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Learn-by-interact: A Data-Centric Framework for Self-Adaptive Agents in Realistic Environments,arXiv,2025,10.48550/arxiv.2501.10893,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2501.10893,no,B1,PENDING,,,,,OPENREVIEW_ICLR
595,AgentSynth: Scalable Task Generation for Generalist Computer-Use Agents,Archival published,International Conference on Learning Representations,arXiv:2506.14205,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AgentSynth: Scalable Task Generation for Generalist Computer-Use Agents,arXiv,2025,10.48550/arxiv.2506.14205,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2506.14205,no,B1,PENDING,,,,,OPENREVIEW_ICLR
615,"Don’t Just Fine-tune the Agent, Tune the Environment",Archival published,International Conference on Learning Representations,arXiv:2510.10197,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,"Don't Just Fine-tune the Agent, Tune the Environment",arXiv,2025,10.48550/arxiv.2510.10197,datacite:arxiv | openalex:arxiv,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2510.10197,no,B1,PENDING,,,,,OPENREVIEW_ICLR
619,Search Self-play: Pushing the Frontier of Agent Capability without Supervision,Archival published,International Conference on Learning Representations,arXiv:2510.18821,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Search Self-play: Pushing the Frontier of Agent Capability without Supervision,arXiv,2025,10.48550/arxiv.2510.18821,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2510.18821,no,B1,PENDING,,,,,OPENREVIEW_ICLR
631,Digi-Q: Learning VLM Q-Value Functions for Training Device-Control Agents,Archival published,International Conference on Learning Representations,arXiv:2502.15760,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Digi-Q: Learning Q-Value Functions for Training Device-Control Agents,arXiv,2025,10.48550/arxiv.2502.15760,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2502.15760,no,B1,PENDING,,,,,OPENREVIEW_ICLR
650,Just Do It!- Computer-Use Agents Exhibit Blind Goal-Directedness,Archival published,International Conference on Learning Representations,arXiv:2510.01670,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Just Do It!? Computer-Use Agents Exhibit Blind Goal-Directedness,arXiv,2025,10.48550/arxiv.2510.01670,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2510.01670,no,B1,PENDING,,,,,OPENREVIEW_ICLR
667,SCRIBES: Web-Scale Script-Based Semi-Structured Data Extraction with Reinforcement Learning,Archival published,International Conference on Learning Representations,arXiv:2510.01832,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,SCRIBES: Web-Scale Script-Based Semi-Structured Data Extraction with Reinforcement Learning,arXiv,2025,10.48550/arxiv.2510.01832,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2510.01832,no,B1,PENDING,,,,,OPENREVIEW_ICLR
702,EIA: Environmental Injection Attack on Generalist Web Agents for Privacy Leakage,Archival published,International Conference on Learning Representations,arXiv:2409.11295,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,EIA: Environmental Injection Attack on Generalist Web Agents for Privacy Leakage,arXiv,2024,10.48550/arxiv.2409.11295,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2409.11295,no,B1,PENDING,,,,,OPENREVIEW_ICLR
708,RedTeamCUA Realistic Adversarial Testing of Computer-Use Agents in Hybrid Web-OS Environments,Archival published,International Conference on Learning Representations,arXiv:2503.05197,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,RedTeamCUA: Realistic Adversarial Testing of Computer-Use Agents in Hybrid Web-OS Environments,,2025,10.48550/arxiv.2505.21936,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_ICLR
716,HackWorld: EVALUATING COMPUTER-USE AGENTS ON EXPLOITING WEB APPLICATION VULNERABILITIES,Archival published,International Conference on Learning Representations,arXiv:2501.16500,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,HackWorld: Evaluating Computer-Use Agents on Exploiting Web Application Vulnerabilities,,2025,10.48550/arxiv.2510.12200,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_ICLR
728,Identifying the Risks of LM Agents with an LM-Emulated Sandbox,Archival published,International Conference on Learning Representations,arXiv:2309.15817,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Identifying the Risks of LM Agents with an LM-Emulated Sandbox,arXiv,2023,10.48550/arxiv.2309.15817,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2309.15817,no,B1,PENDING,,,,,OPENREVIEW_ICLR
