record_id,title,register_status,register_venue,register_identifier,resolved_via,title_match,found_title,found_venue,found_type,found_year,found_doi,openalex_id,candidate_sources,candidate_count,archival_candidate_count,strong_archival_candidate_count,rejected_title_mismatches,archival_evidence,VERDICT,notes
24,Language Is Not All You Need: Aligning Perception with Language Models,Archival published,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e425b75bac5742a008d643826428787c-Abstract-Conference.html,crossref:title,1.0,Language Is Not All You Need: Aligning Perception with Language Models,Advances in Neural Information Processing Systems 36,proceedings-article,2023,10.52202/075280-3155,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 72096-72109 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',OK_ARCHIVAL,
72,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,Preprint/technical report,arXiv preprint arXiv:2305.10601,https://doi.org/10.48550/arXiv.2305.10601,crossref:title,1.0,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,Advances in Neural Information Processing Systems 36,proceedings-article,2023,10.52202/075280-0517,,datacite:arxiv | openalex:doi | openalex:title | openalex:title | crossref:title,5,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 11809-11822 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 36'
121,UFO A UI-Focused Agent for Windows OS Interaction,Preprint/technical report,arXiv / Microsoft technical report,,crossref:title,1.0,UFO: A UI-Focused Agent for Windows OS Interaction,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),proceedings-article,2025,10.18653/v1/2025.naacl-long.26,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 597-622 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)'
169,"Large Language Model Agents: A Comprehensive Survey on Architectures, Capabilities, and Applications",Archival published,"Preprints.org, not peer-reviewed version",,crossref:title,1.0,"Large Language Model Agents: A Comprehensive Survey on Architectures, Capabilities, and Applications",,posted-content,2025,10.20944/preprints202512.2119.v1,,openalex:title | crossref:title,2,0,0,,crossref:title: crossref type=posted-content (preprint),DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
217,A Human-Like Reasoning Framework for Multi-Phases Planning Task with Large Language Models,Preprint/technical report,,2405.18208,datacite:arxiv,1.0,A Human-Like Reasoning Framework for Multi-Phases Planning Task with Large Language Models,arXiv,Preprint,2024,10.48550/arxiv.2405.18208,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2405.18208,OK_PREPRINT,
265,AlphaApollo: Orchestrating Foundation Models and Professional Tools into a Self-Evolving System for Deep Agentic Reasoning,Workshop/conditional,Lifelong Agent Workshop at ICLR 2026,,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
315,The Dawn of GUI Agent A Preliminary Case Study with Claude 3.5 Computer Use,Preprint/technical report,arXiv preprint / under review,,openalex:title,1.0,The Dawn of GUI Agent: A Preliminary Case Study with Claude 3.5 Computer Use,,preprint,2024,10.48550/arxiv.2411.10323,https://openalex.org/W4404569668,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
363,MMInA Benchmarking Multihop Multimodal Internet Agents,Archival published,Findings of ACL,https://doi.org/10.18653/v1/2025.findings-acl.703,crossref:doi,1.0,MMInA: Benchmarking Multihop Multimodal Internet Agents,Findings of the Association for Computational Linguistics: ACL 2025,proceedings-article,2025,10.18653/v1/2025.findings-acl.703,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 13682-13697 | crossref:doi: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2025',OK_ARCHIVAL,
411,MCP-AgentBench: Evaluating Real-World Language Agent Performance with MCP-Mediated Tools,Archival published,"AAAI 2026 (Proc. 40th AAAI Conf., pp. 30888–30896, Singapore)",https://ojs.aaai.org/index.php/AAAI/article/view/40347; 2509.09734,crossref:title,1.0,MCP-AgentBench: Evaluating Real-World Language Agent Performance with MCP-Mediated Tools,Proceedings of the AAAI Conference on Artificial Intelligence,journal-article,2026,10.1609/aaai.v40i37.40347,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title | crossref:title,5,2,2,,openalex:title: location[conference]='Proceedings of the AAAI Conference on Artificial Intelligence' | openalex:title: DOI prefix 10.1609 (AAAI) | openalex:title: pages 30888-30896 | crossref:title: crossref type=journal-article venue='Proceedings of the AAAI Conference on Artificial Intelligence',OK_ARCHIVAL,
461,CAAP: Context-Aware Action Planning Prompting to Solve Computer Tasks with Front-End UI Only,Preprint/technical report,arXiv,2406.06947,datacite:arxiv,1.0,CAAP: Context-Aware Action Planning Prompting to Solve Computer Tasks with Front-End UI Only,arXiv,Preprint,2024,10.48550/arxiv.2406.06947,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2406.06947,OK_PREPRINT,
509,AgentProg: Empowering Long-Horizon GUI Agents with Program-Guided Context Management,Preprint/technical report,,2512.10371,crossref:title,1.0,AgentProg: Empowering Long-Horizon GUI Agents with Program-guided Context Management,"Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services",proceedings-article,2026,10.1145/3745756.3809245,,datacite:arxiv | openalex:title | crossref:title,3,2,2,,"openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 883-910 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services'",UPGRADE,"register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services'"
558,AutoGuide: Automated Generation and Selection of Context-Aware Guidelines for Large Language Model Agents,Archival published,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",https://doi.org/10.52202/079017-3811,crossref:doi,1.0,AutoGuide: Automated Generation and Selection of Context-Aware Guidelines for Large Language Model Agents,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-3811,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:doi: pages 119919-119948 | crossref:doi: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',OK_ARCHIVAL,
606,SEAgent: Self-Evolving Computer Use Agent with Autonomous Learning from Experience,Preprint/technical report,arXiv (ICLR 2026 submission withdrawn),2508.04700,datacite:arxiv,1.0,SEAgent: Self-Evolving Computer Use Agent with Autonomous Learning from Experience,arXiv,Preprint,2025,10.48550/arxiv.2508.04700,,datacite:arxiv,1,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2508.04700,OK_PREPRINT,
654,How do Visual Attributes Influence Web Agents: A Comprehensive Evaluation of User Interface Design Factors,Preprint/technical report,arXiv preprint arXiv:2601.21961,,crossref:title,1.0,How do Visual Attributes Influence Web Agents? A Comprehensive Evaluation of User Interface Design Factors,Findings of the Association for Computational Linguistics: ACL 2026,proceedings-article,2026,10.18653/v1/2026.findings-acl.1723,,openalex:title | openalex:title | openalex:title | crossref:title,4,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 34520-34536 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2026',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: ACL 2026'
