record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,title_similarity,normalized_title_exact,strong_archival_doi,triage_bucket
42,A Systematic Evaluation of Large Language Models of Code,Workshop/conditional,Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming (Deep Learning for Code Workshop at ICLR 2022),,,no,UPGRADE,register 'Workshop/conditional'; strong archival evidence 'Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming',A systematic evaluation of large language models of code,Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming,2022,10.1145/3520312.3534862,openalex:title | openalex:title | openalex:title | openalex:title | openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 1-10 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
72,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,Preprint/technical report,arXiv preprint arXiv:2305.10601,https://doi.org/10.48550/arXiv.2305.10601,doi.org,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 36',Tree of Thoughts: Deliberate Problem Solving with Large Language Models,Advances in Neural Information Processing Systems 36,2023,10.52202/075280-0517,datacite:arxiv | openalex:doi | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 11809-11822 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
81,Language Models can Solve Computer Tasks,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 36',Language Models can Solve Computer Tasks,Advances in Neural Information Processing Systems 36,2023,10.52202/075280-1723,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 39648-39677 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
83,TaskMatrix.AI Completing Tasks by Connecting Foundation Models with Millions of APIs,Preprint/technical report,arXiv / Microsoft technical report,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Intelligent Computing',TaskMatrix.AI: Completing Tasks by Connecting Foundation Models with Millions of APIs,Intelligent Computing,2024,10.34133/icomputing.0063,openalex:title | openalex:title | crossref:title,openalex:title: location[journal]='Intelligent Computing' | crossref:title: crossref type=journal-article venue='Intelligent Computing',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
91,AdaPlanner Adaptive Planning from Feedback with Language Models,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 36',AdaPlanner: Adaptive Planning from Feedback with Language Models,Advances in Neural Information Processing Systems 36,2023,10.52202/075280-2537,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 58202-58245 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
99,AutoDroid: LLM-powered Task Automation in Android,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 30th Annual International Conference on Mobile Computing and Networking',AutoDroid: LLM-powered Task Automation in Android,Proceedings of the 30th Annual International Conference on Mobile Computing and Networking,2024,10.1145/3636534.3649379,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 543-557 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 30th Annual International Conference on Mobile Computing and Networking',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
107,AgentTuning Enabling Generalized Agent Abilities for LLMs,Unconfirmed,ACL 2024 / Findings-style venue likely; verify before final citation,,,no,UPGRADE,register 'Unconfirmed'; strong archival evidence 'Findings of the Association for Computational Linguistics ACL 2024',AgentTuning: Enabling Generalized Agent Abilities for LLMs,Findings of the Association for Computational Linguistics ACL 2024,2024,10.18653/v1/2024.findings-acl.181,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 3053-3077 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics ACL 2024',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
112,ADaPT As-Needed Decomposition and Planning with Language Models,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: NAACL 2024',ADaPT: As-Needed Decomposition and Planning with Language Models,Findings of the Association for Computational Linguistics: NAACL 2024,2024,10.18653/v1/2024.findings-naacl.264,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 4226-4252 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: NAACL 2024',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
113,Agent Lumos Unified and Modular Training for Open-Source Language Agents,Preprint/technical report,arXiv / preprint,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',Agent Lumos: Unified and Modular Training for Open-Source Language Agents,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2024,10.18653/v1/2024.acl-long.670,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 12380-12403 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
121,UFO A UI-Focused Agent for Windows OS Interaction,Preprint/technical report,arXiv / Microsoft technical report,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)',UFO: A UI-Focused Agent for Windows OS Interaction,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),2025,10.18653/v1/2025.naacl-long.26,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 597-622 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
