record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,b2_bucket
30,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=hSyW5go0v8,openreview.net,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
34,To CoT or Not to CoT? Chain-of-Thought Helps Mainly on Math and Symbolic Reasoning,Archival published,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=4hSaB8l9cB,openreview.net,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
98,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-World APIs,Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=dHng2O0Jjr,openreview.net,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
115,"Large Language Model based Multi-Agents: A Survey of Progress and Challenges Taicheng Guo1 , Xiuying Chen2 , Yaqi Wang3∗, Ruidi Chang , Shichao Pei4 ,",Archival published,"IJCAI 2024 (Survey Track), pp. 8048–8057",https://doi.org/10.24963/ijcai.2024/890; 2402.01680,doi.org,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
201,"Position: Towards Unified Alignment Between Agents, Humans, and Environment",Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 56251-56275",https://proceedings.mlr.press/v235/yang24p.html,proceedings.mlr.press,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
336,A Comprehensive Survey of Agents for Computer Use,Archival published,Journal of Artificial Intelligence Research,https://doi.org/10.1613/jair.1.17178,doi.org,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
389,A3: Android Agent Arena for Mobile GUI Agents,Archival published,Findings of ACL 2026,https://aclanthology.org/2026.findings-acl.184/; 2501.01149,aclanthology.org,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
413,NEWSAGENT: Benchmarking Multimodal Agents as Journalists with Real-World Newswriting Tasks,Archival published,Findings of ACL 2026 (volume live; ISBN 979-8-89176-395-1),https://aclanthology.org/volumes/2026.findings-acl/; 2509.00446,aclanthology.org,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
449,UGround: Unified Visual Grounding for GUI Agents,Archival published,International Conference on Learning Representations,https://openreview.net/forum?id=kxnoqaisCT,openreview.net,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
491,HEAP: HIERARCHICAL POLICIES FOR,Archival accepted,COLM 2024,https://openreview.net/forum?id=5fg0VtRxgi; 2310.03720,openreview.net,yes,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,ARCHIVAL_WITH_DIRECT_ID
