record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,b2_bucket
502,InfiGUI-R1 Advancing Multimodal GUI Agents from Reactive Actors to Deliberative Reasoners,Preprint/technical report,arXiv preprint arXiv:2504.14239,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
510,Web World Models,Preprint/technical report,arXiv preprint arXiv:2512.23676,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
523,NNetscape Navigator: Complex Demonstrations for Web Agents Without a Demonstrator,Preprint/technical report,arXiv (ICLR 2025 submission withdrawn),2410.02907,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
540,WebExplorer: Explore and Evolve for Training Long-Horizon Web Agents,Preprint/technical report,arXiv preprint arXiv:2509.06501,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
545,Avenir-Web1: Human-Experience-Imitating Multimodal Web Agents with Mixture of Grounding Experts,Preprint/technical report,arXiv preprint arXiv:2602.02468,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
585,ProgRM Build Better GUI Agents with Progress Rewards,Preprint/technical report,arXiv preprint arXiv:2505.18121,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
607,Online Process Reward Learning for Agentic Reinforcement Learning,Preprint/technical report,—,https://arxiv.org/abs/2509.19199; arXiv:2509.19199,arxiv.org,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
620,The Unreasonable Effectiveness of Scaling Agents for Computer Use,Preprint/technical report,arXiv (Simular),2510.02250,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
637,Agent Lightning: Train ANY AI Agents with Reinforcement Learning,Preprint/technical report,arXiv preprint arXiv:2508.03680,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
649,Aegis: Taxonomy and Optimizations for Overcoming Agent-Environment Failures in LLM Agents,Preprint/technical report,arXiv preprint arXiv:2508.19504,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
651,Where LLM Agents Fail and How They Can Learn From Failures,Preprint/technical report,arXiv preprint arXiv:2509.25370,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
653,What Do LLMAgents Know About Their World: Task2Quiz: A Paradigm for Studying Environment Understanding,Preprint/technical report,arXiv preprint arXiv:2601.09503,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
658,VeriLA A Human-Centered Evaluation Framework for Interpretable Verification of LLM Agent Failures,Preprint/technical report,arXiv preprint arXiv:2503.12651,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
664,NEXT-EVAL: Next Evaluation of Traditional and LLM Web Data Record Extraction,Preprint/technical report,arXiv preprint arXiv:2505.17125,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
670,ScrapeGraphAI-100k: A Large-Scale Dataset for LLM-Based Web Information Extraction,Preprint/technical report,arXiv preprint arXiv:2602.15189,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
