run_index,agent,site,rep,architecture,architecture_name,model_key,model,status,strict_field_f1,strict_field_precision,strict_field_recall,field_tp,field_fp,field_fn,record_precision,record_recall,record_f1,matched_records,predicted_records,gold_records,record_completeness,schema_adherence,schema_error_count,non_schema_field_count,selector_pair_coverage,quote_coverage,verified_provenance_precision,verified_provenance_recall,supported_field_count,unsupported_field_count,null_rating_accuracy,latency_seconds,input_tokens,output_tokens,browser_actions,tool_actions,task_success,unsupported_value_rate,non_schema_field_rate
1,A2__qwen,site_04,3,A2,Schema-State Ground-and-Verify Agent,qwen,qwen2.5vl:7b,partial_failure,0.9473684210526316,1.0,0.9,36,0,4,1.0,0.9,0.9473684210526316,9,9,10,0.9,1,0,0,1.0,0.75,0.6944444444444444,0.625,25,11,,149.983,39833,11103,0,22,0,0.3055555555555556,0.0
2,A1__gemma,site_04,1,A1,Direct DOM Snapshot Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,40,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,,306.498,171765,23420,0,10,0,0.0,0.0
3,A1__gemma,site_01,2,A1,Direct DOM Snapshot Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,300.133,173868,23352,0,10,0,0.0,0.0
4,A2__kimi,site_02,3,A2,Schema-State Ground-and-Verify Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,39,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,1.0,1.0,1.0,39,0,1.0,311.932,39255,9476,0,22,1,0.0,0.0
5,A3__kimi,site_03,1,A3,Playwright-MCP ReAct Agent,kimi,kimi-k2.6,partial_failure,0.4848484848484849,0.5161290322580645,0.45714285714285713,16,15,19,0.5555555555555556,0.5,0.5263157894736842,5,9,10,0.5,0,4,0,1.0,1.0,0.5161290322580645,0.45714285714285713,16,15,0.8,662.02,138568,19819,26,26,0,0.4838709677419355,0.0
6,A1__qwen,site_02,1,A1,Direct DOM Snapshot Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,12,39,0.0,0.0,0.0,0,3,10,0.0,1,0,0,1.0,0.4166666666666667,0.0,0.0,0,12,0.0,329.809,169817,21968,0,10,0,1.0,0.0
7,A2__kimi,site_01,3,A2,Schema-State Ground-and-Verify Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,39,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,1.0,1.0,1.0,39,0,1.0,262.951,39688,9482,0,23,1,0.0,0.0
8,A2__kimi,site_03,2,A2,Schema-State Ground-and-Verify Agent,kimi,kimi-k2.6,completed,0.5142857142857142,0.5142857142857142,0.5142857142857142,18,17,17,0.5,0.5,0.5,5,10,10,0.5,1,0,0,1.0,1.0,0.5142857142857142,0.5142857142857142,18,17,0.4,217.892,18876,7862,0,20,0,0.4857142857142857,0.0
9,A3__qwen,site_01,2,A3,Playwright-MCP ReAct Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,225.74,459646,12468,39,39,0,0.0,0.0
10,A1__kimi,site_01,3,A1,Direct DOM Snapshot Agent,kimi,kimi-k2.6,completed,0.9873417721518987,0.975,1.0,39,1,0,1.0,1.0,1.0,10,10,10,0.9,1,0,0,1.0,1.0,0.975,1.0,39,1,0.0,379.449,525362,10906,0,10,1,0.025,0.0
11,A3__qwen,site_01,1,A3,Playwright-MCP ReAct Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,225.011,459646,12468,39,39,0,0.0,0.0
12,A3__kimi,site_04,3,A3,Playwright-MCP ReAct Agent,kimi,kimi-k2.6,partial_failure,0.9473684210526316,1.0,0.9,36,0,4,1.0,0.9,0.9473684210526316,9,9,10,0.9,1,0,0,1.0,1.0,0.75,0.675,27,9,,933.818,162884,21715,25,25,0,0.25,0.0
13,A1__kimi,site_03,1,A1,Direct DOM Snapshot Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,35,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,1.0,1.0,1.0,35,0,1.0,392.495,193569,10898,0,10,1,0.0,0.0
14,A1__kimi,site_03,3,A1,Direct DOM Snapshot Agent,kimi,kimi-k2.6,completed,0.9142857142857143,0.9142857142857143,0.9142857142857143,32,3,3,0.9,0.9,0.9,9,10,10,0.9,1,0,0,1.0,1.0,0.9142857142857143,0.9142857142857143,32,3,0.8,346.464,193652,10991,0,10,1,0.08571428571428572,0.0
15,A2__kimi,site_03,3,A2,Schema-State Ground-and-Verify Agent,kimi,kimi-k2.6,completed,0.42857142857142855,0.42857142857142855,0.42857142857142855,15,20,20,0.4,0.4,0.4000000000000001,4,10,10,0.4,1,0,0,1.0,1.0,0.42857142857142855,0.42857142857142855,15,20,0.2,220.406,18766,7795,0,20,0,0.5714285714285714,0.0
16,A2__gemma,site_03,3,A2,Schema-State Ground-and-Verify Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,35,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,527.583,42488,47933,0,20,0,0.0,0.0
17,A2__kimi,site_01,1,A2,Schema-State Ground-and-Verify Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,39,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,1.0,1.0,1.0,39,0,1.0,253.636,39688,9442,0,23,1,0.0,0.0
18,A3__gemma,site_04,2,A3,Playwright-MCP ReAct Agent,gemma,gemma4-131k:latest,partial_failure,0.18181818181818182,1.0,0.1,4,0,36,1.0,0.1,0.18181818181818182,1,1,10,0.1,0,3,0,1.0,1.0,0.75,0.075,3,1,,2021.244,757963,167398,21,21,0,0.25,0.0
19,A3__gemma,site_03,3,A3,Playwright-MCP ReAct Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,35,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,1709.211,553796,146808,21,21,0,0.0,0.0
20,A2__qwen,site_01,3,A2,Schema-State Ground-and-Verify Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,193.362,53951,14227,0,22,0,0.0,0.0
21,A2__gemma,site_04,3,A2,Schema-State Ground-and-Verify Agent,gemma,gemma4-131k:latest,partial_failure,0.5714285714285715,1.0,0.4,16,0,24,1.0,0.4,0.5714285714285715,4,4,10,0.4,1,0,0,1.0,0.8125,0.75,0.3,12,4,,670.359,66895,57782,0,23,0,0.25,0.0
22,A2__kimi,site_02,1,A2,Schema-State Ground-and-Verify Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,39,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,1.0,1.0,1.0,39,0,1.0,297.193,39255,9472,0,22,1,0.0,0.0
23,A2__kimi,site_04,2,A2,Schema-State Ground-and-Verify Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,40,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,1.0,0.75,0.75,30,10,,314.578,39685,11458,0,23,1,0.25,0.0
24,A2__gemma,site_03,1,A2,Schema-State Ground-and-Verify Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,35,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,527.599,42488,47933,0,20,0,0.0,0.0
25,A3__gemma,site_01,3,A3,Playwright-MCP ReAct Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,1904.484,802386,160887,21,21,0,0.0,0.0
26,A3__gemma,site_03,2,A3,Playwright-MCP ReAct Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,35,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,1706.196,553796,146808,21,21,0,0.0,0.0
27,A2__kimi,site_01,2,A2,Schema-State Ground-and-Verify Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,39,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,1.0,1.0,1.0,39,0,1.0,238.811,39688,9442,0,23,1,0.0,0.0
28,A1__gemma,site_03,3,A1,Direct DOM Snapshot Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,35,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,317.63,297978,21220,0,10,0,0.0,0.0
