source,role,access_route,query_set,coverage_window,last_search,language_restriction,field_restriction,gross_records_retrieved,gross_count_status,provenance
Google Scholar / Scholar Labs,direct scholarly search,"Google Scholar; Scholar Labs chat interface",Q1-Q5,2017-April 2026,2026-04 (day not retained),English only,"Default/general search; no explicit title/abstract/keyword field restriction",NR,"Per-source gross hit/export count not preserved; records entered a consolidated identification ledger","author-confirmed 2026-09-13; Google Scholar also named in May 2026 SLR"
Scopus,direct scholarly search,eressources.imist.ma,Q1-Q5,2017-April 2026,2026-04 (day not retained),English only,"Default/general search; no explicit title/abstract/keyword field restriction",NR,"Per-source gross hit/export count not preserved; records entered a consolidated identification ledger","author-confirmed 2026-09-13"
Web of Science,direct scholarly search,eressources.imist.ma,Q1-Q5,2017-April 2026,2026-04 (day not retained),English only,"Default/general search; no explicit title/abstract/keyword field restriction",NR,"Per-source gross hit/export count not preserved; records entered a consolidated identification ledger","author-confirmed 2026-09-13"
ScienceDirect,direct scholarly search,eressources.imist.ma,Q1-Q5,2017-April 2026,2026-04 (day not retained),English only,"Default/general search; no explicit title/abstract/keyword field restriction",NR,"Per-source gross hit/export count not preserved; records entered a consolidated identification ledger","author-confirmed 2026-09-13; named in May 2026 SLR"
SpringerLink,direct scholarly search,eressources.imist.ma,Q1-Q5,2017-April 2026,2026-04 (day not retained),English only,"Default/general search; no explicit title/abstract/keyword field restriction",NR,"Per-source gross hit/export count not preserved; records entered a consolidated identification ledger","author-confirmed 2026-09-13; named in May 2026 SLR"
IEEE Xplore,direct scholarly search,direct,Q1-Q5,2017-April 2026,2026-04 (day not retained),English only,"Default/general search; no explicit title/abstract/keyword field restriction",NR,"Per-source gross hit/export count not preserved; records entered a consolidated identification ledger","author-confirmed 2026-09-13; named in May 2026 SLR"
ACM Digital Library,direct scholarly search,direct,Q1-Q5,2017-April 2026,2026-04 (day not retained),English only,"Default/general search; no explicit title/abstract/keyword field restriction",NR,"Per-source gross hit/export count not preserved; records entered a consolidated identification ledger","author-confirmed 2026-09-13; named in May 2026 SLR"
Semantic Scholar,direct scholarly search,direct,Q1-Q5,2017-April 2026,2026-04 (day not retained),English only,"Default/general search; no explicit title/abstract/keyword field restriction",NR,"Per-source gross hit/export count not preserved; records entered a consolidated identification ledger","author-confirmed 2026-09-13; named in May 2026 SLR"
DBLP,direct scholarly search,direct scholarly interface,Q1-Q5,2017-April 2026,2026-04 (day not retained),English only,"Default/general search; no explicit title/abstract/keyword field restriction",NR,"Per-source gross hit/export count not preserved; records entered a consolidated identification ledger","author-confirmed 2026-09-13; named in May 2026 SLR"
OpenReview,direct scholarly search,direct scholarly interface,Q1-Q5,2017-April 2026,2026-04 (day not retained),English only,"Default/general search; no explicit title/abstract/keyword field restriction",NR,"Per-source gross hit/export count not preserved; records entered a consolidated identification ledger","author-confirmed 2026-09-13; named in May 2026 SLR"
arXiv,supplementary discovery/version verification,"not separately confirmed as a recurring direct-query interface in current author audit",NA,2017-April 2026,NA,English-only review scope,"NA for current source audit",NR,"Earlier May 2026 SLR grouped arXiv with Phase-1 sources; current audit conservatively treats it as supplementary unless direct-use logs are recovered","May 2026 SLR + current audit reconciliation"
ACL Anthology,supplementary discovery/version verification,"not separately confirmed as a recurring direct-query interface in current author audit",NA,2017-April 2026,NA,English-only review scope,"NA for current source audit",NR,"Earlier May 2026 SLR grouped ACL Anthology with Phase-1 sources; current audit conservatively treats it as supplementary unless direct-use logs are recovered","May 2026 SLR + current audit reconciliation"
PMLR,supplementary discovery/version verification,"not separately confirmed as a recurring direct-query interface in current author audit",NA,2017-April 2026,NA,English-only review scope,"NA for current source audit",NR,"Earlier May 2026 SLR grouped PMLR with Phase-1 sources; current audit conservatively treats it as supplementary unless direct-use logs are recovered","May 2026 SLR + current audit reconciliation"
Official conference/journal/publisher pages,supplementary discovery/version verification,official venue/publisher pages,NA,2017-April 2026,2026-04 final version check,English-only review scope,"title/identifier resolution rather than fielded keyword search",NR,"Used for scholarly resolution and version/status checking; not counted as a separate bibliographic database","May 2026 SLR + author-confirmed April 2026 version check"
Curated GitHub repositories,repository-assisted discovery (Phase 2),"README files, Markdown tables, structured literature lists",title harvest + scholarly resolution,2017-April 2026,2026-04 final update,English-only review scope,"not a bibliographic field search",NR,"Candidate titles were normalized/deduplicated then resolved against scholarly records; source-level gross harvest counts were not retained","May 2026 SLR Phase 2"
