record_id,ledger_title,decision,resolution_status,title_similarity,official_title,official_url,previous_evidence_url
9,Finetuned Language Models Are Zero-Shot Learners,RETAIN_ARCHIVAL_OFFICIAL_ICLR,UNRESOLVED,0.0000,,,https://proceedings.iclr.cc/papers/search?q=Finetuned+Language+Models+Are+Zero-Shot+Learners
12,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,RETAIN_ARCHIVAL_OFFICIAL_ICLR,UNRESOLVED,0.0000,,,https://proceedings.iclr.cc/papers/search?q=Least-to-Most+Prompting+Enables+Complex+Reasoning+in+Large+Language+Models
232,Steering Large Language Models between Code Execution and Textual Reasoning,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,Steering Large Language Models between Code Execution and Textual Reasoning,https://proceedings.iclr.cc/paper_files/paper/2025/hash/f763f7c9a6599e14b07add5937d8189c-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=Steering+Large+Language+Models+between+Code+Execution+and+Textual+Reasoning
284,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration,RETAIN_ARCHIVAL_OFFICIAL_ICLR,UNRESOLVED,0.0000,,,https://proceedings.iclr.cc/papers/search?q=Reinforcement+Learning+on+Web+Interfaces+using+Workflow-Guided+Exploration
286,A Real-World WebAgent with Planning Long Context Understanding and Program Synthesis,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,"A Real-World WebAgent with Planning, Long Context Understanding, and Program Synthesis",https://proceedings.iclr.cc/paper_files/paper/2024/hash/e91bf7dfba0477554994c6d64833e9d8-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=A+Real-World+WebAgent+with+Planning+Long+Context+Understanding+and+Program+Synthesis
289,Agent S An Open Agentic Framework that Uses Computers Like a Human,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,Agent S: An Open Agentic Framework that Uses Computers Like a Human,https://proceedings.iclr.cc/paper_files/paper/2025/hash/394c7c30ea87b5c3521b4d9e9d419071-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=Agent+S+An+Open+Agentic+Framework+that+Uses+Computers+Like+a+Human
298,WALT: Web Agents that Learn Tools,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,WALT: Web Agents that Learn Tools,https://proceedings.iclr.cc/paper_files/paper/2026/hash/5b175f9e93873e3a10a6ce43dbb82e05-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=WALT%3A+Web+Agents+that+Learn+Tools
341,AgentBench Evaluating LLMs as Agents,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,AgentBench: Evaluating LLMs as Agents,https://proceedings.iclr.cc/paper_files/paper/2024/hash/e9df36b21ff4ee211a8b71ee8b7e9f57-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=AgentBench+Evaluating+LLMs+as+Agents
342,GAIA a benchmark for General AI Assistants,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,GAIA: a benchmark for General AI Assistants,https://proceedings.iclr.cc/paper_files/paper/2024/hash/25ae35b5b1738d80f1f03a8713e405ec-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=GAIA+a+benchmark+for+General+AI+Assistants
367,ST-WebAgentBench: A Benchmark for Evaluating Safety and Trustworthiness in Web Agents,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,ST-WebAgentBench: A Benchmark for Evaluating Safety and Trustworthiness in Web Agents,https://proceedings.iclr.cc/paper_files/paper/2026/hash/c6c29e590e3c62e37e6b39cdd6baf2e8-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=ST-WebAgentBench%3A+A+Benchmark+for+Evaluating+Safety+and+Trustworthiness+in+Web+Agents
374,AndroidWorld A Dynamic Benchmarking Environment for Autonomous Agents,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,AndroidWorld: A Dynamic Benchmarking Environment for Autonomous Agents,https://proceedings.iclr.cc/paper_files/paper/2025/hash/01a83bc2f2732a58e6aa731e659e7101-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=AndroidWorld+A+Dynamic+Benchmarking+Environment+for+Autonomous+Agents
376,-bench A Benchmark for Tool-Agent-User Interaction in Real-World Domains,RETAIN_ARCHIVAL_OFFICIAL_ICLR,UNRESOLVED,0.0000,,,https://proceedings.iclr.cc/papers/search?q=-bench+A+Benchmark+for+Tool-Agent-User+Interaction+in+Real-World+Domains
381,VisualAgentBench Towards Large Multimodal Models as Visual Foundation Agents,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,VisualAgentBench: Towards Large Multimodal Models as Visual Foundation Agents,https://proceedings.iclr.cc/paper_files/paper/2025/hash/eea71dc576381b88f2a0ca4dedc2140d-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=VisualAgentBench+Towards+Large+Multimodal+Models+as+Visual+Foundation+Agents
384,SPA-Bench: A Comprehensive Benchmark for SmartPhone Agent Evaluation,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,SPA-BENCH: A COMPREHENSIVE BENCHMARK FOR SMARTPHONE AGENT EVALUATION,https://proceedings.iclr.cc/paper_files/paper/2025/hash/9a75f4dd9679aa4ff80a4e6f0a1dc700-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=SPA-Bench%3A+A+Comprehensive+Benchmark+for+SmartPhone+Agent+Evaluation
387,VideoWebArena Evaluating Long Context Multimodal Agents with Video Understanding Web Tasks,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,VideoWebArena:  Evaluating Long Context Multimodal Agents with Video Understanding Web Tasks,https://proceedings.iclr.cc/paper_files/paper/2025/hash/5b555804d495321df2e3208cc27f4fbc-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=VideoWebArena+Evaluating+Long+Context+Multimodal+Agents+with+Video+Understanding+Web+Tasks
415,DRBench: A Realistic Benchmark for Enterprise Deep Research,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,DRBench: A Realistic Benchmark for Enterprise Deep Research,https://proceedings.iclr.cc/paper_files/paper/2026/hash/0ba520d93c3df592c83a611961314c98-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=DRBench%3A+A+Realistic+Benchmark+for+Enterprise+Deep+Research
444,OS-ATLAS: A Foundation Action Model for Generalist GUI Agents,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,0.9831,OS-ATLAS: Foundation Action Model for Generalist GUI Agents,https://proceedings.iclr.cc/paper_files/paper/2025/hash/0faa4bc5f522076947a030273629d4fe-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=OS-ATLAS%3A+A+Foundation+Action+Model+for+Generalist+GUI+Agents
453,LCoW: Learning to Contextualize Web Pages for Enhanced Decision Making by LLM Agents,RETAIN_ARCHIVAL_OFFICIAL_ICLR,UNRESOLVED,0.0000,,,https://proceedings.iclr.cc/papers/search?q=LCoW%3A+Learning+to+Contextualize+Web+Pages+for+Enhanced+Decision+Making+by+LLM+Agents
462,GUI-World A Video Benchmark and Dataset for Multimodal GUI-oriented Understanding,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,GUI-World: A Video Benchmark and Dataset for Multimodal GUI-oriented Understanding,https://proceedings.iclr.cc/paper_files/paper/2025/hash/3926df1a00c9abf056df7bcf253d026a-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=GUI-World+A+Video+Benchmark+and+Dataset+for+Multimodal+GUI-oriented+Understanding
483,AGENTOCCAM: A Simple Yet Strong Baseline for LLM-Based Web Agents,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,AgentOccam: A Simple Yet Strong Baseline for LLM-Based Web Agents,https://proceedings.iclr.cc/paper_files/paper/2025/hash/f2c6e459b95694a24ac69c469a4ee746-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=AGENTOCCAM%3A+A+Simple+Yet+Strong+Baseline+for+LLM-Based+Web+Agents
497,ExACT Teaching AI Agents to Explore with Reflective-MCTS and Exploratory Learning,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,ExACT: Teaching AI Agents to Explore with Reflective-MCTS and Exploratory Learning,https://proceedings.iclr.cc/paper_files/paper/2025/hash/a3b893ba1de12f76020b03f7ae8e1afd-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=ExACT+Teaching+AI+Agents+to+Explore+with+Reflective-MCTS+and+Exploratory+Learning
517,WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,https://proceedings.iclr.cc/paper_files/paper/2025/hash/c66e1fcc9691aae706250638f36f681b-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=WebRL%3A+Training+LLM+Web+Agents+via+Self-Evolving+Online+Curriculum+Reinforcement+Learning
518,Multimodal Web Navigation with Instruction-Finetuned Foundation Models,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,Multimodal Web Navigation with Instruction-Finetuned Foundation Models,https://proceedings.iclr.cc/paper_files/paper/2024/hash/7ef7d8359036afd8c2378d82c21058a4-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=Multimodal+Web+Navigation+with+Instruction-Finetuned+Foundation+Models
529,AgentTrek Agent Trajectory Synthesis via Guiding Replay with Web Tutorials,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,AgentTrek: Agent Trajectory Synthesis via Guiding Replay with Web Tutorials,https://proceedings.iclr.cc/paper_files/paper/2025/hash/c681fb2bf1d785fbc766f3ea14758aab-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=AgentTrek+Agent+Trajectory+Synthesis+via+Guiding+Replay+with+Web+Tutorials
530,AgentRefine Enhancing Agent Generalization through Refinement Tuning,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,AgentRefine: Enhancing Agent Generalization through Refinement Tuning,https://proceedings.iclr.cc/paper_files/paper/2025/hash/a3cc50126338b175e56bb3cad134db0b-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=AgentRefine+Enhancing+Agent+Generalization+through+Refinement+Tuning
538,Go-Browse: Training Web Agents with Structured Exploration,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,Go-Browse: Training Web Agents with Structured Exploration,https://proceedings.iclr.cc/paper_files/paper/2026/hash/e0c50c0e78db8d9d881c79cac775e499-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=Go-Browse%3A+Training+Web+Agents+with+Structured+Exploration
554,WebFactory: Automated Compression of Foundational Language Intelligence into Grounded Web Agents,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,WebFactory: Automated Compression of Foundational Language Intelligence into Grounded Web Agents,https://proceedings.iclr.cc/paper_files/paper/2026/hash/d560f94c582033e6d8eb0c97cdd4f721-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=WebFactory%3A+Automated+Compression+of+Foundational+Language+Intelligence+into+Grounded+Web+Agents
569,Learn-by-interact: A Data-Centric Framework for Self-Adaptive Agents in Realistic Environments,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,Learn-by-interact: A Data-Centric Framework For Self-Adaptive Agents in Realistic Environments,https://proceedings.iclr.cc/paper_files/paper/2025/hash/dd745a0c4f91fe91866fe6788be9cc28-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=Learn-by-interact%3A+A+Data-Centric+Framework+for+Self-Adaptive+Agents+in+Realistic+Environments
595,AgentSynth: Scalable Task Generation for Generalist Computer-Use Agents,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,AgentSynth: Scalable Task Generation for Generalist Computer-Use Agents,https://proceedings.iclr.cc/paper_files/paper/2026/hash/fb0f9005938c5a80b1114a42156e99e2-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=AgentSynth%3A+Scalable+Task+Generation+for+Generalist+Computer-Use+Agents
615,"Don’t Just Fine-tune the Agent, Tune the Environment",RETAIN_ARCHIVAL_OFFICIAL_ICLR,UNRESOLVED,0.0000,,,https://proceedings.iclr.cc/papers/search?q=Don%E2%80%99t+Just+Fine-tune+the+Agent%2C+Tune+the+Environment
619,Search Self-play: Pushing the Frontier of Agent Capability without Supervision,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,Search Self-Play: Pushing the Frontier of Agent Capability without Supervision,https://proceedings.iclr.cc/paper_files/paper/2026/hash/6ac12f42db406e6be14d669884e73212-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=Search+Self-play%3A+Pushing+the+Frontier+of+Agent+Capability+without+Supervision
631,Digi-Q: Learning VLM Q-Value Functions for Training Device-Control Agents,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,Digi-Q: Learning VLM Q-Value Functions for Training Device-Control Agents,https://proceedings.iclr.cc/paper_files/paper/2025/hash/519abe71ee55aac4fe821bbd731c6645-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=Digi-Q%3A+Learning+VLM+Q-Value+Functions+for+Training+Device-Control+Agents
650,Just Do It!- Computer-Use Agents Exhibit Blind Goal-Directedness,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,Just Do It!? Computer-Use Agents Exhibit Blind Goal-Directedness,https://proceedings.iclr.cc/paper_files/paper/2026/hash/ea7623ff02edffe68866f88da2667592-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=Just+Do+It%21-+Computer-Use+Agents+Exhibit+Blind+Goal-Directedness
667,SCRIBES: Web-Scale Script-Based Semi-Structured Data Extraction with Reinforcement Learning,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,SCRIBES: Web-Scale Script-Based Semi-Structured Data Extraction with Reinforcement Learning,https://proceedings.iclr.cc/paper_files/paper/2026/hash/d8af89af081e3e3b52fca7c92bd6ccab-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=SCRIBES%3A+Web-Scale+Script-Based+Semi-Structured+Data+Extraction+with+Reinforcement+Learning
702,EIA: Environmental Injection Attack on Generalist Web Agents for Privacy Leakage,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,EIA: ENVIRONMENTAL INJECTION ATTACK ON GENERALIST WEB AGENTS FOR PRIVACY LEAKAGE,https://proceedings.iclr.cc/paper_files/paper/2025/hash/a73474c359ed523e6cd3174ed29a4d56-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=EIA%3A+Environmental+Injection+Attack+on+Generalist+Web+Agents+for+Privacy+Leakage
708,RedTeamCUA Realistic Adversarial Testing of Computer-Use Agents in Hybrid Web-OS Environments,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,RedTeamCUA: Realistic Adversarial Testing of Computer-Use Agents in Hybrid Web-OS Environments,https://proceedings.iclr.cc/paper_files/paper/2026/hash/505ca7558b83126389727d08f2366b72-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=RedTeamCUA+Realistic+Adversarial+Testing+of+Computer-Use+Agents+in+Hybrid+Web-OS+Environments
716,HackWorld: EVALUATING COMPUTER-USE AGENTS ON EXPLOITING WEB APPLICATION VULNERABILITIES,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,HackWorld: Evaluating Computer-Use Agents on Exploiting Web Application Vulnerabilities,https://proceedings.iclr.cc/paper_files/paper/2026/hash/7baa48bc166aa2013d78cbdc15010530-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=HackWorld%3A+EVALUATING+COMPUTER-USE+AGENTS+ON+EXPLOITING+WEB+APPLICATION+VULNERABILITIES
728,Identifying the Risks of LM Agents with an LM-Emulated Sandbox,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,Identifying the Risks of LM Agents with an LM-Emulated Sandbox,https://proceedings.iclr.cc/paper_files/paper/2024/hash/7274ed909a312d4d869cc328ad1c5f04-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=Identifying+the+Risks+of+LM+Agents+with+an+LM-Emulated+Sandbox
744,Agent Security Bench (ASB)- Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,https://proceedings.iclr.cc/paper_files/paper/2025/hash/5750f91d8fb9d5c02bd8ad2c3b44456b-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=Agent+Security+Bench+%28ASB%29-+Formalizing+and+Benchmarking+Attacks+and+Defenses+in+LLM-based+Agents
746,Multimodal Situational Safety,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,Multimodal Situational Safety,https://proceedings.iclr.cc/paper_files/paper/2025/hash/1cb57fcf7ff3f6d37eebae5becc9ea6d-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=Multimodal+Situational+Safety
748,AgentHarm A Benchmark for Measuring Harmfulness of LLM Agents,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,https://proceedings.iclr.cc/paper_files/paper/2025/hash/c493d23af93118975cdbc32cbe7323f5-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=AgentHarm+A+Benchmark+for+Measuring+Harmfulness+of+LLM+Agents
787,MCP SECURITY BENCH (MSB)- BENCHMARKING ATTACKS AGAINST MODEL CONTEXT PROTOCOL IN LLM AGENTS,RETAIN_ARCHIVAL_OFFICIAL_ICLR,OFFICIAL_EXACT,1.0000,MCP Security Bench (MSB): Benchmarking Attacks Against Model Context Protocol in LLM Agents,https://proceedings.iclr.cc/paper_files/paper/2026/hash/5fc47800ee5b30b8777fdd30abcaaf3b-Abstract-Conference.html,https://proceedings.iclr.cc/papers/search?q=MCP+SECURITY+BENCH+%28MSB%29-+BENCHMARKING+ATTACKS+AGAINST+MODEL+CONTEXT+PROTOCOL+IN+LLM+AGENTS
