record_id,title,candidate_type,reason_not_full_contract,counterexample_to_G1
666,"A Systematic Review of Web Scraping: Techniques, LLM-Enhanced Approaches, Performance Metrics, and Legal-Ethical Issues",survey/background,"Broad review, not an evaluated extraction system; cannot satisfy an end-to-end six-requirement contract.",NO
671,"Automating Web Data Collection: Challenges, Solutions, and Python-Based Strategies for Effective Web Scraping",classical scraping background,"Descriptive Python scraping guidance; no LLM agent, unfamiliar-site transfer protocol, field provenance, or complete dataset contract.",NO
673,ProductAgent: Benchmarking Conversational Product Search Agent with Asking Clarification Questions,conversational retrieval,Clarification and product retrieval over a fixed product corpus; not arbitrary schema-guided live-Web extraction and no field-level provenance or dataset-completeness evaluation.,NO
684,Reagent: Converting Ordinary Webpages into Interactive Software Agents,historical interactive Web system,Predates LLM agents and assumes structured page regions; no modern schema/provenance/unsupported-value/cross-site extraction contract.,NO
685,"DataAgent: Evaluating Large Language Models' Ability to Answer Zero-Shot, Natural Language Queries",data-analysis agent,"Assumes the dataset is already available; no live-Web navigation, source provenance, or Web dataset assembly.",NO
687,AutoDCWorkflow: LLM-based Data Cleaning Workflow Auto-Generation and Benchmark,post-extraction data cleaning,Operates after data acquisition on curated tables; no live-Web navigation or field-to-source provenance.,NO
688,DataLab: A Unified Platform for LLM-Powered Business Intelligence,enterprise BI/data agent,"Assumes internal data, schemas, and lineage; focuses preparation/analysis/visualization rather than open-Web extraction.",NO
690,AutoPrep: Natural Language Question-Aware Data Preparation with a Multi-Agent Framework,table preparation agent,"Works after a table is available; no live-Web extraction, provenance, site transfer, or complete collection assembly.",NO
797,Generalizability of Large Language Model-Based Agents: A Comprehensive Survey,generalizability survey,"Conceptual survey and evaluation framework, not an evaluated extraction system.",NO
799,CowPilot: A Framework for Autonomous and Human-Agent Collaborative Web Navigation,human-in-the-loop navigation,"Improves navigation through sparse human intervention; no schema-bound extraction, field provenance, or complete dataset assembly.",NO
801,Agent A/B: Automated and Scalable A/B Testing on Live Websites with Interactive LLM Agents,UX simulation/A-B testing,"Uses live-Web agents for behavioral experiments, not schema-guided data extraction with provenance/completeness guarantees.",NO
811,The Behavioral Fabric of LLM-Powered GUI Agents: Human Values and Interaction Outcomes,value-sensitive GUI evaluation,Evaluates value-sensitive trajectories in a bounded testbed; not an extraction pipeline and does not implement the six-requirement contract.,NO
