record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,venue_family
9,Finetuned Language Models Are Zero-Shot Learners,Archival published,International Conference on Learning Representations,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Finetuned Language Models Are Zero-Shot Learners,,2021,10.48550/arxiv.2109.01652,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_ICLR
12,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,Archival published,International Conference on Learning Representations,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,,2022,10.48550/arxiv.2205.10625,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_ICLR
232,Steering Large Language Models between Code Execution and Textual Reasoning,Archival published,ICLR 2025,"proceedings.iclr.cc (2025, OpenReview 5X5Z7Ffrjb); 2410.03524",,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Steering Large Language Models between Code Execution and Textual Reasoning,arXiv,2024,10.48550/arxiv.2410.03524,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.03524,no,B1,PENDING,,,,,OPENREVIEW_ICLR
284,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration,Archival published,International Conference on Learning Representations,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Reinforcement Learning on Web Interfaces Using Workflow-Guided Exploration,,2018,10.48550/arxiv.1802.08802,openalex:title | openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_ICLR
286,A Real-World WebAgent with Planning Long Context Understanding and Program Synthesis,Archival published,International Conference on Learning Representations,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,"A Real-World WebAgent with Planning, Long Context Understanding, and Program Synthesis",,2023,10.48550/arxiv.2307.12856,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_ICLR
289,Agent S An Open Agentic Framework that Uses Computers Like a Human,Archival published,International Conference on Learning Representations,arXiv:2410.08164,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Agent S: An Open Agentic Framework that Uses Computers Like a Human,arXiv,2024,10.48550/arxiv.2410.08164,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.08164,no,B1,PENDING,,,,,OPENREVIEW_ICLR
298,WALT: Web Agents that Learn Tools,Archival published,International Conference on Learning Representations,arXiv:2510.01524,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,WALT: Web Agents that Learn Tools,arXiv,2025,10.48550/arxiv.2510.01524,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2510.01524,no,B1,PENDING,,,,,OPENREVIEW_ICLR
341,AgentBench Evaluating LLMs as Agents,Archival published,International Conference on Learning Representations,arXiv:2308.03688,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AgentBench: Evaluating LLMs as Agents,arXiv,2023,10.48550/arxiv.2308.03688,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2308.03688,no,B1,PENDING,,,,,OPENREVIEW_ICLR
342,GAIA a benchmark for General AI Assistants,Archival published,International Conference on Learning Representations,arXiv:2311.12983,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,GAIA: a benchmark for General AI Assistants,arXiv,2023,10.48550/arxiv.2311.12983,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2311.12983,no,B1,PENDING,,,,,OPENREVIEW_ICLR
367,ST-WebAgentBench: A Benchmark for Evaluating Safety and Trustworthiness in Web Agents,Archival published,International Conference on Learning Representations,arXiv:2410.06703,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,ST-WebAgentBench: A Benchmark for Evaluating Safety and Trustworthiness in Web Agents,arXiv,2024,10.48550/arxiv.2410.06703,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.06703,no,B1,PENDING,,,,,OPENREVIEW_ICLR
374,AndroidWorld A Dynamic Benchmarking Environment for Autonomous Agents,Archival published,International Conference on Learning Representations,arXiv:2405.14573,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AndroidWorld: A Dynamic Benchmarking Environment for Autonomous Agents,arXiv,2024,10.48550/arxiv.2405.14573,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2405.14573,no,B1,PENDING,,,,,OPENREVIEW_ICLR
376,-bench A Benchmark for Tool-Agent-User Interaction in Real-World Domains,Archival published,International Conference on Learning Representations,arXiv:2406.12045,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,$τ$-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,arXiv,2024,10.48550/arxiv.2406.12045,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2406.12045,no,B1,PENDING,,,,,OPENREVIEW_ICLR
381,VisualAgentBench Towards Large Multimodal Models as Visual Foundation Agents,Archival published,International Conference on Learning Representations,arXiv:2408.06327,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,VisualAgentBench: Towards Large Multimodal Models as Visual Foundation Agents,arXiv,2024,10.48550/arxiv.2408.06327,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2408.06327,no,B1,PENDING,,,,,OPENREVIEW_ICLR
384,SPA-Bench: A Comprehensive Benchmark for SmartPhone Agent Evaluation,Archival published,International Conference on Learning Representations,arXiv:2410.15164,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,SPA-Bench: A Comprehensive Benchmark for SmartPhone Agent Evaluation,arXiv,2024,10.48550/arxiv.2410.15164,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.15164,no,B1,PENDING,,,,,OPENREVIEW_ICLR
387,VideoWebArena Evaluating Long Context Multimodal Agents with Video Understanding Web Tasks,Archival published,ICLR 2025,"proceedings.iclr.cc (2025, OpenReview unDQOUah0F); 2410.19100",,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,VideoWebArena: Evaluating Long Context Multimodal Agents with Video Understanding Web Tasks,arXiv,2024,10.48550/arxiv.2410.19100,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.19100,no,B1,PENDING,,,,,OPENREVIEW_ICLR
