record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at
22,Emergent Abilities of Large Language Models,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=yzkSU5zdwD,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Emergent Abilities of Large Language Models,,2022,10.48550/arxiv.2206.07682,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
25,Multimodal Chain-of-Thought Reasoning in Language Models,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=y1pPWFVfvR,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Multimodal Chain-of-Thought Reasoning in Language Models,,2025,10.59350/90sh1-hbs94,openalex:title | openalex:title | openalex:title | crossref:title | crossref:title | crossref:title | crossref:title,crossref:title: crossref type=posted-content (preprint),no,A2,PENDING,,,,
38,A Survey of Frontiers in LLM Reasoning Inference Scaling Learning to Reason and Agentic Systems,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=frontierslLMreasoning,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,"A Survey of Frontiers in LLM Reasoning: Inference Scaling, Learning to Reason, and Agentic Systems",,2025,10.48550/arxiv.2504.09037,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
44,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,Archival published,ICLR 2023,https://openreview.net/forum?id=3Pf3Wg6o-A4,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,,2022,10.48550/arxiv.2205.09712,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
49,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",https://openreview.net/forum?id=pTHfApDakA,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,,2023,10.48550/arxiv.2308.00436,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
65,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-Adaptive Planning Agent,Archival accepted,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=VvDEuyVXkG,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-adaptive Planning Agent,,2024,10.48550/arxiv.2411.02937,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
94,Large Language Models as Tool Makers,Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=qV83K9d5WB,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Large Language Models as Tool Makers,,2023,10.48550/arxiv.2305.17126,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
103,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Oral",https://openreview.net/forum?id=VtmBAGCN7o,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,,2023,10.48550/arxiv.2308.00352,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
186,CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",https://openreview.net/forum?id=G0vdDSt9XM,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets,,2023,10.48550/arxiv.2309.17428,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
190,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,Archival accepted,Conference on Language Modeling (COLM 2024),https://openreview.net/forum?id=7BCmIWVT0V,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,,2023,10.48550/arxiv.2310.00280,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
