record_id,title,register_status,register_venue,register_identifier,resolved_via,title_match,found_title,found_venue,found_type,found_year,found_doi,openalex_id,candidate_sources,candidate_count,archival_candidate_count,strong_archival_candidate_count,rejected_title_mismatches,archival_evidence,VERDICT,notes
1,Attention Is All You Need,Archival published,Advances in NeurIPS,,openalex:title,1.0,Attention Is All You Need,,preprint,2025,10.65215/2q58a426,https://openalex.org/W2626778328,openalex:title | crossref:title | crossref:title,3,1,1,,openalex:title: pages 5998-6008,OK_ARCHIVAL,
2,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Archival published,Proceedings of NAACL,https://doi.org/10.18653/v1/N19-1423,crossref:doi,1.0,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,"Proceedings of the 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers)",proceedings-article,2019,10.18653/v1/n19-1423,,openalex:doi | crossref:doi,2,2,2,,"openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 4171-4186 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers)'",OK_ARCHIVAL,
3,Language Models are Few-Shot Learners,Archival published,Advances in NeurIPS,,openalex:title,1.0,Language Models are Few-Shot Learners,Neural Information Processing Systems,preprint,2020,10.48550/arxiv.2005.14165,https://openalex.org/W3030163527,openalex:title | crossref:title,2,2,2,,openalex:title: location[conference]='Neural Information Processing Systems' | openalex:title: pages 1877-1901 | crossref:title: crossref type=book-chapter venue='Neural Horizons The Uncharted Future of Deep Learning',OK_ARCHIVAL,
4,Self-consistency improves chain of thought reasoning in language models,Archival published,International Conference on Learning Representations,,openalex:title,1.0,Self-Consistency Improves Chain of Thought Reasoning in Language Models,,preprint,2022,10.48550/arxiv.2203.11171,https://openalex.org/W4221161695,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
5,Training language models to follow instructions with human feedback,Archival published,Advances in NeurIPS,,crossref:title,1.0,Training Language Models to Follow Instructions with Human Feedback,Advances in Neural Information Processing Systems 35,proceedings-article,2022,10.52202/068431-2011,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 27730-27744 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 35',OK_ARCHIVAL,
6,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Archival published,Advances in NeurIPS,,crossref:title,1.0,Chain-Of-Thought Prompting Elicits Reasoning in Large Language Models,Advances in Neural Information Processing Systems 35,proceedings-article,2022,10.52202/068431-1800,,openalex:title | crossref:title,2,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 24824-24837 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 35',OK_ARCHIVAL,
7,Improving Language Understanding by Generative Pre-Training,Archival published,OpenAI Blog,,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
8,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Archival published,Advances in Neural Information Processing Systems,,openalex:title,1.0,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Neural Information Processing Systems,conference-paper,2020,,https://openalex.org/W3098425262,openalex:title,1,1,1,,openalex:title: location[conference]='Neural Information Processing Systems' | openalex:title: pages 9459-9474,OK_ARCHIVAL,
9,Finetuned Language Models Are Zero-Shot Learners,Archival published,International Conference on Learning Representations,,openalex:title,1.0,Finetuned Language Models Are Zero-Shot Learners,,preprint,2021,10.48550/arxiv.2109.01652,https://openalex.org/W3198002980,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
10,Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,Preprint/technical report,arXiv preprint arXiv:2204.05862,https://doi.org/10.48550/arXiv.2204.05862,datacite:arxiv,1.0,Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,arXiv,Preprint,2022,10.48550/arxiv.2204.05862,,datacite:arxiv | openalex:doi | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2204.05862,OK_PREPRINT,
