record_id,title,register_status,register_venue,register_identifier,found_title,found_venue,found_type,found_year,found_doi,openalex_id,title_match,VERDICT,notes
1,Attention Is All You Need,Archival published,Advances in NeurIPS,,Attention Is All You Need,,preprint,2025,10.65215/2q58a426,https://openalex.org/W2626778328,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
2,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Archival published,Proceedings of NAACL,https://doi.org/10.18653/v1/N19-1423,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,,conference-paper,2019,10.18653/v1/n19-1423,https://openalex.org/W2963341956,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
3,Language Models are Few-Shot Learners,Archival published,Advances in NeurIPS,,Language Models are Few-Shot Learners,arXiv (Cornell University),preprint,2020,10.48550/arxiv.2005.14165,https://openalex.org/W3030163527,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
4,Self-consistency improves chain of thought reasoning in language models,Archival published,International Conference on Learning Representations,,Self-Consistency Improves Chain of Thought Reasoning in Language Models,arXiv (Cornell University),preprint,2022,10.48550/arxiv.2203.11171,https://openalex.org/W4221161695,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
5,Training language models to follow instructions with human feedback,Archival published,Advances in NeurIPS,,Training language models to follow instructions with human feedback,arXiv (Cornell University),preprint,2022,10.48550/arxiv.2203.02155,https://openalex.org/W4226278401,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
6,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Archival published,Advances in NeurIPS,,Chain-Of-Thought Prompting Elicits Reasoning in Large Language Models,,conference-paper,2022,10.52202/068431-1800,https://openalex.org/W7133224126,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
7,Improving Language Understanding by Generative Pre-Training,Archival published,OpenAI Blog,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
8,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Archival published,Advances in Neural Information Processing Systems,,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,UCL Discovery (University College London),conference-paper,2020,,https://openalex.org/W3098425262,1.0,VENUE_MISMATCH,register venue 'Advances in Neural Information Processing Systems' vs external 'UCL Discovery (University College London)'
9,Finetuned Language Models Are Zero-Shot Learners,Archival published,International Conference on Learning Representations,,Finetuned Language Models Are Zero-Shot Learners,arXiv (Cornell University),preprint,2021,10.48550/arxiv.2109.01652,https://openalex.org/W3198002980,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
10,Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,Preprint/technical report,arXiv preprint arXiv:2204.05862,https://doi.org/10.48550/arXiv.2204.05862,Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,arXiv (Cornell University),preprint,2022,10.48550/arxiv.2204.05862,https://openalex.org/W4223908421,1.0,OK,both treat it as preprint
11,Large Language Models are Zero-Shot Reasoners,Archival published,Advances in Neural Information Processing Systems,,Large Language Models are Zero-Shot Reasoners,arXiv (Cornell University),preprint,2022,10.48550/arxiv.2205.11916,https://openalex.org/W4281557260,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
12,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,Archival published,International Conference on Learning Representations,,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,arXiv (Cornell University),preprint,2022,10.48550/arxiv.2205.10625,https://openalex.org/W4281483047,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
13,Visual Instruction Tuning,Archival published,Advances in Neural Information Processing Systems,,Visual Instruction Tuning,,conference-paper,2023,10.52202/075280-1516,https://openalex.org/W7133193597,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
14,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,Archival published,"Journal of Machine Learning Research, 21(140):1–67",10.48550/arXiv.1910.10683,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,arXiv (Cornell University),preprint,2019,10.48550/arxiv.1910.10683,https://openalex.org/W2981852735,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
15,GPT-4 Technical Report,Preprint/technical report,arXiv preprint arXiv:2303.08774,https://doi.org/10.48550/arXiv.2303.08774,GPT-4 Technical Report,arXiv (Cornell University),preprint,2023,10.4230/lipics.cosit.2024.11,https://openalex.org/W4327810158,1.0,OK,both treat it as preprint
16,Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context,Preprint/technical report,arXiv preprint arXiv:2403.05530,https://doi.org/10.48550/arXiv.2403.05530,Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context,arXiv (Cornell University),preprint,2024,10.48550/arxiv.2403.05530,https://openalex.org/W4392679398,1.0,OK,both treat it as preprint
17,BART Denoising Sequence-to-Sequence Pre-training for Natural Language Generation Translation and Comprehension,Archival published,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,https://doi.org/10.18653/v1/2020.acl-main.703,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",,conference-paper,2020,10.18653/v1/2020.acl-main.703,https://openalex.org/W2982399380,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
18,Scaling Laws for Neural Language Models,Preprint/technical report,arXiv preprint arXiv:2001.08361,arXiv:2001.08361,Scaling Laws for Neural Language Models,arXiv (Cornell University),preprint,2020,10.48550/arxiv.2001.08361,https://openalex.org/W3001279689,1.0,OK,both treat it as preprint
19,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,Archival published,ICLR 2021,https://openreview.net/forum?id=YicbFdNTTy,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,arXiv (Cornell University),preprint,2020,10.48550/arxiv.2010.11929,https://openalex.org/W3094502228,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
20,Training Compute-Optimal Large Language Models,Archival published,Advances in Neural Information Processing Systems,arXiv:2203.15556,Training Compute-Optimal Large Language Models,arXiv (Cornell University),preprint,2022,10.48550/arxiv.2203.15556,https://openalex.org/W4225591000,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
21,Flamingo: a Visual Language Model for Few-Shot Learning,Archival published,NeurIPS 2022,https://proceedings.neurips.cc/paper_files/paper/2022/hash/960a172bc7fbf0177ccccbb411a7d800-Abstract-Conference.html,Flamingo: a Visual Language Model for Few-Shot Learning,arXiv (Cornell University),preprint,2022,10.48550/arxiv.2204.14198,https://openalex.org/W4225323055,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
22,Emergent Abilities of Large Language Models,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=yzkSU5zdwD,Emergent Abilities of Large Language Models,arXiv (Cornell University),preprint,2022,10.48550/arxiv.2206.07682,https://openalex.org/W4283026156,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
23,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,Archival published,"ICML 2023, PMLR 202",https://proceedings.mlr.press/v202/li23q.html,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,arXiv (Cornell University),preprint,2023,10.48550/arxiv.2301.12597,https://openalex.org/W4318718936,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
24,Language Is Not All You Need: Aligning Perception with Language Models,Archival published,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/e425b75bac5742a008d643826428787c-Abstract-Conference.html,Language Is Not All You Need: Aligning Perception with Language Models,arXiv (Cornell University),preprint,2023,10.48550/arxiv.2302.14045,https://openalex.org/W4322718246,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
25,Multimodal Chain-of-Thought Reasoning in Language Models,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=y1pPWFVfvR,Multimodal Chain-of-Thought Reasoning in Language Models,arXiv (Cornell University),preprint,2023,10.48550/arxiv.2302.00923,https://openalex.org/W4319165821,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
26,PaLM-E: An Embodied Multimodal Language Model,Archival published,"ICML 2023, PMLR 202",https://proceedings.mlr.press/v202/driess23a.html,PaLM-E: An Embodied Multimodal Language Model,arXiv (Cornell University),preprint,2023,10.48550/arxiv.2303.03378,https://openalex.org/W4323572061,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
27,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,Archival published,EMNLP 2023,https://doi.org/10.18653/v1/2023.emnlp-main.557,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,,conference-paper,2023,10.18653/v1/2023.emnlp-main.557,https://openalex.org/W4389520749,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
28,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,Archival published,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2023/hash/9a6a435e75419a836fe47ab6793623e6-Abstract-Conference.html,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,arXiv (Cornell University),preprint,2023,10.48550/arxiv.2305.06500,https://openalex.org/W4376312115,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
29,Llama 2: Open Foundation and Fine-Tuned Chat Models,Preprint/technical report,arXiv preprint arXiv:2307.09288,arXiv:2307.09288,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
30,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=hSyW5go0v8,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
31,A Survey of Reasoning with Foundation Models,Preprint/technical report,arXiv preprint arXiv:2312.11562,arXiv:2312.11562,A Survey of Reasoning with Foundation Models,,preprint,2023,10.31219/osf.io/ac4sp,https://openalex.org/W4389764468,1.0,OK,both treat it as preprint
32,Hallucination of Multimodal Large Language Models: A Survey,Preprint/technical report,arXiv preprint arXiv:2404.18930,arXiv:2404.18930,Hallucination of Multimodal Large Language Models: A Survey,arXiv (Cornell University),preprint,2024,10.48550/arxiv.2404.18930,https://openalex.org/W4396821279,1.0,OK,both treat it as preprint
33,The Llama 3 Herd of Models,Preprint/technical report,arXiv preprint arXiv:2407.21783,arXiv:2407.21783,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
34,To CoT or Not to CoT? Chain-of-Thought Helps Mainly on Math and Symbolic Reasoning,Archival published,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=4hSaB8l9cB,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
35,LLMs Still Can't Plan; Can LRMs: A Preliminary Evaluation of OpenAI's o1 on PlanBench,Preprint/technical report,arXiv preprint arXiv:2409.13373,arXiv:2409.13373,LLMs Still Can't Plan; Can LRMs? A Preliminary Evaluation of OpenAI's o1 on PlanBench,arXiv (Cornell University),preprint,2024,10.48550/arxiv.2409.13373,https://openalex.org/W4403758464,1.0,OK,both treat it as preprint
36,Retrieval Augmented Generation (RAG) and Beyond: A Comprehensive Survey on How to Make your LLMs use External Data More Wisely,Preprint/technical report,arXiv preprint,,Retrieval Augmented Generation (RAG) and Beyond: A Comprehensive Survey on How to Make your LLMs use External Data More Wisely,arXiv (Cornell University),preprint,2024,10.48550/arxiv.2409.14924,https://openalex.org/W4403796472,1.0,OK,both treat it as preprint
37,Qwen2.5-VL Technical Report,Preprint/technical report,arXiv preprint arXiv:2502.13923,arXiv:2502.13923,Qwen2.5-VL Technical Report,arXiv (Cornell University),preprint,2025,10.48550/arxiv.2502.13923,https://openalex.org/W4407794264,1.0,OK,both treat it as preprint
38,A Survey of Frontiers in LLM Reasoning Inference Scaling Learning to Reason and Agentic Systems,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=frontierslLMreasoning,"A Survey of Frontiers in LLM Reasoning: Inference Scaling, Learning to Reason, and Agentic Systems",arXiv (Cornell University),preprint,2025,10.48550/arxiv.2504.09037,https://openalex.org/W4415154470,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (arXiv (Cornell University))
39,How Can We Know What Language Models Know?,Archival published,"Transactions of the Association for Computational Linguistics, Volume 8",https://doi.org/10.1162/tacl_a_00324,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
40,How Much Knowledge Can You Pack Into the Parameters of a Language Model?,Archival published,EMNLP 2020,https://doi.org/10.18653/v1/2020.emnlp-main.437,How Much Knowledge Can You Pack Into the Parameters of a Language Model?,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),proceedings-article,2020,10.18653/v1/2020.emnlp-main.437,,1.0,VENUE_MISMATCH,register venue 'EMNLP 2020' vs external 'Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)'
41,Experience Grounds Language,Archival published,EMNLP 2020,https://doi.org/10.18653/v1/2020.emnlp-main.703,Experience Grounds Language,,conference-paper,2020,10.18653/v1/2020.emnlp-main.703,https://openalex.org/W3020712669,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
42,A Systematic Evaluation of Large Language Models of Code,Workshop/conditional,Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming (Deep Learning for Code Workshop at ICLR 2022),,A systematic evaluation of large language models of code,,conference-paper,2022,10.1145/3520312.3534862,https://openalex.org/W4281763794,1.0,OK,both treat it as preprint
