record_id,title,section,priority,initial_note_quality,audit_computed_source_quality,source_match_score,original_note_source,content_provenance,note_file,full_text_status,full_text_basis,pdf_pages,pdf_sha256,title_similarity,review_standard,claim_use_status
1,Attention Is All You Need,S2,P0,B,B,1.000,S2/P0/2017-06 - Attention Is All You Need.md,current-cycle full-text remediation and verification of historical note,notes/papers/0001.md,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,"Full paper; architecture, self-attention complexity, training setup, translation/parsing experiments, ablations, conclusion and appendix attention examples reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
2,BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding,S2,P0,A,B,1.000,S2/P0/2018-10 - BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding.md,current-cycle full-text remediation and verification of historical note,notes/papers/0002.md,current-cycle full text independently read and title-checked from the NAACL/arXiv version,"Full paper and appendices; pretraining objectives, model sizes, GLUE/SQuAD/SWAG experiments, ablations, training details and conclusion reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
3,Language Models are Few-Shot Learners,S2,P0,A,A,1.000,S2/P0/2020-07 - Language Models are Few-Shot Learners.md,current-cycle full-text remediation and verification of historical note,notes/papers/0003.md,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,"Full paper; model/data/training design, zero-one-few-shot task groups, contamination study, limitations, broader impacts, conclusion and task/training appendices reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
4,Self-consistency improves chain of thought reasoning in language models,S2,P0,A,A,1.000,S2/P0/2023-03 - Self-Consistency Improves Chain of Thought Reasoning in Language Models.md,current-cycle full-text remediation and verification of historical note,notes/papers/0004.md,current-cycle full text independently read and title-checked from the ICLR/arXiv version,"Full paper; decoding method, arithmetic/commonsense experiments, prompt/model robustness, sampling-count and calibration analyses, appendices and conclusion reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
5,Training language models to follow instructions with human feedback,S2,P0,A,A,1.000,S2/P0/2022-03 - Training language models to follow instructions with human feedback.md,current-cycle full-text remediation and verification of historical note,notes/papers/0005.md,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,"Full paper; SFT/reward-model/PPO pipeline, API-prompt and public-NLP evaluation, truthfulness/toxicity/bias analysis, discussion, limitations and training ablations reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
6,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,S2,P0,A,A,1.000,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes_all/S3_P2_003_Chain-of-Thought_Prompting_Elicits_Reasoning_in_Large_Language_Models.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0006.md,current-cycle full text independently read and title-checked from the 43-page NeurIPS/arXiv paper,"43-page paper; main method, arithmetic/commonsense/symbolic experiments, scaling trends, robustness studies, error analysis, limitations and appendices reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
7,Improving Language Understanding by Generative Pre-Training,S2,P1,A,A,1.000,S2_global.md,current-cycle full-text remediation and verification of historical note,notes/papers/0007.md,current-cycle full text independently read and title-checked from the 12-page OpenAI paper,"12-page paper; generative pre-training, task-aware input transformations, BooksCorpus setup, 12 downstream tasks, zero-shot analyses, ablations, conclusion and references reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
8,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,S2,P1,A,A,1.000,S2/P1/2020-05 - Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.md,current-cycle full-text remediation and verification of historical note,notes/papers/0008.md,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,"Full paper; RAG-Sequence/RAG-Token, DPR/BART architecture, QA/generation/classification experiments, retrieval ablations, qualitative analyses and appendices reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
9,Finetuned Language Models Are Zero-Shot Learners,S2,P1,A,A,1.000,markdowns_P0_P1_and_synthesis.md,current-cycle full-text remediation and verification of historical note,notes/papers/0009.md,current-cycle full text independently read and title-checked from the ICLR/arXiv version,"Full paper; instruction-tuning setup, held-out task clusters, zero/few-shot comparisons, scale/task-diversity/instruction ablations, contamination analysis, limitations and failure cases reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
11,Large Language Models are Zero-Shot Reasoners,S2,P1,A,A,1.000,S2/P1/2022-05-Large Language Models are Zero-Shot Reasoners.md,current-cycle full-text remediation and verification of historical note,notes/papers/0011.md,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,"Full paper; two-stage Zero-shot-CoT prompting, 12 reasoning datasets, scale/prompt studies, baselines, error analyses, bias discussion, appendices and conclusion reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
12,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,S2,P1,A,A,1.000,S2/P1/2022-05 - Least-to-most prompting enables complex reasoning in large language models.md,current-cycle full-text remediation and verification of historical note,notes/papers/0012.md,current-cycle full text independently read and title-checked from the ICLR/arXiv version,"Full paper; decomposition/resolution prompts, symbolic manipulation, SCAN, DROP/GSM8K, error analysis, related work, appendices and conclusion reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
13,Visual Instruction Tuning,S2,P1,A,A,1.000,S2/P1/2023-04-Visual Instruction Tuning.md,current-cycle full-text remediation and verification of historical note,notes/papers/0013.md,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,"Full paper; GPT-assisted multimodal instruction-data generation, LLaVA architecture, two-stage training, LLaVA-Bench, ScienceQA, ablations, limitations, broader impacts and appendices reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
14,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,S2,P1,A,A,1.000,S2/P1/2023-09 - Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer.md,current-cycle full-text remediation and verification of historical note,notes/papers/0014.md,current-cycle full text independently read and title-checked from the 67-page JMLR paper,"67-page paper; text-to-text formulation, C4 construction, architecture/objective/data/transfer ablations, scaling study, final 11B results, caveats, conclusion and appendices reviewed",,,,Deep critical analysis and detailed notes,paper-specific note ready for synthesis
17,BART Denoising Sequence-to-Sequence Pre-training for Natural Language Generation Translation and Comprehension,S2,P2,B,A,1.000,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_01_BART_Denoising_Sequence-to-Sequence_Pre-training_for_Natural_Language_Generation_Translation_and_Comprehension.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0017.md,current-cycle full text independently read and title-checked from the 10-page ACL paper,"10-page paper; architecture, corruption schemes, controlled objective comparison, GLUE/SQuAD, generation, translation, qualitative analysis and conclusion reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
19,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,S2,P2,C,A,1.000,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_03_An_Image_is_Worth_16x16_Words_Transformers_for_Image_Recognition_at_Scale.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0019.md,current-cycle full text independently read and title-checked from the ICLR/arXiv paper,"Full paper; ViT architecture, inductive-bias discussion, three pretraining datasets, transfer experiments, scaling, compute comparison, attention analysis and appendices reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
20,Training Compute-Optimal Large Language Models,S2,P2,B,A,1.000,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_04_Training_Compute-Optimal_Large_Language_Models.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0020.md,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,"Full paper; compute-optimal scaling setup, three empirical approaches, fitted scaling laws, Chinchilla training/evaluation, comparison with Gopher and downstream analyses reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
21,Flamingo: a Visual Language Model for Few-Shot Learning,S2,P2,C,B,1.000,S2/P2/S2_P2_individual_paper_notes_markdown/S2_P2_Paper_05_Flamingo_a_Visual_Language_Model_for_Few-Shot_Learning.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0021.md,current-cycle full text extracted and title-checked,54 extracted PDF pages; SHA-256 27af622bf50987fd98a03451a27a670adfaeefd5218a3e990b37abc326ba63f0; title similarity 1.0,54,27af622bf50987fd98a03451a27a670adfaeefd5218a3e990b37abc326ba63f0,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
22,Emergent Abilities of Large Language Models,S2,P2,C,B,1.000,S2/P2/S2_P2_individual_paper_notes_markdown/S2_P2_Paper_06_Emergent_Abilities_of_Large_Language_Models.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0022.md,current-cycle full text extracted and title-checked,30 extracted PDF pages; SHA-256 f457f08102eb381f2300e1653bf4c82a9aa5dce0eb8dba8fe744ccc2500c3755; title similarity 1.0,30,f457f08102eb381f2300e1653bf4c82a9aa5dce0eb8dba8fe744ccc2500c3755,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
23,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,S2,P2,C,B,1.000,S2/P2/S2_P2_individual_paper_notes_markdown/S2_P2_Paper_07_BLIP-2_Bootstrapping_Language-Image_Pre-training_with_Frozen_Image_Encoders_and_Large_Lang.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0023.md,current-cycle full text extracted and title-checked,13 extracted PDF pages; SHA-256 6bc5d399d6127a64ace5167a2f0c00112a49725d2475d80322dbf0083f139e80; title similarity 1.0,13,6bc5d399d6127a64ace5167a2f0c00112a49725d2475d80322dbf0083f139e80,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
24,Language Is Not All You Need: Aligning Perception with Language Models,S2,P2,C,A,1.000,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_08_Language_Is_Not_All_You_Need_Aligning_Perception_with_Language_Models_KOSMOS-1.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0024.md,current-cycle full text independently read and title-checked from the NeurIPS paper,"Full paper; multimodal architecture/training, interleaved Web data, language/perception/OCR-free evaluations, cross-modal transfer, prompting and Raven diagnostic reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
25,Multimodal Chain-of-Thought Reasoning in Language Models,S2,P2,C,A,1.000,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_09_Multimodal_Chain-of-Thought_Reasoning_in_Language_Models.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0025.md,current-cycle full text independently read and title-checked from the TMLR/arXiv version,"Full paper; two-stage rationale/answer generation, multimodal fusion, ScienceQA/A-OKVQA, backbone/vision/rationale ablations, convergence and error analysis reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
26,PaLM-E: An Embodied Multimodal Language Model,S2,P2,C,A,1.000,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_10_PaLM-E_An_Embodied_Multimodal_Language_Model.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0026.md,current-cycle full text independently read and title-checked from the ICML/PMLR paper,"Full paper; sensor-token architecture, multi-embodiment training, robotic planning, transfer, visual-language evaluation, scaling and limitations reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
27,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,S2,P2,C,B,1.000,S2/P2/S2_P2_individual_paper_notes_markdown/S2_P2_Paper_11_SelfCheckGPT_Zero-Resource_Black-Box_Hallucination_Detection_for_Generative_Large_Language.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0027.md,current-cycle full text extracted and title-checked,14 extracted PDF pages; SHA-256 d523eb2c779cb5902371c653301738086b2471cd21b2b4e81f7a61bd6ae370bd; title similarity 0.98,14,d523eb2c779cb5902371c653301738086b2471cd21b2b4e81f7a61bd6ae370bd,0.98,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
28,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,S2,P2,C,A,1.000,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes_all/S2_P2_12_InstructBLIP_Towards_General-purpose_Vision-Language_Models_with_Instruction_Tuning.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0028.md,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,"Full paper; 26-dataset instruction collection, held-in/held-out protocol, instruction-aware Q-Former, zero-shot results, task fine-tuning and ablations reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
