record_id,title,machine_verdict,decision,final_status,final_venue,final_identifier,evidence_url,evidence_note,adjudicated_by,adjudicated_at,corpus_action
42,A Systematic Evaluation of Large Language Models of Code,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming,https://doi.org/10.1145/3520312.3534862,https://doi.org/10.1145/3520312.3534862,"Exact/near-exact title match with a strong archival DOI and archival container 'Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Workshop/conditional' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
72,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Advances in Neural Information Processing Systems 36,https://doi.org/10.52202/075280-0517,https://doi.org/10.52202/075280-0517,"Exact/near-exact title match with a strong archival DOI and archival container 'Advances in Neural Information Processing Systems 36', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
81,Language Models can Solve Computer Tasks,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Advances in Neural Information Processing Systems 36,https://doi.org/10.52202/075280-1723,https://doi.org/10.52202/075280-1723,"Exact/near-exact title match with a strong archival DOI and archival container 'Advances in Neural Information Processing Systems 36', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
83,TaskMatrix.AI Completing Tasks by Connecting Foundation Models with Millions of APIs,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Intelligent Computing,https://doi.org/10.34133/icomputing.0063,https://doi.org/10.34133/icomputing.0063,"Exact/near-exact title match with a strong archival DOI and archival container 'Intelligent Computing', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
91,AdaPlanner Adaptive Planning from Feedback with Language Models,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Advances in Neural Information Processing Systems 36,https://doi.org/10.52202/075280-2537,https://doi.org/10.52202/075280-2537,"Exact/near-exact title match with a strong archival DOI and archival container 'Advances in Neural Information Processing Systems 36', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
99,AutoDroid: LLM-powered Task Automation in Android,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Proceedings of the 30th Annual International Conference on Mobile Computing and Networking,https://doi.org/10.1145/3636534.3649379,https://doi.org/10.1145/3636534.3649379,"Exact/near-exact title match with a strong archival DOI and archival container 'Proceedings of the 30th Annual International Conference on Mobile Computing and Networking', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
107,AgentTuning Enabling Generalized Agent Abilities for LLMs,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Findings of the Association for Computational Linguistics ACL 2024,https://doi.org/10.18653/v1/2024.findings-acl.181,https://doi.org/10.18653/v1/2024.findings-acl.181,"Exact/near-exact title match with a strong archival DOI and archival container 'Findings of the Association for Computational Linguistics ACL 2024', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Unconfirmed' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
112,ADaPT As-Needed Decomposition and Planning with Language Models,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Findings of the Association for Computational Linguistics: NAACL 2024,https://doi.org/10.18653/v1/2024.findings-naacl.264,https://doi.org/10.18653/v1/2024.findings-naacl.264,"Exact/near-exact title match with a strong archival DOI and archival container 'Findings of the Association for Computational Linguistics: NAACL 2024', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
113,Agent Lumos Unified and Modular Training for Open-Source Language Agents,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),https://doi.org/10.18653/v1/2024.acl-long.670,https://doi.org/10.18653/v1/2024.acl-long.670,"Exact/near-exact title match with a strong archival DOI and archival container 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
121,UFO A UI-Focused Agent for Windows OS Interaction,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),https://doi.org/10.18653/v1/2025.naacl-long.26,https://doi.org/10.18653/v1/2025.naacl-long.26,"Exact/near-exact title match with a strong archival DOI and archival container 'Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
123,LLMs in the Imaginarium: Tool Learning through Simulated Trial and Error,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),https://doi.org/10.18653/v1/2024.acl-long.570,https://doi.org/10.18653/v1/2024.acl-long.570,"Exact/near-exact title match with a strong archival DOI and archival container 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
124,KnowAgent Knowledge-Augmented Planning for LLM-Based Agents,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Findings of the Association for Computational Linguistics: NAACL 2025,https://doi.org/10.18653/v1/2025.findings-naacl.205,https://doi.org/10.18653/v1/2025.findings-naacl.205,"Exact/near-exact title match with a strong archival DOI and archival container 'Findings of the Association for Computational Linguistics: NAACL 2025', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
128,A Survey on the Memory Mechanism of Large Language Model based Agents,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,ACM Transactions on Information Systems,https://doi.org/10.1145/3748302,https://doi.org/10.1145/3748302,"Exact/near-exact title match with a strong archival DOI and archival container 'ACM Transactions on Information Systems', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
130,Agent Design Pattern Catalogue A Collection of Architectural Patterns for Foundation Model based Agents,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Journal of Systems and Software,https://doi.org/10.1016/j.jss.2024.112278,https://doi.org/10.1016/j.jss.2024.112278,"Exact/near-exact title match with a strong archival DOI and archival container 'Journal of Systems and Software', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
132,AvaTaR: Optimizing LLM Agents for Tool Usage via Contrastive Reasoning,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Advances in Neural Information Processing Systems 37,https://doi.org/10.52202/079017-0817,https://doi.org/10.52202/079017-0817,"Exact/near-exact title match with a strong archival DOI and archival container 'Advances in Neural Information Processing Systems 37', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
134,Mobile-Agent-v2 Mobile Device Operation Assistant with Effective Navigation via Multi-Agent Collaboration,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Advances in Neural Information Processing Systems 37,https://doi.org/10.52202/079017-0088,https://doi.org/10.52202/079017-0088,"Exact/near-exact title match with a strong archival DOI and archival container 'Advances in Neural Information Processing Systems 37', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
135,AppWorld A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),https://doi.org/10.18653/v1/2024.acl-long.850,https://doi.org/10.18653/v1/2024.acl-long.850,"Exact/near-exact title match with a strong archival DOI and archival container 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Unconfirmed' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
137,Recursive Introspection Teaching Language Model Agents How to Self-Improve,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Advances in Neural Information Processing Systems 37,https://doi.org/10.52202/079017-1754,https://doi.org/10.52202/079017-1754,"Exact/near-exact title match with a strong archival DOI and archival container 'Advances in Neural Information Processing Systems 37', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
141,xLAM A Family of Large Action Models to Empower AI Agent Systems,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),https://doi.org/10.18653/v1/2025.naacl-long.578,https://doi.org/10.18653/v1/2025.naacl-long.578,"Exact/near-exact title match with a strong archival DOI and archival container 'Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
156,LLM-Based Human-Agent Collaboration and Interaction Systems A Survey,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Findings of the Association for Computational Linguistics: ACL 2026,https://doi.org/10.18653/v1/2026.findings-acl.1811,https://doi.org/10.18653/v1/2026.findings-acl.1811,"Exact/near-exact title match with a strong archival DOI and archival container 'Findings of the Association for Computational Linguistics: ACL 2026', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
159,MMSearch-R1: Incentivizing LMMs to Search,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),https://doi.org/10.18653/v1/2026.acl-long.114,https://doi.org/10.18653/v1/2026.acl-long.114,"Exact/near-exact title match with a strong archival DOI and archival container 'Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
167,Memory as Action: Autonomous Context Curation for Long-Horizon Agentic Tasks,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Findings of the Association for Computational Linguistics: ACL 2026,https://doi.org/10.18653/v1/2026.findings-acl.956,https://doi.org/10.18653/v1/2026.findings-acl.956,"Exact/near-exact title match with a strong archival DOI and archival container 'Findings of the Association for Computational Linguistics: ACL 2026', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
199,"Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects",UPGRADE,SET_ARCHIVAL_PUBLISHED_MANUAL_OFFICIAL,Archival published,WIREs Data Mining and Knowledge Discovery,https://doi.org/10.1002/widm.70111,https://wires.onlinelibrary.wiley.com/doi/full/10.1002/widm.70111,"Official Wiley page lists the exact article in WIREs Data Mining and Knowledge Discovery, Volume 16 Issue 3, first published 24 July 2026, DOI 10.1002/widm.70111.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
241,Agents Are Not Enough,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Computer,https://doi.org/10.1109/mc.2025.3575829,https://doi.org/10.1109/mc.2025.3575829,"Exact/near-exact title match with a strong archival DOI and archival container 'Computer', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
250,Orchestrating Agents and Data for Enterprise: A Blueprint Architecture for Compound AI,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,2025 IEEE 41st International Conference on Data Engineering Workshops (ICDEW),https://doi.org/10.1109/icdew67478.2025.00007,https://doi.org/10.1109/icdew67478.2025.00007,"Exact/near-exact title match with a strong archival DOI and archival container '2025 IEEE 41st International Conference on Data Engineering Workshops (ICDEW)', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
