record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,venue_family
356,AgentRewardBench Evaluating Automatic Evaluations of Web Agent Trajectories,Archival published,COLM,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AgentRewardBench: Evaluating Automatic Evaluations of Web Agent Trajectories,,2025,10.48550/arxiv.2504.08942,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_COLM
433,A Long Way to Go: Investigating Length Correlations in RLHF,Archival published,First Conference on Language Modeling (COLM 2024),arXiv:2310.03716,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,A Long Way to Go: Investigating Length Correlations in RLHF,arXiv,2023,10.48550/arxiv.2310.03716,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2310.03716,no,B1,PENDING,,,,,OPENREVIEW_COLM
481,Agent S2 A Compositional Generalist-Specialist Framework for Computer Use Agents,Archival published,COLM,arXiv:2504.00906,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Agent S2: A Compositional Generalist-Specialist Framework for Computer Use Agents,arXiv,2025,10.48550/arxiv.2504.00906,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2504.00906,no,B1,PENDING,,,,,OPENREVIEW_COLM
501,Inducing Programmatic Skills for Agentic Tasks,Archival published,COLM,arXiv:2504.06821,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Inducing Programmatic Skills for Agentic Tasks,arXiv,2025,10.48550/arxiv.2504.06821,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2504.06821,no,B1,PENDING,,,,,OPENREVIEW_COLM
504,SteP: Stacked LLM Policies for Web Actions,Archival published,First COLM,arXiv:2310.03720,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,SteP: Stacked LLM Policies for Web Actions,arXiv,2023,10.48550/arxiv.2310.03720,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2310.03720,no,B1,PENDING,,,,,OPENREVIEW_COLM
570,Advancing Language Multi-Agent Learning with Credit Re-Assignment for Interactive Environment Generalization,Archival published,COLM 2025,OpenReview SoEmgM1ioC; 2502.14496,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Advancing Language Multi-Agent Learning with Credit Re-Assignment for Interactive Environment Generalization,arXiv,2025,10.48550/arxiv.2502.14496,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2502.14496,no,B1,PENDING,,,,,OPENREVIEW_COLM
578,Breaking the Data Barrier -- Building GUI Agents Through Task Generalization,Archival published,COLM 2025,OpenReview QDtORaZt8K; 2504.10127,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Breaking the Data Barrier -- Building GUI Agents Through Task Generalization,arXiv,2025,10.48550/arxiv.2504.10127,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2504.10127,no,B1,PENDING,,,,,OPENREVIEW_COLM
640,An Illusion of Progress - Assessing the Current State of Web Agents,Archival published,COLM,arXiv:2504.01382,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,An Illusion of Progress? Assessing the Current State of Web Agents,arXiv,2025,10.48550/arxiv.2504.01382,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2504.01382,no,B1,PENDING,,,,,OPENREVIEW_COLM
643,Autonomous Evaluation and Refinement of Digital Agents,Archival published,COLM,arXiv:2404.06474,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Autonomous Evaluation and Refinement of Digital Agents,arXiv,2024,10.48550/arxiv.2404.06474,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2404.06474,no,B1,PENDING,,,,,OPENREVIEW_COLM
713,VisualTrap A Stealthy Backdoor Attack on GUI Agents via Visual Grounding Manipulation,Archival published,COLM,arXiv:2507.06899,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,VisualTrap: A Stealthy Backdoor Attack on GUI Agents via Visual Grounding Manipulation,arXiv,2025,10.48550/arxiv.2507.06899,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2507.06899,no,B1,PENDING,,,,,OPENREVIEW_COLM
745,HAICOSYSTEM: An Ecosystem for Sandboxing Safety Risks in Human-AI Interactions,Archival published,Conference on Language Modeling,arXiv:2409.16427,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,HAICOSYSTEM: An Ecosystem for Sandboxing Safety Risks in Human-AI Interactions,arXiv,2024,10.48550/arxiv.2409.16427,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2409.16427,no,B1,PENDING,,,,,OPENREVIEW_COLM
