record_id,title,priority,final_note,original_source,repository_source,source_sha256,source_bytes,source_lines,records_mapped_to_source,source_layout
1,Attention Is All You Need,P0,notes/papers/0001.md,S2/P0/2017-06 - Attention Is All You Need.md,notes/original_sources/S2/P0/2017-06 - Attention Is All You Need.md,ffc1266529d139e9ed0bae651f740142087ba216261aa886cc02070a47e175c0,4392,83,1,standalone
2,BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding,P0,notes/papers/0002.md,S2/P0/2018-10 - BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding.md,notes/original_sources/S2/P0/2018-10 - BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding.md,3e1d9feaa643fb7a800ee64d6b71635adcc8b40e331c64821461fff0766eee56,8613,204,1,standalone
3,Language Models are Few-Shot Learners,P0,notes/papers/0003.md,S2/P0/2020-07 - Language Models are Few-Shot Learners.md,notes/original_sources/S2/P0/2020-07 - Language Models are Few-Shot Learners.md,3cdf8d07ecb13e73d90166f2fdff86e55ee5d89b4797ae43e150a07cabb5a9f8,10370,234,1,standalone
4,Self-consistency improves chain of thought reasoning in language models,P0,notes/papers/0004.md,S2/P0/2023-03 - Self-Consistency Improves Chain of Thought Reasoning in Language Models.md,notes/original_sources/S2/P0/2023-03 - Self-Consistency Improves Chain of Thought Reasoning in Language Models.md,1b16d6658d732867cf8e8b5b4d78e778953c390a2f4b7137314f318d6001641f,13153,314,1,standalone
5,Training language models to follow instructions with human feedback,P0,notes/papers/0005.md,S2/P0/2022-03 - Training language models to follow instructions with human feedback.md,notes/original_sources/S2/P0/2022-03 - Training language models to follow instructions with human feedback.md,8b631d72938eda31e09589901a5309e3ba6380abaa7210730a600eed3d0cfc98,14897,349,1,standalone
6,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,P0,notes/papers/0006.md,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes_all/S3_P2_003_Chain-of-Thought_Prompting_Elicits_Reasoning_in_Large_Language_Models.md,notes/original_sources/S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes_all/S3_P2_003_Chain-of-Thought_Prompting_Elicits_Reasoning_in_Large_Language_Models.md,95e0c4f6e27c1841bafe5578a4431fb9e57ec95c452b9abf73c09ab4f13b0c96,8233,217,1,standalone
7,Improving Language Understanding by Generative Pre-Training,P1,notes/papers/0007.md,S2_global.md,notes/original_sources/S2_global.md,0d54299ae1eef9924979ccd6551110587175d230821df9757e814f131f841a11,233452,4860,1,standalone
8,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,P1,notes/papers/0008.md,S2/P1/2020-05 - Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.md,notes/original_sources/S2/P1/2020-05 - Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.md,af2cb999713b9481a0cb2001e9f9c60534c47928e74b2880b3832ccf80de5005,7982,172,1,standalone
9,Finetuned Language Models Are Zero-Shot Learners,P1,notes/papers/0009.md,markdowns_P0_P1_and_synthesis.md,notes/original_sources/markdowns_P0_P1_and_synthesis.md,38a507dce217ca6dbd0c9ed286eec443116dad6ff1148cdcb94418de252f07a0,2653878,72405,2,shared/merged
11,Large Language Models are Zero-Shot Reasoners,P1,notes/papers/0011.md,S2/P1/2022-05-Large Language Models are Zero-Shot Reasoners.md,notes/original_sources/S2/P1/2022-05-Large Language Models are Zero-Shot Reasoners.md,81737c65b47f2fae90a249676086505529789b0776f26aa41d5cd53483ffbb3a,7007,171,1,standalone
12,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,P1,notes/papers/0012.md,S2/P1/2022-05 - Least-to-most prompting enables complex reasoning in large language models.md,notes/original_sources/S2/P1/2022-05 - Least-to-most prompting enables complex reasoning in large language models.md,c36c7d23877c422b123b7a265fbf5391e36bfbc37c792d00350fd398dbf0d81a,7151,170,1,standalone
13,Visual Instruction Tuning,P1,notes/papers/0013.md,S2/P1/2023-04-Visual Instruction Tuning.md,notes/original_sources/S2/P1/2023-04-Visual Instruction Tuning.md,bedeec4128e95a0d3343ad0eed8f7e8ce819b2056084049b56683dea9915a6a6,7046,171,1,standalone
14,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,P1,notes/papers/0014.md,S2/P1/2023-09 - Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer.md,notes/original_sources/S2/P1/2023-09 - Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer.md,5096a9b7f9faad4eef37f5e828bc16b9f0f8507ef8214ad91959b9c5c489bcde,7374,173,1,standalone
17,BART Denoising Sequence-to-Sequence Pre-training for Natural Language Generation Translation and Comprehension,P2,notes/papers/0017.md,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_01_BART_Denoising_Sequence-to-Sequence_Pre-training_for_Natural_Language_Generation_Translation_and_Comprehension.md,notes/original_sources/S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_01_BART_Denoising_Sequence-to-Sequence_Pre-training_for_Natural_Language_Generation_Translation_and_Comprehension.md,e134500248a72d22fa2d279fd8486fadf60d9947ec86f96948bfdb982f1c474d,8545,232,1,standalone
19,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,P2,notes/papers/0019.md,S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_03_An_Image_is_Worth_16x16_Words_Transformers_for_Image_Recognition_at_Scale.md,notes/original_sources/S2/P2/S2_P2_revised_paper_first_detailed_markdown_notes/S2_P2_03_An_Image_is_Worth_16x16_Words_Transformers_for_Image_Recognition_at_Scale.md,e4327029c19d7ae3b50354bbf8c899566a6e05764ef0c058296fd63b8e079580,7907,232,1,standalone
