adjudication_batch,record_id,title,machine_verdict,decision,final_status,final_venue,final_identifier,evidence_url,evidence_note,adjudicated_by,adjudicated_at,corpus_action
B2_NO_MATCH,7,Improving Language Understanding by Generative Pre-Training,NO_MATCH,SET_PREPRINT_TECHNICAL_REPORT,Preprint/technical report,OpenAI technical report,,https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf,"The GPT-1 work is an OpenAI technical report, not an archival peer-reviewed publication.",ChatGPT-assisted manual evidence review,2026-09-13,set non-archival technical-report status
B1_ICLR,9,Finetuned Language Models Are Zero-Shot Learners,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,International Conference on Learning Representations,https://openreview.net/forum?id=gEZrGCozdqR,https://openreview.net/forum?id=gEZrGCozdqR,Finetuned Language Models Are Zero-Shot Learners is published as a conference paper at ICLR 2022; the record-specific OpenReview paper confirms the final venue.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
B1_ICLR,12,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,International Conference on Learning Representations,https://openreview.net/forum?id=WZH7099tgfM,https://openreview.net/forum?id=WZH7099tgfM,The record-specific OpenReview entry and ICLR bibliographic record confirm Least-to-Most Prompting at ICLR 2023.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
C1_suspicious_OK_PREPRINT,15,GPT-4 Technical Report,OK_PREPRINT,RETAIN_PREPRINT_FALSE_ARCHIVAL_MATCH,Preprint/technical report,arXiv / CoRR,https://arxiv.org/abs/2303.08774,https://arxiv.org/abs/2303.08774,"The GPT-4 Technical Report remains an arXiv/CoRR technical report. The machine's archival signal DOI 10.4230/LIPIcs.COSIT.2024.11 belongs to the unrelated COSIT paper 'Semantic Perspectives on the Lake District Writing', so it is a false title-association signal.",ChatGPT-assisted manual evidence review,2026-09-13,retain Preprint/technical report and arXiv 2303.08774; discard unrelated COSIT archival signal
A2_official_proceedings,21,Flamingo: a Visual Language Model for Few-Shot Learning,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,Advances in Neural Information Processing Systems 35 (NeurIPS 2022),https://proceedings.neurips.cc/paper_files/paper/2022/hash/960a172bc7fbf0177ccccbb411a7d800-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2022/hash/960a172bc7fbf0177ccccbb411a7d800-Abstract-Conference.html,Official NeurIPS proceedings list the exact paper in NeurIPS 2022 Main Conference Track with DOI 10.52202/068431-1723. Automated downgrade is false because it resolved only the arXiv copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; retain official proceedings identifier
A2_openreview,22,Emergent Abilities of Large Language Models,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_TMLR,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=yzkSU5zdwD,https://openreview.net/pdf?id=yzkSU5zdwD,Official OpenReview PDF is labeled 'Published in Transactions on Machine Learning Research (08/2022)'. The automated downgrade is false because the resolver retained only the preprint signal.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; retain TMLR venue and OpenReview identifier
A2_official_proceedings,23,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Proceedings of the 40th International Conference on Machine Learning, PMLR 202",https://proceedings.mlr.press/v202/li23q.html,https://proceedings.mlr.press/v202/li23q.html,"Official PMLR page lists the exact paper in ICML 2023, PMLR 202:19730-19742. Automated downgrade is false because the resolver favored the arXiv version.",ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; retain PMLR identifier
A2_openreview,25,Multimodal Chain-of-Thought Reasoning in Language Models,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_TMLR,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=y1pPWFVfvR,https://openreview.net/pdf?id=y1pPWFVfvR,Official OpenReview PDF is labeled 'Published in Transactions on Machine Learning Research (05/2024)'. Automated downgrade is false.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; retain TMLR venue and OpenReview identifier
A2_official_proceedings,26,PaLM-E: An Embodied Multimodal Language Model,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Proceedings of the 40th International Conference on Machine Learning, PMLR 202",https://proceedings.mlr.press/v202/driess23a.html,https://proceedings.mlr.press/v202/driess23a.html,"Official PMLR page lists the exact paper in ICML 2023, PMLR 202:8469-8488. Automated downgrade is false because the resolver favored the arXiv version.",ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; retain PMLR identifier
B2_NO_MATCH,30,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",NO_MATCH,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,ICLR 2024,https://openreview.net/forum?id=hSyW5go0v8,https://openreview.net/forum?id=hSyW5go0v8,Official OpenReview record confirms the exact Self-RAG paper at ICLR 2024.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival; retain OpenReview identifier
B2_NO_MATCH,34,To CoT or Not to CoT? Chain-of-Thought Helps Mainly on Math and Symbolic Reasoning,NO_MATCH,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,ICLR 2025,https://openreview.net/forum?id=4hSaB8l9cB,https://openreview.net/forum?id=4hSaB8l9cB,Official OpenReview record confirms the exact paper at ICLR 2025.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival; retain OpenReview identifier
A2_openreview,38,"A Survey of Frontiers in LLM Reasoning: Inference Scaling, Learning to Reason, and Agentic Systems",DOWNGRADE,RETAIN_ARCHIVAL_CORRECT_IDENTIFIER,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=SlsZZ25InC,https://tmlr.infinite-conf.org/paper_pages/SlsZZ25InC.html,Official TMLR paper page lists the exact survey and links canonical OpenReview id SlsZZ25InC; DBLP also indexes it as a TMLR 2025 journal article. The stored placeholder-like OpenReview id must be replaced.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; correct OpenReview identifier to SlsZZ25InC
A3_upgrades,42,A Systematic Evaluation of Large Language Models of Code,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming,https://doi.org/10.1145/3520312.3534862,https://doi.org/10.1145/3520312.3534862,"Exact/near-exact title match with a strong archival DOI and archival container 'Proceedings of the 6th ACM SIGPLAN International Symposium on Machine Programming', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Workshop/conditional' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
A2_openreview,44,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,ICLR 2023,https://openreview.net/forum?id=3Pf3Wg6o-A4,https://openreview.net/pdf?id=3Pf3Wg6o-A4,Official OpenReview PDF states 'Published as a conference paper at ICLR 2023'. Automated downgrade is false.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; retain ICLR 2023 venue and identifier
A2_openreview,49,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,ICLR 2024,https://openreview.net/forum?id=pTHfApDakA,https://openreview.net/pdf?id=pTHfApDakA,Official OpenReview PDF states 'Published as a conference paper at ICLR 2024'; DBLP independently indexes it as ICLR 2024.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; normalize venue to ICLR 2024
B1_remainder,57,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ACL,Archival published,Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025),https://aclanthology.org/2025.coling-main.719/,https://aclanthology.org/2025.coling-main.719/,ACL Anthology lists the exact paper in COLING 2025.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; retain ACL Anthology identifier
A1,58,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,VENUE_MISMATCH,RETAIN_ARCHIVAL_NORMALIZE_VENUE,Archival published,"Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",https://aclanthology.org/2024.lrec-main.252/,https://aclanthology.org/2024.lrec-main.252/,"ACL Anthology lists the exact paper in LREC-COLING 2024, pages 2835-2843. Machine mismatch is only a shortened-vs-full proceedings-title difference.",ChatGPT-assisted manual evidence review,2026-09-13,keep status; normalize venue and identifier
B2_NO_MATCH,60,"Are Long-LLMs A Necessity For Long-Context Tasks: Hongjin Qian1,2, Zheng Liu2∗, Peitian Zhang1, Kelong Mao1, Yujia Zhou1",NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/abs/2405.15318,https://arxiv.org/abs/2405.15318,Targeted exact-title review found no later authoritative conference or journal publication as of 2026-09-13; the existing preprint classification is retained.,ChatGPT-assisted manual evidence review,2026-09-13,retain Preprint/technical report; normalize arXiv identifier when available
A2_official_proceedings,63,Thinking LLMs: General Instruction Following with Thought Generation,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Proceedings of the 42nd International Conference on Machine Learning, PMLR 267",https://proceedings.mlr.press/v267/wu25o.html,https://proceedings.mlr.press/v267/wu25o.html,"Official PMLR page lists the exact paper in ICML 2025, PMLR 267:67382-67407. Automated downgrade is false.",ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; retain PMLR identifier
A2_openreview,65,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-Adaptive Planning Agent,DOWNGRADE,SET_ARCHIVAL_PUBLISHED,Archival published,ICLR 2025,https://openreview.net/forum?id=VvDEuyVXkG,https://openreview.net/pdf?id=VvDEuyVXkG,Official OpenReview PDF states 'Published as a conference paper at ICLR 2025'. The register status 'Archival accepted' can now be finalized as published.,ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; normalize venue to ICLR 2025
B2_NO_MATCH,68,ReAct: Synergizing Reasoning and Acting in Language Models,NO_MATCH,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,ICLR 2023,https://openreview.net/forum?id=WE_vluYUL-X,https://openreview.net/forum?id=WE_vluYUL-X,Authoritative conference citations identify ReAct as an ICLR 2023 paper.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival; add canonical OpenReview identifier
A3_upgrades,72,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Advances in Neural Information Processing Systems 36,https://doi.org/10.52202/075280-0517,https://doi.org/10.52202/075280-0517,"Exact/near-exact title match with a strong archival DOI and archival container 'Advances in Neural Information Processing Systems 36', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
B1_TMLR,73,Cognitive Architectures for Language Agents,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_TMLR,Archival published,Transactions on Machine Learning Research,https://openreview.net/pdf?id=1i6ZCvflQJ,https://openreview.net/pdf?id=1i6ZCvflQJ,Manual authoritative review located the final TMLR publication/accepted record for the exact paper. The automated downgrade used an earlier arXiv or under-review copy and is therefore false.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; normalize venue to Transactions on Machine Learning Research; add final publication evidence
B1_PMLR,75,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PMLR,Archival published,Proceedings of ICML,https://proceedings.mlr.press/v235/zhou24r.html,https://proceedings.mlr.press/v235/zhou24r.html,Official Proceedings of Machine Learning Research page lists the exact paper in the ICML proceedings. The automated downgrade was false because the resolver selected the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; set/retain PMLR proceedings identifier
B1_remainder,79,ART: Automatic Multi-step Reasoning and Tool-use for Large Language Models,DOWNGRADE,SET_PREPRINT_WRONG_ACL_IDENTIFIER,Preprint/technical report,arXiv preprint,https://arxiv.org/abs/2303.09014,https://arxiv.org/abs/2303.09014,"The stored ACL DOI 2023.emnlp-main.190 belongs to a different paper (“Evaluating Large Language Models on Controlled Generation Tasks”). DBLP and arXiv list ART only as CoRR/arXiv, so the archival claim is unsupported.",ChatGPT-assisted manual evidence review,2026-09-13,set preprint/technical report; replace incorrect ACL DOI with arXiv identifier
A3_upgrades,81,Language Models can Solve Computer Tasks,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Advances in Neural Information Processing Systems 36,https://doi.org/10.52202/075280-1723,https://doi.org/10.52202/075280-1723,"Exact/near-exact title match with a strong archival DOI and archival container 'Advances in Neural Information Processing Systems 36', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
A3_upgrades,83,TaskMatrix.AI Completing Tasks by Connecting Foundation Models with Millions of APIs,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Intelligent Computing,https://doi.org/10.34133/icomputing.0063,https://doi.org/10.34133/icomputing.0063,"Exact/near-exact title match with a strong archival DOI and archival container 'Intelligent Computing', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
A1,86,Generative Agents: Interactive Simulacra of Human Behavior,VENUE_MISMATCH,RETAIN_ARCHIVAL_NORMALIZE_VENUE,Archival published,Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology (UIST 2023),https://doi.org/10.1145/3586183.3606763,https://doi.org/10.1145/3586183.3606763,"The registered DOI resolves to the ACM UIST 2023 proceedings article. UIST 2023 is an abbreviation of the full proceedings venue returned by Crossref/OpenAlex, not a conflicting venue.",ChatGPT-assisted manual evidence review,2026-09-13,keep status; normalize venue
C1_suspicious_OK_PREPRINT,90,Tool Learning with Foundation Models,OK_PREPRINT,SET_ARCHIVAL_PUBLISHED_ACM,Archival published,ACM Computing Surveys,https://doi.org/10.1145/3704435,https://doi.org/10.1145/3704435,"The exact paper is published in ACM Computing Surveys, volume 57 issue 4, article 3704435, DOI 10.1145/3704435. The preprint-only register status is outdated.",ChatGPT-assisted manual evidence review,2026-09-13,set Archival published; venue ACM Computing Surveys; DOI 10.1145/3704435
A3_upgrades,91,AdaPlanner Adaptive Planning from Feedback with Language Models,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Advances in Neural Information Processing Systems 36,https://doi.org/10.52202/075280-2537,https://doi.org/10.52202/075280-2537,"Exact/near-exact title match with a strong archival DOI and archival container 'Advances in Neural Information Processing Systems 36', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
C1_suspicious_OK_PREPRINT,93,Interactive Natural Language Processing,OK_PREPRINT,SET_ARCHIVAL_PUBLISHED_SPRINGER_BOOK,Archival published,Synthesis Lectures on Human Language Technologies / Springer Nature,https://doi.org/10.1007/978-3-032-06264-2,https://link.springer.com/book/10.1007/978-3-032-06264-2,"Springer Nature publishes the exact work as the book 'Interactive Natural Language Processing: Language Model as Agent' in the Synthesis Lectures on Human Language Technologies series, DOI 10.1007/978-3-032-06264-2. Publication status is archival, while later synthesis eligibility should separately apply the review's publication-type rule.",ChatGPT-assisted manual evidence review,2026-09-13,set Archival published book metadata; exclude from N_POOL under the strict journal/conference publication-type rule
A2_openreview,94,Large Language Models as Tool Makers,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,ICLR 2024,https://openreview.net/forum?id=qV83K9d5WB,https://openreview.net/pdf?id=qV83K9d5WB,Official OpenReview PDF states 'Published as a conference paper at ICLR 2024'; DBLP independently indexes the conference paper.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; normalize venue to ICLR 2024
B2_NO_MATCH,98,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-World APIs,NO_MATCH,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,ICLR 2024,https://openreview.net/forum?id=dHng2O0Jjr,https://openreview.net/forum?id=dHng2O0Jjr,Official OpenReview record confirms ToolLLM at ICLR 2024.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival; retain OpenReview identifier
A3_upgrades,99,AutoDroid: LLM-powered Task Automation in Android,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Proceedings of the 30th Annual International Conference on Mobile Computing and Networking,https://doi.org/10.1145/3636534.3649379,https://doi.org/10.1145/3636534.3649379,"Exact/near-exact title match with a strong archival DOI and archival container 'Proceedings of the 30th Annual International Conference on Mobile Computing and Networking', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Preprint/technical report' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
A2_openreview,103,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,ICLR 2024,https://openreview.net/forum?id=VtmBAGCN7o,https://openreview.net/forum?id=VtmBAGCN7o,OpenReview/ICLR references and DBLP identify the exact work as an ICLR 2024 conference paper. Automated downgrade is false because only the arXiv version was resolved.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; normalize venue to ICLR 2024
A3_upgrades,107,AgentTuning Enabling Generalized Agent Abilities for LLMs,UPGRADE,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI,Archival published,Findings of the Association for Computational Linguistics ACL 2024,https://doi.org/10.18653/v1/2024.findings-acl.181,https://doi.org/10.18653/v1/2024.findings-acl.181,"Exact/near-exact title match with a strong archival DOI and archival container 'Findings of the Association for Computational Linguistics ACL 2024', corroborated by the v2.2 Crossref/OpenAlex verification evidence. Upgrade the register from 'Unconfirmed' to archival published.",ChatGPT-assisted manual evidence review,2026-09-13,set status Archival published; set archival venue and identifier
