record_id,title,priority,section,status_category,in_N_POOL,in_N_SYNTH,exclusion_reason
1,Attention Is All You Need,P0,S2,Archival published,yes,yes,
2,BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding,P0,S2,Archival published,yes,yes,
3,Language Models are Few-Shot Learners,P0,S2,Archival published,yes,yes,
4,Self-consistency improves chain of thought reasoning in language models,P0,S2,Archival published,yes,yes,
5,Training language models to follow instructions with human feedback,P0,S2,Archival published,yes,yes,
6,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,P0,S2,Archival published,yes,yes,
7,Improving Language Understanding by Generative Pre-Training,P1,S2,Preprint/technical report,no,no,not publication-eligible after final adjudication
8,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,P1,S2,Archival published,yes,yes,
9,Finetuned Language Models Are Zero-Shot Learners,P1,S2,Archival published,yes,yes,
11,Large Language Models are Zero-Shot Reasoners,P1,S2,Archival published,yes,yes,
12,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,P1,S2,Archival published,yes,yes,
13,Visual Instruction Tuning,P1,S2,Archival published,yes,yes,
14,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,P1,S2,Archival published,yes,yes,
17,BART Denoising Sequence-to-Sequence Pre-training for Natural Language Generation Translation and Comprehension,P2,S2,Archival published,yes,yes,
19,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,P2,S2,Archival published,yes,yes,
20,Training Compute-Optimal Large Language Models,P2,S2,Archival published,yes,yes,
21,Flamingo: a Visual Language Model for Few-Shot Learning,P2,S2,Archival published,yes,yes,
22,Emergent Abilities of Large Language Models,P2,S2,Archival published,yes,yes,
23,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,P2,S2,Archival published,yes,yes,
24,Language Is Not All You Need: Aligning Perception with Language Models,P2,S2,Archival published,yes,yes,
25,Multimodal Chain-of-Thought Reasoning in Language Models,P2,S2,Archival published,yes,yes,
26,PaLM-E: An Embodied Multimodal Language Model,P2,S2,Archival published,yes,yes,
27,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,P2,S2,Archival published,yes,yes,
28,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,P2,S2,Archival published,yes,yes,
30,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",P2,S2,Archival published,yes,yes,
34,To CoT or Not to CoT? Chain-of-Thought Helps Mainly on Math and Symbolic Reasoning,P2,S2,Archival published,yes,yes,
38,A Survey of Frontiers in LLM Reasoning Inference Scaling Learning to Reason and Agentic Systems,P2,S2,Archival published,yes,yes,
39,How Can We Know What Language Models Know?,P3,S2,Archival published,yes,yes,
40,How Much Knowledge Can You Pack Into the Parameters of a Language Model?,P3,S2,Archival published,yes,yes,
41,Experience Grounds Language,P3,S2,Archival published,yes,yes,
44,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,P3,S2,Archival published,yes,yes,
46,Adapting Language Models to Compress Contexts,P3,S2,Archival published,yes,yes,
47,AlpacaFarm: A Simulation Framework for Methods that Learn from Human Feedback,P3,S2,Archival published,yes,yes,
48,Random-Access Infinite Context Length for Transformers,P3,S2,Archival published,yes,yes,
49,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,P3,S2,Archival published,yes,yes,
50,Chain-of-Verification Reduces Hallucination in Large Language Models,P3,S2,Archival published,yes,yes,
51,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,P3,S2,Archival published,yes,yes,
55,A Critical Evaluation of AI Feedback for Aligning Large Language Models,P3,S2,Archival published,yes,yes,
57,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,P3,S2,Archival published,yes,yes,
58,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,P3,S2,Archival published,yes,yes,
59,Mind's Eye of LLMs- Visualization-of-Thought- Elicits Spatial Reasoning in Large Language Models,P3,S2,Archival published,yes,yes,
61,Buffer of Thoughts: Thought-Augmented Reasoning with Large Language Models,P3,S2,Archival published,yes,yes,
62,"Retrieving, Rethinking and Revising: The Chain-of-Verification Can Improve Retrieval Augmented Generation",P3,S2,Archival published,yes,yes,
63,Thinking LLMs: General Instruction Following with Thought Generation,P3,S2,Archival published,yes,yes,
64,PRefLexOR: Preference-based Recursive Language Modeling for Exploratory Optimization of Reasoning and Agentic Thinking,P3,S2,Archival published,yes,yes,
65,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-Adaptive Planning Agent,P3,S2,Archival published,yes,yes,
68,ReAct- Synergizing Reasoning and Acting in Language Models,P0,S3,Archival published,yes,yes,
69,Reflexion- Language Agents with Verbal Reinforcement Learning,P0,S3,Archival published,yes,yes,
70,Toolformer- Language Models Can Teach Themselves to Use Tools,P0,S3,Archival published,yes,yes,
73,Cognitive Architectures for Language Agents,P1,S3,Archival published,yes,yes,
74,The Rise and Potential of Large Language Model Based Agents A Survey,P1,S3,Archival published,yes,yes,
75,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,P1,S3,Archival published,yes,yes,
76,A Survey on Large Language Model based Autonomous Agents,P1,S3,Archival published,yes,yes,
78,Self-Refine: Iterative Refinement with Self-Feedback,P2,S3,Archival published,yes,yes,
79,ART: Automatic Multi-step Reasoning and Tool-use for Large Language Models,P2,S3,Preprint/technical report,no,no,not publication-eligible after final adjudication
80,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,P2,S3,Archival published,yes,yes,
84,ViperGPT: Visual Inference via Python Execution for Reasoning,P2,S3,Archival published,yes,yes,
85,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,P2,S3,Archival published,yes,yes,
86,Generative Agents: Interactive Simulacra of Human Behavior,P2,S3,Archival published,yes,yes,
89,Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models,P2,S3,Archival published,yes,yes,
92,Gorilla: Large Language Model Connected with Massive APIs,P2,S3,Archival published,yes,yes,
94,Large Language Models as Tool Makers,P2,S3,Archival published,yes,yes,
95,MemoryBank: Enhancing Large Language Models with Long-Term Memory,P2,S3,Archival published,yes,yes,
96,Reasoning with Language Model is Planning with World Model,P2,S3,Archival published,yes,yes,
98,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-World APIs,P2,S3,Archival published,yes,yes,
102,ExpeL: LLM Agents Are Experiential Learners,P2,S3,Archival published,yes,yes,
103,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,P2,S3,Archival published,yes,yes,
114,An LLM Compiler for Parallel Function Calling,P2,S3,Archival published,yes,yes,
115,"Large Language Model based Multi-Agents- A Survey of Progress and Challenges Taicheng Guo1 , Xiuying Chen2 , Yaqi Wang3∗, Ruidi Chang , Shichao Pei4 ,",P2,S3,Archival published,yes,yes,
119,Executable Code Actions Elicit Better LLM Agents,P2,S3,Archival published,yes,yes,
125,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,P2,S3,Archival published,yes,yes,
131,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,P2,S3,Archival published,yes,yes,
147,PlanGenLLMs- A Modern Survey of LLM Planning Capabilities,P2,S3,Archival published,yes,yes,
157,ReflAct World-Grounded Decision Making in LLM Agents via Goal-State Reflection,P2,S3,Archival published,yes,yes,
162,OS Agents- A Survey on MLLM-based Agents for General Computing Devices Use,P2,S3,Archival published,yes,yes,
169,"Large Language Model Agents- A Comprehensive Survey on Architectures, Capabilities, and Applications",P2,S3,Preprint/technical report,no,no,not publication-eligible after final adjudication
173,From language to action- a review of large language models as autonomous agents and tool users,P2,S3,Archival published,yes,yes,
175,A Survey on the Optimization of Large Language Model-based agents,P2,S3,Archival published,yes,yes,
176,PlanBench An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,P3,S3,Archival published,yes,yes,
181,Knowledge-enhanced Agents for Interactive Text Games,P3,S3,Archival published,yes,yes,
182,Language Models Meet World Models: Embodied Experiences Enhance Language Models,P3,S3,Archival published,yes,yes,
183,Automatically Correcting Large Language Models: Surveying the Landscape of Diverse Automated Correction Strategies,P3,S3,Archival published,yes,yes,
186,CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets,P3,S3,Archival published,yes,yes,
187,AdaRefiner: Refining Decisions of Language Models with Adaptive Feedback,P3,S3,Archival published,yes,yes,
188,AlphaZero-Like Tree-Search can Guide Large Language Model Decoding and Training,P3,S3,Archival published,yes,yes,
189,AutoAgents: A Framework for Automatic Agent Generation,P3,S3,Archival published,yes,yes,
190,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,P3,S3,Archival published,yes,yes,
191,L2MAC: Large Language Model Automatic Computer for Extensive Code Generation,P3,S3,Archival published,yes,yes,
192,Lemur: Harmonizing Natural Language and Code for Language Agents,P3,S3,Archival published,yes,yes,
193,LLaMA-Rider: Spurring Large Language Models to Explore the Open World,P3,S3,Archival published,yes,yes,
194,Automating the Generation of Prompts for LLM-based Action Choice in PDDL Planning,P3,S3,Archival published,yes,yes,
196,JARVIS-1: Open-World Multi-Task Agents With Memory-Augmented Multimodal Language Models,P3,S3,Archival published,yes,yes,
