record_id,system_name,candidate_family,unfamiliar_site_navigation,explicit_schema_coverage,field_level_provenance,unsupported_value_control,cross_site_transfer,complete_dataset_assembly,joint_evaluation,checked_source_locations,coder_rationale,full_contract_result,verification_status
282,"SeeAct","live multimodal Web agent",YES,NO,NO,NO,YES,NO,PARTIAL,"Figure 1; Sections 2.1-2.3; Tables 2-4; online evaluation; error analysis; impact statement","Strong live-Web and cross-website/domain navigation evidence, but the evaluated task is action generation/grounding rather than schema-bound multi-record extraction. It does not preserve field-level evidence, enforce unsupported extracted values, or assemble a complete dataset.",NO,current_notes_verified_final_membership_pending
337,"MindAct / Mind2Web baseline","offline generalist Web agent",PARTIAL,NO,NO,NO,YES,NO,PARTIAL,"dataset construction; action representation; cross-task/cross-website/cross-domain splits; MindAct pipeline; main results; limitations","Explicit cross-website/domain transfer is evaluated, but interaction is primarily offline next-action prediction. There is no extraction schema, field-level provenance, unsupported-value control, or dataset assembly contract.",NO,current_notes_verified_final_membership_pending
338,"WebArena GPT-4 baseline","executable Web-agent baseline",PARTIAL,NO,NO,NO,NO,NO,PARTIAL,"environment/task construction; observation/action spaces; functional validators; main results; failure analysis; limitations","The agent executes long-horizon tasks in realistic self-hosted sites, but the sites are fixed benchmark environments rather than a held-out cross-site transfer protocol. Functional task validation is not schema-guided extraction, field provenance, unsupported-value control, or dataset assembly.",NO,current_notes_verified_final_membership_pending
379,"Spider2-V baseline agents","enterprise data-workflow agent",PARTIAL,NO,NO,NO,NR,PARTIAL,PARTIAL,"494-task/20-application construction; executable VM environments; SQL/Python/GUI actions; baseline results; account/instruction splits; limitations","Strong executable data-workflow coverage across enterprise applications, but not a generalized Web extraction system. Some tasks manipulate structured data, yet there is no field-level Web provenance, explicit extraction schema-coverage contract, or evaluated collection completeness/deduplication.",NO,current_notes_verified_final_membership_pending
430,"DAAgent / InfiAgent-DABench","execution-grounded data-analysis agent",NO,PARTIAL,NO,NO,NO,NO,PARTIAL,"DAEval construction; closed-form answer format; Python execution pipeline; model/agent results; limitations","Machine-checkable structured answers and code execution are strong evaluation features, but this is CSV data analysis rather than Web navigation/extraction. The answer format is not a general extraction schema and no field-to-Web-source provenance or collection assembly is evaluated.",NO,current_notes_verified_final_membership_pending
661,"AutoScraper","reusable Web scraper generation",NO,PARTIAL,PARTIAL,NO,NO,PARTIAL,PARTIAL,"Figures 1-2; SWDE/Extended-SWDE/DS1 experiments; executability metric; Table 6; error analysis; limitations","AutoScraper generates reusable site-level XPath/action sequences and extracts target attributes across multiple pages, which gives partial schema/provenance-like structure and partial dataset behavior. It does not dynamically navigate unfamiliar sites, demonstrate held-out cross-site transfer, attach audited provenance to each value, control unsupported values, or evaluate complete collection coverage/deduplication.",NO,current_notes_verified_final_membership_pending
663,"INFOGENT","multi-source Web information aggregation",YES,NO,NO,NO,NR,NO,PARTIAL,"Figure 1 access modes/architecture; FRAMES and AssistantBench results; component/action analysis; qualitative errors; limitations","Navigator-Extractor-Aggregator provides real multi-source Web exploration, including interactive visual access. Evaluation targets answer-level aggregation, not an explicit row/field schema, field-level provenance, unsupported-value checks, or complete multi-record dataset assembly; held-out site transfer is not established.",NO,current_notes_verified_final_membership_pending
667,"SCRIBES","RL-trained reusable extraction scripts",NO,PARTIAL,PARTIAL,NO,PARTIAL,PARTIAL,PARTIAL,"Figure 1; SemiBench/grouped-page evaluation; Table 1; Table 4; holdout grouping; CommonCrawl pipeline; limitations","SCRIBES learns reusable scripts and evaluates holdout structural groups, so it provides meaningful transfer and structured extraction evidence. However, generalization is tied to structurally similar groups rather than arbitrary unfamiliar-site navigation; no audited field-level provenance or unsupported-value gate is preserved, and dataset completeness/deduplication is not evaluated.",NO,current_notes_verified_final_membership_pending
675,"OneKE","schema-guided knowledge extraction",NO,PARTIAL,NO,PARTIAL,NR,PARTIAL,PARTIAL,"Schema/Extraction/Reflection agents; NER/RE evaluations; Web-news/PDF cases; deployment design; limitations","OneKE is explicitly schema-guided and has a Reflection Agent, but the available evidence does not show schema coverage/completeness tracking at the G2 threshold or field-specific source-support control. It ingests Web HTML/documents rather than navigating unfamiliar sites and does not establish complete Web dataset assembly or held-out site transfer.",NO,current_notes_verified_final_membership_pending
692,"WiNELL","continuous Web search and knowledge updating",PARTIAL,PARTIAL,PARTIAL,PARTIAL,NR,NO,PARTIAL,"section-criteria induction; agentic update aggregation; fine-grained editing; historical evaluation; findings; limitations","WiNELL searches online sources, aggregates updates, preserves citations, and uses section-specific criteria plus human review. Those are partial analogues of schema, provenance, and unsupported-value control, but they operate at article/update level rather than field-level structured dataset extraction; cross-site transfer is not explicitly evaluated and no multi-record collection is assembled.",NO,current_notes_verified_final_membership_pending
