claim_id,manuscript_location,normalized_claim,primary_study_ids,corroborating_study_ids,boundary_study_ids,quantitative_evidence,source_locations_checked,evidence_strength,verification_status
C1-01,"Abstract; §1; §5.1; Table 4","Representative benchmarks cover different pipeline components but do not jointly evaluate the complete source-to-dataset extraction contract.","337;338","283;346","337;338","Mind2Web: 2350 tasks/137 websites/31 domains; WebArena: 812 tasks/241 templates and reviewed ~14.41% agent vs 78.24% human success.","337: dataset construction, Fig.1, generalization splits, MindAct, main results, limitations | 338: task/environment construction, observation/action spaces, evaluation design, main results, error analysis, limitations","strong_cross_benchmark","current_notes_verified_final_membership_pending"
C1-02,"§3.4; §5.2","High-level multimodal reasoning and executable interface grounding are distinct; grounding remains a major end-to-end bottleneck.","282","441;443","282","SeeAct automatic grounding ~32-42% step success vs ~62-65% oracle; online task success ~37.8% automatic vs 51.1% oracle.","282: Fig.1; §2.1 formulation; §2.2 action generation; §2.3 action grounding; Fig.2; Tables 2-4; online evaluation; error analysis; impact statement","strong_direct","current_notes_verified_final_membership_pending"
C1-03,"§3.6; §5.4; §5.4.1; §9.2","Web-agent training improves task behavior, but dominant objectives target task/trajectory/action success rather than schema, field-support, provenance, and record completeness.","517","536;571","517","WebRL reviewed gains include Llama-3.1-8B 4.8%→42.4% and GLM-4-9B 6.1%→43.0% on WebArena-Lite.","517: curriculum/reward formulation; Fig.2; main WebArena-Lite results; failure analysis; long-horizon/complexity figures; ablations/replay analysis","strong_objective_boundary","current_notes_verified_final_membership_pending"
C1-04,"§5.1; §5.5; §7.5","Clean-condition benchmark success can overstate deployment robustness; realistic faults require explicit recovery-aware evaluation.","639","640;641","639","WAREX network-error success: WebArena 12.4%→3.7%; REAL 17.0%→4.5%; WebVoyager 42.0%→2.0% in reviewed evidence.","639: Fig.1/p3 proxy; Fig.3/p4 injected errors; Fig.4/p7 performance/latency/calls/cost; Fig.5/p8 mitigation; Fig.7 and Table 1/pp8-9 popup analysis","strong_direct_robustness","current_notes_verified_final_membership_pending"
C1-05,"§6.1-§6.5; Table 5","Schemas, reusable scripts/selectors, and separated extraction/reflection components improve inspectability, but current extraction systems remain bounded and do not by themselves establish generalized provenance-aware live-Web extraction.","661;675","667","661;675;667","AutoScraper multi-dataset executability evidence; SCRIBES >13% script-quality improvement and >4% downstream QA gain in reviewed evidence.","661: Figs.1-2; formulation; SWDE/Extended-SWDE/DS1; executability; Table 6; errors | 675: schema/extraction/reflection architecture; NER/RE evaluation; Web-news/PDF cases; limitations | 667: Figs.1-3; Table 1; Table 4; Fig.5/Table 5; holdout/noisy-reward analyses","strong_multi_method","current_notes_verified_final_membership_pending"
C1-06,"§5.6; §6.3; §6.6","Multi-source search/aggregation improves discovery and synthesis but is not equivalent to schema-bound row extraction with field-level provenance and complete dataset coverage.","663","692","663;692","INFOGENT reviewed gains: +7% on FRAMES vs compared multi-agent search and +4.3% on AssistantBench vs compared information-seeking agent.","663: Fig.1 access modes/architecture; FRAMES/AssistantBench results; component/action analysis; qualitative errors/limitations | 692: section-criteria induction; aggregation; editing; historical evaluation; key findings/limitations","strong_boundary","current_notes_verified_final_membership_pending"
C1-07,"§5.1; §6.6; §7.4","Automatic trajectory evaluators are fallible; LLM judges can add flexibility but should supplement deterministic checks where values/state/source evidence can be checked programmatically.","356","731","356;731","AgentRewardBench: 1302 trajectories/5 benchmarks/4 source models and 12 evaluators; R-Judge GPT-4o 74.45 F1 in reviewed safety-judgment setting.","356: construction; expert labels; evaluator comparison; correlation/accuracy; errors/limitations | 731: dataset/risk taxonomy pp1-5,13-16; model evaluation pp5-8; failure analysis/limitations pp8-9","strong_meta_evaluation","current_notes_verified_final_membership_pending"
C1-08,"§8.1; Fig.7; Table 6","Externally controlled Web/environment content is an active security boundary because it can function as task data and as an adversarial instruction or grounding channel.","695;702","709;713","695;702;713","InjecAgent: 1054 tests/30 configurations and reviewed 24% compromise for ReAct GPT-4; EIA: 177 PII action steps and up to 70% specific-PII ASR; VisualTrap high grounding ASR under poisoning threat model.","695: benchmark/tool pairing; attack classes; 30-agent evaluation; reinforced attacks; defenses/limitations | 702: threat model; 177 PII steps; target types; stealth tests; defenses | 713: poisoning design; model experiments; clean accuracy; transfer; clean-finetuning persistence","strong_multi_threat","current_notes_verified_final_membership_pending"
C1-09,"§8.3; Table 6","Agent safety must control input/execution/tool boundaries as well as final outputs because harmful tool choices can occur before response moderation.","734","731;738","734;731;738","ToolSword: 440 samples/100 tools; reviewed GPT-4 63.64% ASR on unmodified malicious queries and 65.45% mean unsafe-output rate for harmful feedback; GuardAgent benchmark accuracies >98% EICU-AC and >83% Mind2Web-SC depending on model.","734: scenarios pp1-4; input/execution/output results pp4-8; limitations pp8-9 | 731: dataset pp1-5,13-16; results pp5-8; limitations pp8-9 | 738: architecture pp1-5; benchmarks/metrics/ablations pp3-9; conclusion p9","strong_lifecycle_safety","current_notes_verified_final_membership_pending"
C1-10,"§5.5; §6.5-§6.6; §8.4","A plausible or successful trajectory does not establish data integrity; extraction requires field/source/schema checks in addition to behavioral monitoring.","659","639;675","659","Silent Failures reviewed datasets: 4275 traces and 894 traces; high in-domain detector accuracy while subtle drift remains difficult.","659: complete 7-page current-cycle full text covering failure taxonomy, trace features, datasets, model results and limitations | 639: robustness locations from C1-04 | 675: schema/reflection evidence from C1-05","moderate_cross_domain","current_notes_verified_exact_location_refinement_pending"
C1-11,"§6.8; Table 5; Abstract/Conclusion","No representative reviewed system jointly demonstrates unfamiliar-site navigation, explicit schema coverage, field-level provenance, unsupported-value control, cross-site transfer, and complete dataset assembly as one evaluated end-to-end capability.","661;675;667;663;692;338","337;356","661;675;667;663;692;338","Heterogeneous component results retained per source; no synthetic numeric score is computed across incompatible tasks.","Use C1-01/C1-05/C1-06 source locations plus manuscript Table 5 cross-system strength/weakness comparison.","strong_cross_study_absence_claim","current_notes_verified_final_membership_and_absence_recheck_pending"
