record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at
58,Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,Archival published,"Proceedings of LREC-COLING 2024, pages 2835–2843",https://aclanthology.org/2024.lrec-main.252/,aclanthology.org,yes,VENUE_MISMATCH,"register 'Proceedings of LREC-COLING 2024, pages 2835–2843' vs external archival venues ['Proceedings of the Language Resources and Evaluation Conference']",Can Small Language Models Help Large Language Models Reason Better?: LM-Guided Chain-of-Thought,Proceedings of the Language Resources and Evaluation Conference,2024,10.63317/2c35vp2yxb88,crossref:title,crossref:title: crossref type=proceedings-article venue='Proceedings of the Language Resources and Evaluation Conference',no,A1,PENDING,,,,
86,Generative Agents: Interactive Simulacra of Human Behavior,Archival published,UIST 2023,https://doi.org/10.1145/3586183.3606763,doi.org,no,VENUE_MISMATCH,register 'UIST 2023' vs external archival venues ['Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology'],Generative Agents: Interactive Simulacra of Human Behavior,Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,2023,10.1145/3586183.3606763,openalex:doi | crossref:doi | openalex:title | openalex:title | crossref:title,openalex:doi: DOI prefix 10.1145 (ACM) | openalex:doi: pages 1-22 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology' | openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 1-22 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology',no,A1,PENDING,,,,
110,OpenAgents An Open Platform for Language Agents in the Wild,Unconfirmed,EMNLP 2024 demo/system track likely; verify before final citation,,,no,VENUE_MISMATCH,register 'EMNLP 2024 demo/system track likely; verify before final citation' vs authoritative 'COLM 2024',OpenAgents: An Open Platform for Language Agents in the Wild,COLM 2024,2023,10.48550/arxiv.2310.10634,openalex:title,openalex:title: OpenAlex type=preprint | manual authoritative evidence: COLM 2024 (https://openreview.net/pdf?id=sKATR2O1Y0),no,A1,PENDING,,,,
175,A Survey on the Optimization of Large Language Model-based agents,Archival published,ACM-style journal article / arXiv version,,,no,VENUE_MISMATCH,register 'ACM-style journal article / arXiv version' vs external archival venues ['ACM Computing Surveys'],A Survey on the Optimization of Large Language Model-based Agents,ACM Computing Surveys,2026,10.1145/3789261,openalex:title | crossref:title,openalex:title: location[journal]='ACM Computing Surveys' | openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 1-37 | crossref:title: crossref type=journal-article venue='ACM Computing Surveys',no,A1,PENDING,,,,
249,"Meta-Agent-Workflow: Streamlining Tool Usage in LLMs through Workflow Construction, Retrieval, and Refinement",Archival published,Companion Proceedings of the ACM Web Conference 2025 (WWW Companion 2025),https://doi.org/10.1145/3701716.3715247,doi.org,no,VENUE_MISMATCH,register 'Companion Proceedings of the ACM Web Conference 2025 (WWW Companion 2025)' vs external archival venues ['Companion Proceedings of the ACM on Web Conference 2025'],"<scp>Meta-Agent-Workflow:</scp>
                    Streamlining Tool Usage in LLMs through Workflow Construction, Retrieval, and Refinement",Companion Proceedings of the ACM on Web Conference 2025,2025,10.1145/3701716.3715247,openalex:doi | crossref:doi | openalex:title | crossref:title,openalex:doi: DOI prefix 10.1145 (ACM) | openalex:doi: pages 458-467 | crossref:doi: crossref type=proceedings-article venue='Companion Proceedings of the ACM on Web Conference 2025' | openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 458-467 | crossref:title: crossref type=proceedings-article venue='Companion Proceedings of the ACM on Web Conference 2025',no,A1,PENDING,,,,
343,OmniACT A Dataset and Benchmark for Enabling Multimodal Generalist Autonomous Agents for Desktop and Web,Archival published,European Conference on Computer Vision,https://doi.org/10.48550/arXiv.2402.17553,doi.org,no,VENUE_MISMATCH,"register 'European Conference on Computer Vision' vs external archival venues ['Lecture notes in computer science', 'Lecture Notes in Computer Science']",OmniACT: A Dataset and Benchmark for Enabling Multimodal Generalist Autonomous Agents for Desktop and Web,Lecture Notes in Computer Science,2024,10.1007/978-3-031-73113-6_10,datacite:arxiv | openalex:doi | openalex:title | openalex:title | crossref:title,openalex:title: location[book series]='Lecture notes in computer science' | openalex:title: DOI prefix 10.1007 (Springer) | openalex:title: pages 161-178 | crossref:title: crossref type=book-chapter venue='Lecture Notes in Computer Science',no,A1,PENDING,,,,
436,UNDERSTANDING HTML WITH LARGE LANGUAGE,Archival published,Findings of EMNLP,https://doi.org/10.18653/v1/2023.findings-emnlp.185,doi.org,no,VENUE_MISMATCH,register 'Findings of EMNLP' vs external archival venues ['Findings of the Association for Computational Linguistics: EMNLP 2023'],Understanding HTML with Large Language Models,Findings of the Association for Computational Linguistics: EMNLP 2023,2023,10.18653/v1/2023.findings-emnlp.185,openalex:doi | crossref:doi,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 2803-2821 | crossref:doi: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: EMNLP 2023',no,A1,PENDING,,,,
460,Ferret-UI: Grounded Mobile UI Understanding with Multimodal LLMs,Archival published,Proceedings of the European Conference on Computer Vision,https://doi.org/10.1007/978-3-031-73039-9_14,doi.org,no,VENUE_MISMATCH,"register 'Proceedings of the European Conference on Computer Vision' vs external archival venues ['Lecture notes in computer science', 'Lecture Notes in Computer Science']",Ferret-UI: Grounded Mobile UI Understanding with Multimodal LLMs,Lecture Notes in Computer Science,2024,10.1007/978-3-031-73039-9_14,openalex:doi | crossref:doi | openalex:title | openalex:title | crossref:title,openalex:doi: location[book series]='Lecture notes in computer science' | openalex:doi: DOI prefix 10.1007 (Springer) | openalex:doi: pages 240-255 | crossref:doi: crossref type=book-chapter venue='Lecture Notes in Computer Science' | openalex:title: location[book series]='Lecture notes in computer science' | openalex:title: DOI prefix 10.1007 (Springer) | openalex:title: pages 240-255 | crossref:title: crossref type=book-chapter venue='Lecture Notes in Computer Science',no,A1,PENDING,,,,
485,WebCoT Enhancing Web Agent Reasoning by Reconstructing Chain-of-Thought in Reflection Branching and Rollback,Archival published,Findings of EMNLP,arXiv:2505.20013,,no,VENUE_MISMATCH,register 'Findings of EMNLP' vs external archival venues ['Findings of the Association for Computational Linguistics: EMNLP 2025'],"WebCoT: Enhancing Web Agent Reasoning by Reconstructing Chain-of-Thought in Reflection, Branching, and Rollback",Findings of the Association for Computational Linguistics: EMNLP 2025,2025,10.18653/v1/2025.findings-emnlp.276,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 5155-5173 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: EMNLP 2025',no,A1,PENDING,,,,
575,Large Language Models Empowered Personalized Web Agents,Archival published,"WWW 2025 (Oral), pp. 198–215",https://doi.org/10.1145/3696410.3714842; 2410.17236,doi.org,no,VENUE_MISMATCH,"register 'WWW 2025 (Oral), pp. 198–215' vs external archival venues ['Proceedings of the ACM on Web Conference 2025']",Large Language Models Empowered Personalized Web Agents,Proceedings of the ACM on Web Conference 2025,2025,10.1145/3696410.3714842,datacite:arxiv | openalex:doi | crossref:doi | openalex:title | openalex:title | crossref:title,openalex:doi: DOI prefix 10.1145 (ACM) | openalex:doi: pages 198-215 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the ACM on Web Conference 2025' | openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 198-215 | crossref:title: crossref type=proceedings-article venue='Proceedings of the ACM on Web Conference 2025',no,A1,PENDING,,,,
646,Are Autonomous Web Agents Good Testers,Archival published,Proc. ACM Softw. Eng.,https://doi.org/10.1145/3728879,doi.org,no,VENUE_MISMATCH,"register 'Proc. ACM Softw. Eng.' vs external archival venues ['Proceedings of the ACM on software engineering.', 'Proceedings of the ACM on Software Engineering']",Are Autonomous Web Agents Good Testers?,Proceedings of the ACM on Software Engineering,2025,10.1145/3728879,openalex:doi | crossref:doi | openalex:title | crossref:title,openalex:doi: location[journal]='Proceedings of the ACM on software engineering.' | openalex:doi: DOI prefix 10.1145 (ACM) | openalex:doi: pages 206-228 | crossref:doi: crossref type=journal-article venue='Proceedings of the ACM on Software Engineering' | openalex:title: location[journal]='Proceedings of the ACM on software engineering.' | openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 206-228 | crossref:title: crossref type=journal-article venue='Proceedings of the ACM on Software Engineering',no,A1,PENDING,,,,
648,Understanding GUI Agent Localization Biases through Logit Sharpness,Archival published,Findings of EMNLP,arXiv:2506.15425,,no,VENUE_MISMATCH,register 'Findings of EMNLP' vs external archival venues ['Findings of the Association for Computational Linguistics: EMNLP 2025'],Understanding GUI Agent Localization Biases through Logit Sharpness,Findings of the Association for Computational Linguistics: EMNLP 2025,2025,10.18653/v1/2025.findings-emnlp.1268,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 23361-23374 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: EMNLP 2025',no,A1,PENDING,,,,
675,OneKE A Dockerized Schema-Guided LLM Agent-based Knowledge Extraction System,Archival published,Companion of the ACM Web Conference 2025,https://doi.org/10.1145/3701716.3715189,doi.org,no,VENUE_MISMATCH,register 'Companion of the ACM Web Conference 2025' vs external archival venues ['Companion Proceedings of the ACM on Web Conference 2025'],OneKE: A Dockerized Schema-Guided LLM Agent-based Knowledge Extraction System,Companion Proceedings of the ACM on Web Conference 2025,2025,10.1145/3701716.3715189,openalex:doi | crossref:doi | openalex:title | openalex:title | crossref:title,openalex:doi: DOI prefix 10.1145 (ACM) | openalex:doi: pages 2871-2874 | crossref:doi: crossref type=proceedings-article venue='Companion Proceedings of the ACM on Web Conference 2025' | openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 2871-2874 | crossref:title: crossref type=proceedings-article venue='Companion Proceedings of the ACM on Web Conference 2025',no,A1,PENDING,,,,
685,"DataAgent: Evaluating Large Language Models' Ability to Answer Zero-Shot, Natural Language Queries",Archival published,"2024 IEEE International Conference on Artificial Intelligence and Computer Engineering (ICAIC 2024), pages 1–5",https://ieeexplore.ieee.org/document/10433803/,ieeexplore.ieee.org,yes,VENUE_MISMATCH,"register '2024 IEEE International Conference on Artificial Intelligence and Computer Engineering (ICAIC 2024), pages 1–5' vs external archival venues ['2024 IEEE 3rd International Conference on AI in Cybersecurity (ICAIC)']","DataAgent: Evaluating Large Language Models’ Ability to Answer Zero-Shot, Natural Language Queries",2024 IEEE 3rd International Conference on AI in Cybersecurity (ICAIC),2024,10.1109/icaic60265.2024.10433803,openalex:title | crossref:title,openalex:title: DOI prefix 10.1109 (IEEE) | openalex:title: pages 1-5 | crossref:title: crossref type=proceedings-article venue='2024 IEEE 3rd International Conference on AI in Cybersecurity (ICAIC)',no,A1,PENDING,,,,
774,From Prompt Injections to Protocol Exploits: Threats in LLM-Powered AI Agents Workflows,Archival accepted,,,,no,VENUE_MISSING,register venue blank; archival venue 'ICT Express',From prompt injections to protocol exploits: Threats in LLM-powered AI agents workflows,ICT Express,2026,10.1016/j.icte.2025.12.001,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.1016 (Elsevier) | openalex:title: location[journal]='ICT Express' | openalex:title: pages 353-383 | crossref:title: crossref type=journal-article venue='ICT Express',no,A1,PENDING,,,,
782,"Model Context Protocol -MCP: Landscape, Security Threats, and Future Research Directions",Archival published,ACM Digital Library,https://doi.org/10.1145/3796519,doi.org,no,VENUE_MISMATCH,register 'ACM Digital Library' vs external archival venues ['ACM Transactions on Software Engineering and Methodology'],"Model Context Protocol (MCP): Landscape, Security Threats, and Future Research Directions",ACM Transactions on Software Engineering and Methodology,2026,10.1145/3796519,openalex:doi | crossref:doi | openalex:title | openalex:title | crossref:title,openalex:doi: location[journal]='ACM Transactions on Software Engineering and Methodology' | openalex:doi: DOI prefix 10.1145 (ACM) | crossref:doi: crossref type=journal-article venue='ACM Transactions on Software Engineering and Methodology' | openalex:title: location[journal]='ACM Transactions on Software Engineering and Methodology' | openalex:title: DOI prefix 10.1145 (ACM) | crossref:title: crossref type=journal-article venue='ACM Transactions on Software Engineering and Methodology',no,A1,PENDING,,,,
785,Web Fraud Attacks Against LLM-Driven Multi-Agent Systems,Archival accepted,,,,no,VENUE_MISSING,register venue blank; archival venue 'Findings of the Association for Computational Linguistics: ACL 2026',Web Fraud Attacks Against LLM-Driven Multi-Agent Systems,Findings of the Association for Computational Linguistics: ACL 2026,2026,10.18653/v1/2026.findings-acl.686,openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 14020-14034 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2026',no,A1,PENDING,,,,
21,Flamingo: a Visual Language Model for Few-Shot Learning,Archival published,NeurIPS 2022,https://proceedings.neurips.cc/paper_files/paper/2022/hash/960a172bc7fbf0177ccccbb411a7d800-Abstract-Conference.html,proceedings.neurips.cc,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Flamingo: a Visual Language Model for Few-Shot Learning,,2022,10.48550/arxiv.2204.14198,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
22,Emergent Abilities of Large Language Models,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=yzkSU5zdwD,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Emergent Abilities of Large Language Models,,2022,10.48550/arxiv.2206.07682,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
23,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,Archival published,"ICML 2023, PMLR 202",https://proceedings.mlr.press/v202/li23q.html,proceedings.mlr.press,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,,2023,10.48550/arxiv.2301.12597,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
25,Multimodal Chain-of-Thought Reasoning in Language Models,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=y1pPWFVfvR,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Multimodal Chain-of-Thought Reasoning in Language Models,,2025,10.59350/90sh1-hbs94,openalex:title | openalex:title | openalex:title | crossref:title | crossref:title | crossref:title | crossref:title,crossref:title: crossref type=posted-content (preprint),no,A2,PENDING,,,,
26,PaLM-E: An Embodied Multimodal Language Model,Archival published,"ICML 2023, PMLR 202",https://proceedings.mlr.press/v202/driess23a.html,proceedings.mlr.press,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,PaLM-E: An Embodied Multimodal Language Model,,2023,10.48550/arxiv.2303.03378,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
38,A Survey of Frontiers in LLM Reasoning Inference Scaling Learning to Reason and Agentic Systems,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=frontierslLMreasoning,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,"A Survey of Frontiers in LLM Reasoning: Inference Scaling, Learning to Reason, and Agentic Systems",,2025,10.48550/arxiv.2504.09037,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
44,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,Archival published,ICLR 2023,https://openreview.net/forum?id=3Pf3Wg6o-A4,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,,2022,10.48550/arxiv.2205.09712,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
49,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",https://openreview.net/forum?id=pTHfApDakA,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,,2023,10.48550/arxiv.2308.00436,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
63,Thinking LLMs: General Instruction Following with Thought Generation,Archival published,"Proceedings of the 42nd International Conference on Machine Learning (ICML 2025), PMLR 267",https://proceedings.mlr.press/v267/wu25o.html,proceedings.mlr.press,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Thinking LLMs: General Instruction Following with Thought Generation,,2024,10.48550/arxiv.2410.10630,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
65,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-Adaptive Planning Agent,Archival accepted,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=VvDEuyVXkG,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-adaptive Planning Agent,,2024,10.48550/arxiv.2411.02937,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
94,Large Language Models as Tool Makers,Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=qV83K9d5WB,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Large Language Models as Tool Makers,,2023,10.48550/arxiv.2305.17126,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
103,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Oral",https://openreview.net/forum?id=VtmBAGCN7o,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,,2023,10.48550/arxiv.2308.00352,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
114,An LLM Compiler for Parallel Function Calling,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 24370-24391",https://proceedings.mlr.press/v235/kim24y.html,proceedings.mlr.press,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,An LLM Compiler for Parallel Function Calling,,2023,10.48550/arxiv.2312.04511,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
119,Executable Code Actions Elicit Better LLM Agents,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 50208-50232",https://proceedings.mlr.press/v235/wang24h.html,proceedings.mlr.press,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Executable Code Actions Elicit Better LLM Agents,,2024,10.48550/arxiv.2402.01030,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
186,CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",https://openreview.net/forum?id=G0vdDSt9XM,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets,,2023,10.48550/arxiv.2309.17428,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
188,AlphaZero-Like Tree-Search can Guide Large Language Model Decoding and Training,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 49890-49920",https://proceedings.mlr.press/v235/wan24c.html,proceedings.mlr.press,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Alphazero-like Tree-Search can Guide Large Language Model Decoding and Training,,2023,10.48550/arxiv.2309.17179,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
190,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,Archival accepted,Conference on Language Modeling (COLM 2024),https://openreview.net/forum?id=7BCmIWVT0V,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,,2023,10.48550/arxiv.2310.00280,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
191,L2MAC: Large Language Model Automatic Computer for Extensive Code Generation,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",https://openreview.net/forum?id=EhrzQwsV4K,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,L2MAC: Large Language Model Automatic Computer for Extensive Code Generation,,2023,10.48550/arxiv.2310.02003,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
192,Lemur: Harmonizing Natural Language and Code for Language Agents,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Spotlight",https://openreview.net/forum?id=hNhwSmtXRh,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Lemur: Harmonizing Natural Language and Code for Language Agents,,2023,10.48550/arxiv.2310.06830,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
202,A Human-Inspired Reading Agent with Gist Memory of Very Long Contexts,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 26396-26415",https://proceedings.mlr.press/v235/lee24c.html,proceedings.mlr.press,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,A Human-Inspired Reading Agent with Gist Memory of Very Long Contexts,,2024,10.48550/arxiv.2402.09727,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
215,AgentKit: Structured LLM Reasoning with Dynamic Graphs,Archival accepted,Conference on Language Modeling (COLM 2024),https://openreview.net/forum?id=PKfAq8N4fK,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AgentKit: Structured LLM Reasoning with Dynamic Graphs,,2024,10.48550/arxiv.2404.11483,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
220,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use (Including RAG), Planning, and Feedback Learning",Archival published,"Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025), pages 9760–9779",https://aclanthology.org/2025.coling-main.658/,aclanthology.org,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use (Including RAG), Planning, and Feedback Learning",,2024,10.48550/arxiv.2406.05804,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
233,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,Archival published,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=nfKfAzkiez,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,,2024,10.48550/arxiv.2411.00053,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
238,Proactive Agent: Shifting LLM Agents from Reactive Responses to Active Assistance,Archival accepted,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=sRIU6k2TcU,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Proactive Agent: Shifting LLM Agents from Reactive Responses to Active Assistance,,2024,10.48550/arxiv.2410.12361,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
247,LLMs are Greedy Agents: Effects of RL Fine-tuning on Decision-Making Abilities,Archival published,"International Conference on Learning Representations (ICLR 2026), Poster",https://openreview.net/forum?id=weUP6H5Ko9,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,LLMs are Greedy Agents: Effects of RL Fine-tuning on Decision-Making Abilities,,2025,10.48550/arxiv.2504.16078,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
262,Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,Archival accepted,"International Conference on Learning Representations, ICLR 2026",https://openreview.net/forum?id=eC4ygDs02R,openreview.net,yes,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,,2025,10.48550/arxiv.2510.04618,openalex:title,openalex:title: OpenAlex type=preprint,no,A2,PENDING,,,,
