record_id,title,batch,machine_verdict,decision,final_status,final_venue,evidence_url,final_identifier,flags,corpus_action
9,Finetuned Language Models Are Zero-Shot Learners,B1_ICLR,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,International Conference on Learning Representations,https://proceedings.iclr.cc/papers/search?q=Finetuned+Language+Models+Are+Zero-Shot+Learners,,search_url_not_record_specific,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
12,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,B1_ICLR,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,International Conference on Learning Representations,https://proceedings.iclr.cc/papers/search?q=Least-to-Most+Prompting+Enables+Complex+Reasoning+in+Large+Language+Models,,search_url_not_record_specific,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
93,Interactive Natural Language Processing,C1_suspicious_OK_PREPRINT,OK_PREPRINT,SET_ARCHIVAL_PUBLISHED_SPRINGER_BOOK,Archival published,Synthesis Lectures on Human Language Technologies / Springer Nature,https://link.springer.com/book/10.1007/978-3-032-06264-2,https://doi.org/10.1007/978-3-032-06264-2,archival_non_journal_conference_type_check_eligibility,set Archival published book metadata; defer strict journal/conference eligibility decision to corpus-membership pass
118,PreAct: Predicting Future in ReAct Enhances Agent’s Planning Ability,B2_NO_MATCH,NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/search/?query=PreAct%3A+Predicting+Future+in+ReAct+Enhances+Agent%E2%80%99s+Planning+Ability&searchtype=title,https://arxiv.org/search/?query=PreAct%3A+Predicting+Future+in+ReAct+Enhances+Agent%E2%80%99s+Planning+Ability&searchtype=title,search_url_not_record_specific,retain Preprint/technical report; normalize arXiv identifier when available
146,Agentic Reasoning: Reasoning LLMs with Tools for the Deep Research,B2_NO_MATCH,NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/search/?query=Agentic+Reasoning%3A+Reasoning+LLMs+with+Tools+for+the+Deep+Research&searchtype=title,https://arxiv.org/search/?query=Agentic+Reasoning%3A+Reasoning+LLMs+with+Tools+for+the+Deep+Research&searchtype=title,search_url_not_record_specific,retain Preprint/technical report; normalize arXiv identifier when available
152,Advances and Challenges in Foundation Agents,B2_NO_MATCH,NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/search/?query=Advances+and+Challenges+in+Foundation+Agents&searchtype=title,https://arxiv.org/search/?query=Advances+and+Challenges+in+Foundation+Agents&searchtype=title,search_url_not_record_specific,retain Preprint/technical report; normalize arXiv identifier when available
158,Deep Research Agents: A Systematic Examination And Roadmap,B2_NO_MATCH,NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/search/?query=Deep+Research+Agents%3A+A+Systematic+Examination+And+Roadmap&searchtype=title,https://arxiv.org/search/?query=Deep+Research+Agents%3A+A+Systematic+Examination+And+Roadmap&searchtype=title,search_url_not_record_specific,retain Preprint/technical report; normalize arXiv identifier when available
165,Beyond Pipelines: A Survey of the Paradigm Shift toward Model-Native Agentic AI,B2_NO_MATCH,NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/search/?query=Beyond+Pipelines%3A+A+Survey+of+the+Paradigm+Shift+toward+Model-Native+Agentic+AI&searchtype=title,https://arxiv.org/search/?query=Beyond+Pipelines%3A+A+Survey+of+the+Paradigm+Shift+toward+Model-Native+Agentic+AI&searchtype=title,search_url_not_record_specific,retain Preprint/technical report; normalize arXiv identifier when available
166,Experience-Driven Exploration for Efficient API-Free AI Agents,B2_NO_MATCH,NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/search/?query=Experience-Driven+Exploration+for+Efficient+API-Free+AI+Agents&searchtype=title,https://arxiv.org/search/?query=Experience-Driven+Exploration+for+Efficient+API-Free+AI+Agents&searchtype=title,search_url_not_record_specific,retain Preprint/technical report; normalize arXiv identifier when available
172,"AI Agent Systems: Architectures, Applications, and Evaluation",B2_NO_MATCH,NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/search/?query=AI+Agent+Systems%3A+Architectures%2C+Applications%2C+and+Evaluation&searchtype=title,https://arxiv.org/search/?query=AI+Agent+Systems%3A+Architectures%2C+Applications%2C+and+Evaluation&searchtype=title,search_url_not_record_specific,retain Preprint/technical report; normalize arXiv identifier when available
174,"Toward Efficient Agents: Memory, Tool learning, and Planning",B2_NO_MATCH,NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/search/?query=Toward+Efficient+Agents%3A+Memory%2C+Tool+learning%2C+and+Planning&searchtype=title,https://arxiv.org/search/?query=Toward+Efficient+Agents%3A+Memory%2C+Tool+learning%2C+and+Planning&searchtype=title,search_url_not_record_specific,retain Preprint/technical report; normalize arXiv identifier when available
232,Steering Large Language Models between Code Execution and Textual Reasoning,B1_ICLR,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,ICLR 2025,https://proceedings.iclr.cc/papers/search?q=Steering+Large+Language+Models+between+Code+Execution+and+Textual+Reasoning,"proceedings.iclr.cc (2025, OpenReview 5X5Z7Ffrjb); 2410.03524",search_url_not_record_specific,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
252,Towards Agentic RAG with Deep Reasoning: A Survey of RAG-Reasoning Systems in LLMs,B2_NO_MATCH,NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/search/?query=Towards+Agentic+RAG+with+Deep+Reasoning%3A+A+Survey+of+RAG-Reasoning+Systems+in+LLMs&searchtype=title,https://arxiv.org/search/?query=Towards+Agentic+RAG+with+Deep+Reasoning%3A+A+Survey+of+RAG-Reasoning+Systems+in+LLMs&searchtype=title,search_url_not_record_specific,retain Preprint/technical report; normalize arXiv identifier when available
284,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration,B1_ICLR,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,International Conference on Learning Representations,https://proceedings.iclr.cc/papers/search?q=Reinforcement+Learning+on+Web+Interfaces+using+Workflow-Guided+Exploration,,search_url_not_record_specific,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
286,A Real-World WebAgent with Planning Long Context Understanding and Program Synthesis,B1_ICLR,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,International Conference on Learning Representations,https://proceedings.iclr.cc/papers/search?q=A+Real-World+WebAgent+with+Planning+Long+Context+Understanding+and+Program+Synthesis,,search_url_not_record_specific,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
289,Agent S An Open Agentic Framework that Uses Computers Like a Human,B1_ICLR,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,International Conference on Learning Representations,https://proceedings.iclr.cc/papers/search?q=Agent+S+An+Open+Agentic+Framework+that+Uses+Computers+Like+a+Human,arXiv:2410.08164,search_url_not_record_specific,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
298,WALT: Web Agents that Learn Tools,B1_ICLR,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,International Conference on Learning Representations,https://proceedings.iclr.cc/papers/search?q=WALT%3A+Web+Agents+that+Learn+Tools,arXiv:2510.01524,search_url_not_record_specific,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
301,Synapse: Leveraging Few-Shot Exemplars for Human-Level Computer Control,B2_NO_MATCH,NO_MATCH,RETAIN_PREPRINT_DUPLICATE_VERSION,Preprint/technical report,arXiv / CoRR,https://dblp.org/rec/journals/corr/abs-2306-07863,https://arxiv.org/abs/2306.07863,duplicate_or_version_reconciliation_required,retain preprint; flag duplicate/version overlap with 457
327,CoAct-1: Computer-using Agents with Coding as Actions,B2_NO_MATCH,NO_MATCH,SET_ARCHIVAL_PUBLISHED_ICLR,Archival published,ICLR 2026,https://limelab.science/papers/,https://arxiv.org/abs/2508.03923,archival_supported_only_or_partly_by_preprint_identifier,upgrade to archival; correct arXiv identifier; add ICLR 2026 venue
341,AgentBench Evaluating LLMs as Agents,B1_ICLR,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,International Conference on Learning Representations,https://proceedings.iclr.cc/papers/search?q=AgentBench+Evaluating+LLMs+as+Agents,arXiv:2308.03688,search_url_not_record_specific,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
342,GAIA a benchmark for General AI Assistants,B1_ICLR,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,International Conference on Learning Representations,https://proceedings.iclr.cc/papers/search?q=GAIA+a+benchmark+for+General+AI+Assistants,arXiv:2311.12983,search_url_not_record_specific,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
367,ST-WebAgentBench: A Benchmark for Evaluating Safety and Trustworthiness in Web Agents,B1_ICLR,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,International Conference on Learning Representations,https://proceedings.iclr.cc/papers/search?q=ST-WebAgentBench%3A+A+Benchmark+for+Evaluating+Safety+and+Trustworthiness+in+Web+Agents,arXiv:2410.06703,search_url_not_record_specific,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
374,AndroidWorld A Dynamic Benchmarking Environment for Autonomous Agents,B1_ICLR,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,International Conference on Learning Representations,https://proceedings.iclr.cc/papers/search?q=AndroidWorld+A+Dynamic+Benchmarking+Environment+for+Autonomous+Agents,arXiv:2405.14573,search_url_not_record_specific,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
376,-bench A Benchmark for Tool-Agent-User Interaction in Real-World Domains,B1_ICLR,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,International Conference on Learning Representations,https://proceedings.iclr.cc/papers/search?q=-bench+A+Benchmark+for+Tool-Agent-User+Interaction+in+Real-World+Domains,arXiv:2406.12045,search_url_not_record_specific,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
381,VisualAgentBench Towards Large Multimodal Models as Visual Foundation Agents,B1_ICLR,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,International Conference on Learning Representations,https://proceedings.iclr.cc/papers/search?q=VisualAgentBench+Towards+Large+Multimodal+Models+as+Visual+Foundation+Agents,arXiv:2408.06327,search_url_not_record_specific,keep Archival published; retain/normalize ICLR venue; add authoritative proceedings evidence
