record_id,title,machine_verdict,decision,final_status,final_venue,final_identifier,evidence_url,evidence_note,adjudicated_by,adjudicated_at,corpus_action
7,Improving Language Understanding by Generative Pre-Training,NO_MATCH,SET_PREPRINT_TECHNICAL_REPORT,Preprint/technical report,OpenAI technical report,,https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf,"The GPT-1 work is an OpenAI technical report, not an archival peer-reviewed publication.",ChatGPT-assisted manual evidence review,2026-09-13,set non-archival technical-report status
30,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",NO_MATCH,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,ICLR 2024,https://openreview.net/forum?id=hSyW5go0v8,https://openreview.net/forum?id=hSyW5go0v8,Official OpenReview record confirms the exact Self-RAG paper at ICLR 2024.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival; retain OpenReview identifier
34,To CoT or Not to CoT? Chain-of-Thought Helps Mainly on Math and Symbolic Reasoning,NO_MATCH,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,ICLR 2025,https://openreview.net/forum?id=4hSaB8l9cB,https://openreview.net/forum?id=4hSaB8l9cB,Official OpenReview record confirms the exact paper at ICLR 2025.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival; retain OpenReview identifier
60,"Are Long-LLMs A Necessity For Long-Context Tasks: Hongjin Qian1,2, Zheng Liu2∗, Peitian Zhang1, Kelong Mao1, Yujia Zhou1",NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/abs/2405.15318,https://arxiv.org/abs/2405.15318,Targeted exact-title review found no later authoritative conference or journal publication as of 2026-09-13; the existing preprint classification is retained.,ChatGPT-assisted manual evidence review,2026-09-13,retain Preprint/technical report; normalize arXiv identifier when available
68,ReAct: Synergizing Reasoning and Acting in Language Models,NO_MATCH,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,ICLR 2023,https://openreview.net/forum?id=WE_vluYUL-X,https://openreview.net/forum?id=WE_vluYUL-X,Authoritative conference citations identify ReAct as an ICLR 2023 paper.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival; add canonical OpenReview identifier
98,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-World APIs,NO_MATCH,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,ICLR 2024,https://openreview.net/forum?id=dHng2O0Jjr,https://openreview.net/forum?id=dHng2O0Jjr,Official OpenReview record confirms ToolLLM at ICLR 2024.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival; retain OpenReview identifier
115,"Large Language Model based Multi-Agents: A Survey of Progress and Challenges Taicheng Guo1 , Xiuying Chen2 , Yaqi Wang3∗, Ruidi Chang , Shichao Pei4 ,",NO_MATCH,RETAIN_ARCHIVAL_OFFICIAL_IJCAI,Archival published,IJCAI 2024 Survey Track,https://doi.org/10.24963/ijcai.2024/890,https://doi.org/10.24963/ijcai.2024/890,IJCAI DOI identifies the survey as an archival IJCAI 2024 publication.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival; retain DOI
118,PreAct: Predicting Future in ReAct Enhances Agent’s Planning Ability,NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/search/?query=PreAct%3A+Predicting+Future+in+ReAct+Enhances+Agent%E2%80%99s+Planning+Ability&searchtype=title,https://arxiv.org/search/?query=PreAct%3A+Predicting+Future+in+ReAct+Enhances+Agent%E2%80%99s+Planning+Ability&searchtype=title,Targeted exact-title review found no later authoritative conference or journal publication as of 2026-09-13; the existing preprint classification is retained.,ChatGPT-assisted manual evidence review,2026-09-13,retain Preprint/technical report; normalize arXiv identifier when available
127,THE LANDSCAPE OF EMERGING AI AGENT ARCHITECTURES,NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/abs/2404.11584,https://arxiv.org/abs/2404.11584,Targeted exact-title review found no later authoritative conference or journal publication as of 2026-09-13; the existing preprint classification is retained.,ChatGPT-assisted manual evidence review,2026-09-13,retain Preprint/technical report; normalize arXiv identifier when available
146,Agentic Reasoning: Reasoning LLMs with Tools for the Deep Research,NO_MATCH,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL,Preprint/technical report,arXiv / preprint,https://arxiv.org/search/?query=Agentic+Reasoning%3A+Reasoning+LLMs+with+Tools+for+the+Deep+Research&searchtype=title,https://arxiv.org/search/?query=Agentic+Reasoning%3A+Reasoning+LLMs+with+Tools+for+the+Deep+Research&searchtype=title,Targeted exact-title review found no later authoritative conference or journal publication as of 2026-09-13; the existing preprint classification is retained.,ChatGPT-assisted manual evidence review,2026-09-13,retain Preprint/technical report; normalize arXiv identifier when available
