record_id,title,machine_verdict,decision,final_status,final_venue,final_identifier,evidence_url,evidence_note,adjudicated_by,adjudicated_at,corpus_action
57,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ACL,Archival published,Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025),https://aclanthology.org/2025.coling-main.719/,https://aclanthology.org/2025.coling-main.719/,ACL Anthology lists the exact paper in COLING 2025.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; retain ACL Anthology identifier
79,ART: Automatic Multi-step Reasoning and Tool-use for Large Language Models,DOWNGRADE,SET_PREPRINT_WRONG_ACL_IDENTIFIER,Preprint/technical report,arXiv preprint,https://arxiv.org/abs/2303.09014,https://arxiv.org/abs/2303.09014,"The stored ACL DOI 2023.emnlp-main.190 belongs to a different paper (“Evaluating Large Language Models on Controlled Generation Tasks”). DBLP and arXiv list ART only as CoRR/arXiv, so the archival claim is unsupported.",ChatGPT-assisted manual evidence review,2026-09-13,set preprint/technical report; replace incorrect ACL DOI with arXiv identifier
162,OS Agents: A Survey on MLLM-based Agents for General Computing Devices Use,DOWNGRADE,RETAIN_ARCHIVAL_CORRECT_TITLE_IDENTIFIER,Archival published,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),https://aclanthology.org/2025.acl-long.369/,https://aclanthology.org/2025.acl-long.369/,"ACL Anthology lists the final paper as “OS Agents: A Survey on MLLM-based Agents for Computer, Phone and Browser Use,” DOI 10.18653/v1/2025.acl-long.369.",ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; update final title and ACL identifier
169,"Large Language Model Agents: A Comprehensive Survey on Architectures, Capabilities, and Applications",DOWNGRADE,SET_PREPRINT_ONLY,Preprint/technical report,Preprints.org,https://www.preprints.org/manuscript/202512.2119,https://www.preprints.org/manuscript/202512.2119,Preprints.org explicitly labels the latest version as a preprint and not peer-reviewed; no later archival publication was located.,ChatGPT-assisted manual evidence review,2026-09-13,set preprint/technical report; set Preprints.org venue/identifier
189,AutoAgents: A Framework for Automatic Agent Generation,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_IJCAI,Archival published,Proceedings of the Thirty-Third International Joint Conference on Artificial Intelligence (IJCAI-24),https://www.ijcai.org/proceedings/2024/0003,https://www.ijcai.org/proceedings/2024/0003,"Official IJCAI proceedings list AutoAgents, pages 22–30, DOI 10.24963/ijcai.2024/3.",ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; retain IJCAI DOI
214,A Survey on Large Language Model-Based Game Agents,DOWNGRADE,RETAIN_ARCHIVAL_ACCEPTED_ACM,Archival accepted,ACM Computing Surveys,https://doi.org/10.48550/arXiv.2404.02039; arXiv:2404.02039,https://faculty.cc.gatech.edu/~lingliu/publication.html,"Author publication list states “A Survey on Large Language Model Based Game Agents” was accepted by ACM Computing Surveys on May 7, 2026; arXiv v5 also identifies ACM Computing Surveys, 2026. No canonical ACM article DOI was located yet.",ChatGPT-assisted manual evidence review,2026-09-13,keep archival accepted; normalize venue; retain arXiv identifier until ACM DOI is available
323,GA: A Comprehensive Survey on LLM-based GUI Agent,DOWNGRADE,SET_PREPRINT_ONLY,Preprint/technical report,TechRxiv,https://doi.org/10.36227/techrxiv.175322671.12208812/v1,https://doi.org/10.36227/techrxiv.175322671.12208812/v1,The available record is a TechRxiv submitted manuscript/preprint; the known-answer control already identified this register archival claim as a false positive.,ChatGPT-assisted manual evidence review,2026-09-13,set preprint/technical report; set TechRxiv identifier
372,ASSISTGUI: Task-Oriented Desktop Graphical User Interface Automation,DOWNGRADE,RETAIN_ARCHIVAL_CORRECT_TITLE_CVPR,Archival published,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR 2024),https://openaccess.thecvf.com/content/CVPR2024/html/Gao_AssistGUI_Task-Oriented_PC_Graphical_User_Interface_Automation_CVPR_2024_paper.html,https://openaccess.thecvf.com/content/CVPR2024/html/Gao_AssistGUI_Task-Oriented_PC_Graphical_User_Interface_Automation_CVPR_2024_paper.html,Official CVF proceedings list the final title “AssistGUI: Task-Oriented PC Graphical User Interface Automation” at CVPR 2024.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; correct title/venue/identifier
424,Ego2Web: A Web Agent Benchmark Grounded in Egocentric Videos,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_CVF,Archival published,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR 2026),https://openaccess.thecvf.com/content/CVPR2026/html/Yu_Ego2Web_A_Web_Agent_Benchmark_Grounded_in_Egocentric_Videos_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Yu_Ego2Web_A_Web_Agent_Benchmark_Grounded_in_Egocentric_Videos_CVPR_2026_paper.html,Official CVF Open Access proceedings list the exact Ego2Web paper at CVPR 2026.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; set official CVF proceedings identifier
439,Pix2Act -- From Pixels to UI Actions: Learning to Follow Instructions via Graphical User Interfaces,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_NEURIPS,Archival published,Advances in Neural Information Processing Systems 36 (NeurIPS 2023),https://proceedings.neurips.cc/paper_files/paper/2023/hash/6c52a8a4fadc9129c6e1d1745f2dfd0f-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/hash/6c52a8a4fadc9129c6e1d1745f2dfd0f-Abstract-Conference.html,Official NeurIPS proceedings list the exact Pix2Act paper in the 2023 main conference track.,ChatGPT-assisted manual evidence review,2026-09-13,keep archival published; normalize final title/venue and proceedings identifier
