record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,venue_family
415,DRBench: A Realistic Benchmark for Enterprise Deep Research,Archival published,International Conference on Learning Representations,arXiv:2510.00172,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,DRBench: A Realistic Benchmark for Enterprise Deep Research,arXiv,2025,10.48550/arxiv.2510.00172,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2510.00172,no,B1,PENDING,,,,,OPENREVIEW_ICLR
419,TheMCPCompany: Creating General-purpose Agents with Task-specific Tools,Archival published,International Conference on Learning Representations,arXiv:2504.11676,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,TheMCPCompany: Creating General-purpose Agents with Task-specific Tools,,2025,10.48550/arxiv.2510.19286,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_ICLR
443,OmniParser for Pure Vision Based GUI Agent,Archival published,International Conference on Learning Representations,arXiv:2408.00203,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,OmniParser for Pure Vision Based GUI Agent,arXiv,2024,10.48550/arxiv.2408.00203,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2408.00203,no,B1,PENDING,,,,,OPENREVIEW_ICLR
444,OS-ATLAS: A Foundation Action Model for Generalist GUI Agents,Archival published,International Conference on Learning Representations,arXiv:2410.23218,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,OS-ATLAS: A Foundation Action Model for Generalist GUI Agents,arXiv,2024,10.48550/arxiv.2410.23218,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.23218,no,B1,PENDING,,,,,OPENREVIEW_ICLR
453,LCoW: Learning to Contextualize Web Pages for Enhanced Decision Making by LLM Agents,Archival published,International Conference on Learning Representations,arXiv:2503.10689,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Learning to Contextualize Web Pages for Enhanced Decision Making by LLM Agents,arXiv,2025,10.48550/arxiv.2503.10689,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2503.10689,no,B1,PENDING,,,,,OPENREVIEW_ICLR
457,Synapse Trajectory-as-Exemplar Prompting with Memory for Computer Control,Archival published,International Conference on Learning Representations,arXiv:2306.07863,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Synapse: Trajectory-as-Exemplar Prompting with Memory for Computer Control,arXiv,2023,10.48550/arxiv.2306.07863,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2306.07863,no,B1,PENDING,,,,,OPENREVIEW_ICLR
462,GUI-World A Video Benchmark and Dataset for Multimodal GUI-oriented Understanding,Archival published,International Conference on Learning Representations,arXiv:2406.10819,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,GUI-World: A Video Benchmark and Dataset for Multimodal GUI-oriented Understanding,arXiv,2024,10.48550/arxiv.2406.10819,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2406.10819,no,B1,PENDING,,,,,OPENREVIEW_ICLR
483,AGENTOCCAM: A Simple Yet Strong Baseline for LLM-Based Web Agents,Archival published,International Conference on Learning Representations,arXiv:2410.13825,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AgentOccam: A Simple Yet Strong Baseline for LLM-Based Web Agents,arXiv,2024,10.48550/arxiv.2410.13825,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.13825,no,B1,PENDING,,,,,OPENREVIEW_ICLR
497,ExACT Teaching AI Agents to Explore with Reflective-MCTS and Exploratory Learning,Archival published,International Conference on Learning Representations,arXiv:2410.02052,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,ExACT: Teaching AI Agents to Explore with Reflective-MCTS and Exploratory Learning,arXiv,2024,10.48550/arxiv.2410.02052,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.02052,no,B1,PENDING,,,,,OPENREVIEW_ICLR
517,WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,Archival published,International Conference on Learning Representations,arXiv:2411.02337,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,arXiv,2024,10.48550/arxiv.2411.02337,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2411.02337,no,B1,PENDING,,,,,OPENREVIEW_ICLR
518,Multimodal Web Navigation with Instruction-Finetuned Foundation Models,Archival published,International Conference on Learning Representations,arXiv:2305.11854,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Multimodal Web Navigation with Instruction-Finetuned Foundation Models,arXiv,2023,10.48550/arxiv.2305.11854,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2305.11854,no,B1,PENDING,,,,,OPENREVIEW_ICLR
529,AgentTrek Agent Trajectory Synthesis via Guiding Replay with Web Tutorials,Archival published,International Conference on Learning Representations,arXiv:2412.09605,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AgentTrek: Agent Trajectory Synthesis via Guiding Replay with Web Tutorials,arXiv,2024,10.48550/arxiv.2412.09605,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2412.09605,no,B1,PENDING,,,,,OPENREVIEW_ICLR
530,AgentRefine Enhancing Agent Generalization through Refinement Tuning,Archival published,International Conference on Learning Representations,arXiv:2501.01702,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AgentRefine: Enhancing Agent Generalization through Refinement Tuning,arXiv,2025,10.48550/arxiv.2501.01702,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2501.01702,no,B1,PENDING,,,,,OPENREVIEW_ICLR
538,Go-Browse: Training Web Agents with Structured Exploration,Archival published,International Conference on Learning Representations,arXiv:2506.03533,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Go-Browse: Training Web Agents with Structured Exploration,arXiv,2025,10.48550/arxiv.2506.03533,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2506.03533,no,B1,PENDING,,,,,OPENREVIEW_ICLR
554,WebFactory: Automated Compression of Foundational Language Intelligence into Grounded Web Agents,Archival published,International Conference on Learning Representations,arXiv:2603.05044,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,WebFactory: Automated Compression of Foundational Language Intelligence into Grounded Web Agents,arXiv,2026,10.48550/arxiv.2603.05044,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2603.05044,no,B1,PENDING,,,,,OPENREVIEW_ICLR
