record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,venue_family
9,Finetuned Language Models Are Zero-Shot Learners,Archival published,International Conference on Learning Representations,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Finetuned Language Models Are Zero-Shot Learners,,2021,10.48550/arxiv.2109.01652,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_ICLR
12,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,Archival published,International Conference on Learning Representations,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,,2022,10.48550/arxiv.2205.10625,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_ICLR
57,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,Archival published,"Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025), pages 10795–10809",https://doi.org/10.18653/v1/2025.coling-main.719,doi.org,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Beyond Chain-of-Thought: A Survey of Chain-of-X Paradigms for LLMs,,2024,10.48550/arxiv.2404.15676,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,ACL_ANTHOLOGY
73,Cognitive Architectures for Language Agents,Archival published,TMLR,arXiv:2309.02427,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Cognitive Architectures for Language Agents,arXiv,2023,10.48550/arxiv.2309.02427,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2309.02427,no,B1,PENDING,,,,,OPENREVIEW_TMLR
75,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,Archival published,Proceedings of ICML,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,,2023,10.48550/arxiv.2310.04406,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,PMLR_ICML
79,ART: Automatic Multi-step Reasoning and Tool-use for Large Language Models,Archival published,EMNLP 2023,https://doi.org/10.18653/v1/2023.emnlp-main.190,doi.org,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,ART: Automatic multi-step reasoning and tool-use for large language models,,2023,10.48550/arxiv.2303.09014,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,ACL_ANTHOLOGY
162,OS Agents: A Survey on MLLM-based Agents for General Computing Devices Use,Archival published,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics,arXiv:2412.04453,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,OS Agents: A Survey on MLLM-Based Agents for General Computing Devices Use,,2024,10.20944/preprints202412.2294.v1,openalex:title | crossref:title,crossref:title: crossref type=posted-content (preprint),no,B1,PENDING,,,,,ACL_ANTHOLOGY
169,"Large Language Model Agents: A Comprehensive Survey on Architectures, Capabilities, and Applications",Archival published,"Preprints.org, not peer-reviewed version",,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,"Large Language Model Agents: A Comprehensive Survey on Architectures, Capabilities, and Applications",,2025,10.20944/preprints202512.2119.v1,openalex:title | crossref:title,crossref:title: crossref type=posted-content (preprint),no,B1,PENDING,,,,,OTHER
189,AutoAgents: A Framework for Automatic Agent Generation,Archival published,"Proceedings of the Thirty-Third International Joint Conference on Artificial Intelligence (IJCAI-24), Main Track, pages 22-30",https://doi.org/10.24963/ijcai.2024/3,doi.org,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AutoAgents: A Framework for Automatic Agent Generation,,2023,10.48550/arxiv.2309.17288,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,AAAI_IJCAI
214,A Survey on Large Language Model-Based Game Agents,Archival accepted,ACM Computing Surveys (to appear),https://doi.org/10.48550/arXiv.2404.02039; arXiv:2404.02039,doi.org,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,A Survey on Large Language Model-Based Game Agents,arXiv,2024,10.48550/arxiv.2404.02039,datacite:arxiv | openalex:doi | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2404.02039,no,B1,PENDING,,,,,ACM
232,Steering Large Language Models between Code Execution and Textual Reasoning,Archival published,ICLR 2025,"proceedings.iclr.cc (2025, OpenReview 5X5Z7Ffrjb); 2410.03524",,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Steering Large Language Models between Code Execution and Textual Reasoning,arXiv,2024,10.48550/arxiv.2410.03524,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.03524,no,B1,PENDING,,,,,OPENREVIEW_ICLR
282,SeeAct: GPT-4V__ision__ is a Generalist Web Agent if Grounded,Archival published,Proceedings of ICML,arXiv:2401.01614,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,"GPT-4V(ision) is a Generalist Web Agent, if Grounded",arXiv,2024,10.48550/arxiv.2401.01614,datacite:arxiv | openalex:arxiv,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2401.01614,no,B1,PENDING,,,,,PMLR_ICML
284,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration,Archival published,International Conference on Learning Representations,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Reinforcement Learning on Web Interfaces Using Workflow-Guided Exploration,,2018,10.48550/arxiv.1802.08802,openalex:title | openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_ICLR
286,A Real-World WebAgent with Planning Long Context Understanding and Program Synthesis,Archival published,International Conference on Learning Representations,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,"A Real-World WebAgent with Planning, Long Context Understanding, and Program Synthesis",,2023,10.48550/arxiv.2307.12856,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,OPENREVIEW_ICLR
289,Agent S An Open Agentic Framework that Uses Computers Like a Human,Archival published,International Conference on Learning Representations,arXiv:2410.08164,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Agent S: An Open Agentic Framework that Uses Computers Like a Human,arXiv,2024,10.48550/arxiv.2410.08164,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.08164,no,B1,PENDING,,,,,OPENREVIEW_ICLR
295,Large Language Model-Brained GUI Agents: A Survey,Archival published,Transactions on Machine Learning Research,arXiv:2411.18279,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Large Language Model-Brained GUI Agents: A Survey,arXiv,2024,10.48550/arxiv.2411.18279,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2411.18279,no,B1,PENDING,,,,,OPENREVIEW_TMLR
298,WALT: Web Agents that Learn Tools,Archival published,International Conference on Learning Representations,arXiv:2510.01524,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,WALT: Web Agents that Learn Tools,arXiv,2025,10.48550/arxiv.2510.01524,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2510.01524,no,B1,PENDING,,,,,OPENREVIEW_ICLR
