record_id,title,machine_verdict,decision,final_status,final_venue,final_identifier,evidence_url,evidence_note,adjudicated_by,adjudicated_at,corpus_action
22,"Emergent Abilities of Large Language Models",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_TMLR,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=yzkSU5zdwD,https://openreview.net/pdf?id=yzkSU5zdwD,"Official OpenReview PDF is labeled 'Published in Transactions on Machine Learning Research (08/2022)'. The automated downgrade is false because the resolver retained only the preprint signal.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; retain TMLR venue and OpenReview identifier"
25,"Multimodal Chain-of-Thought Reasoning in Language Models",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_TMLR,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=y1pPWFVfvR,https://openreview.net/pdf?id=y1pPWFVfvR,"Official OpenReview PDF is labeled 'Published in Transactions on Machine Learning Research (05/2024)'. Automated downgrade is false.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; retain TMLR venue and OpenReview identifier"
38,"A Survey of Frontiers in LLM Reasoning: Inference Scaling, Learning to Reason, and Agentic Systems",DOWNGRADE,RETAIN_ARCHIVAL_CORRECT_IDENTIFIER,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=SlsZZ25InC,https://tmlr.infinite-conf.org/paper_pages/SlsZZ25InC.html,"Official TMLR paper page lists the exact survey and links canonical OpenReview id SlsZZ25InC; DBLP also indexes it as a TMLR 2025 journal article. The stored placeholder-like OpenReview id must be replaced.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; correct OpenReview identifier to SlsZZ25InC"
44,"Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,ICLR 2023,https://openreview.net/forum?id=3Pf3Wg6o-A4,https://openreview.net/pdf?id=3Pf3Wg6o-A4,"Official OpenReview PDF states 'Published as a conference paper at ICLR 2023'. Automated downgrade is false.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; retain ICLR 2023 venue and identifier"
49,"SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,ICLR 2024,https://openreview.net/forum?id=pTHfApDakA,https://openreview.net/pdf?id=pTHfApDakA,"Official OpenReview PDF states 'Published as a conference paper at ICLR 2024'; DBLP independently indexes it as ICLR 2024.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; normalize venue to ICLR 2024"
65,"Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-Adaptive Planning Agent",DOWNGRADE,SET_ARCHIVAL_PUBLISHED,Archival published,ICLR 2025,https://openreview.net/forum?id=VvDEuyVXkG,https://openreview.net/pdf?id=VvDEuyVXkG,"Official OpenReview PDF states 'Published as a conference paper at ICLR 2025'. The register status 'Archival accepted' can now be finalized as published.",ChatGPT-assisted manual evidence review,2026-09-13,"set status Archival published; normalize venue to ICLR 2025"
94,"Large Language Models as Tool Makers",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,ICLR 2024,https://openreview.net/forum?id=qV83K9d5WB,https://openreview.net/pdf?id=qV83K9d5WB,"Official OpenReview PDF states 'Published as a conference paper at ICLR 2024'; DBLP independently indexes the conference paper.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; normalize venue to ICLR 2024"
103,"MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,ICLR 2024,https://openreview.net/forum?id=VtmBAGCN7o,https://openreview.net/forum?id=VtmBAGCN7o,"OpenReview/ICLR references and DBLP identify the exact work as an ICLR 2024 conference paper. Automated downgrade is false because only the arXiv version was resolved.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; normalize venue to ICLR 2024"
186,"CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,ICLR 2024,https://openreview.net/forum?id=G0vdDSt9XM,https://openreview.net/pdf?id=G0vdDSt9XM,"Official OpenReview PDF states 'Published as a conference paper at ICLR 2024'. Automated downgrade is false.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; normalize venue to ICLR 2024"
190,"Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration",DOWNGRADE,SET_ARCHIVAL_PUBLISHED,Archival published,COLM 2024,https://openreview.net/forum?id=7BCmIWVT0V,https://openreview.net/attachment?id=7BCmIWVT0V&name=pdf,"Official OpenReview PDF states 'Published as a conference paper at COLM 2024'. The earlier accepted status can be finalized as published.",ChatGPT-assisted manual evidence review,2026-09-13,"set status Archival published; retain COLM 2024 venue and identifier"
191,"L2MAC: Large Language Model Automatic Computer for Extensive Code Generation",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,ICLR 2024,https://openreview.net/forum?id=EhrzQwsV4K,https://openreview.net/pdf?id=EhrzQwsV4K,"Official OpenReview PDF states 'Published as a conference paper at ICLR 2024'. Automated downgrade is false.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; normalize venue to ICLR 2024"
192,"Lemur: Harmonizing Natural Language and Code for Language Agents",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,ICLR 2024,https://openreview.net/forum?id=hNhwSmtXRh,https://openreview.net/pdf?id=hNhwSmtXRh,"Official OpenReview PDF states 'Published as a conference paper at ICLR 2024'; DBLP also indexes it as ICLR 2024.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; normalize venue to ICLR 2024"
215,"AgentKit: Structured LLM Reasoning with Dynamic Graphs",DOWNGRADE,SET_ARCHIVAL_PUBLISHED,Archival published,COLM 2024,https://openreview.net/forum?id=PKfAq8N4fK,https://openreview.net/pdf?id=PKfAq8N4fK,"Official OpenReview PDF states 'Published as a conference paper at COLM 2024'. The earlier accepted status can be finalized as published.",ChatGPT-assisted manual evidence review,2026-09-13,"set status Archival published; retain COLM 2024 venue and identifier"
233,"ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,ICLR 2025,https://openreview.net/forum?id=nfKfAzkiez,https://openreview.net/forum?id=nfKfAzkiez,"Official OpenReview material states 'Published as a conference paper at ICLR 2025'; DBLP independently indexes it as ICLR 2025.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; normalize venue to ICLR 2025"
238,"Proactive Agent: Shifting LLM Agents from Reactive Responses to Active Assistance",DOWNGRADE,SET_ARCHIVAL_PUBLISHED,Archival published,ICLR 2025,https://openreview.net/forum?id=sRIU6k2TcU,https://openreview.net/forum?id=sRIU6k2TcU,"Official OpenReview material states 'Published as a conference paper at ICLR 2025'; DBLP also indexes it as ICLR 2025. The earlier accepted status can be finalized as published.",ChatGPT-assisted manual evidence review,2026-09-13,"set status Archival published; normalize venue to ICLR 2025"
247,"LLMs are Greedy Agents: Effects of RL Fine-tuning on Decision-Making Abilities",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,ICLR 2026,https://openreview.net/forum?id=weUP6H5Ko9,https://iclr.cc/virtual/2026/day/4/23,"Official ICLR 2026 program lists the exact paper, and current OpenReview material is labeled 'Published as a conference paper at ICLR 2026'. Automated downgrade reflects an older under-review copy.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; normalize venue to ICLR 2026"
262,"Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models",DOWNGRADE,SET_ARCHIVAL_PUBLISHED,Archival published,ICLR 2026,https://openreview.net/forum?id=eC4ygDs02R,https://iclr.cc/virtual/2026/poster/10008343,"Official ICLR 2026 poster page lists the exact paper; current OpenReview material is labeled published at ICLR 2026. The earlier accepted status can be finalized as published.",ChatGPT-assisted manual evidence review,2026-09-13,"set status Archival published; normalize venue to ICLR 2026"
320,"LLM-Powered GUI Agents in Phone Automation: Surveying Progress and Prospects",DOWNGRADE,RETAIN_ARCHIVAL_CORRECT_IDENTIFIER,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=yWQqoi1G1K,https://openreview.net/pdf?id=yWQqoi1G1K,"Official OpenReview PDF is labeled 'Published in Transactions on Machine Learning Research (11/2025)'. The register's placeholder-like OpenReview id should be replaced by canonical id yWQqoi1G1K.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; correct OpenReview identifier to yWQqoi1G1K"
375,"WorkBench: a Benchmark Dataset for Agents in a Realistic Workplace Setting",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,COLM 2024,https://openreview.net/forum?id=4HNAwZFDcH,https://openreview.net/pdf?id=4HNAwZFDcH,"Official OpenReview PDF states 'Published as a conference paper at COLM 2024'. Automated downgrade is false.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; normalize venue to COLM 2024"
416,"GEM: A Gym for Agentic LLMs",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_ICLR,Archival published,ICLR 2026,https://proceedings.iclr.cc/paper_files/paper/2026/hash/b3956812189001f673d29c626bc897ae-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2026/hash/b3956812189001f673d29c626bc897ae-Abstract-Conference.html,"Official ICLR 2026 proceedings list this work as 'GEM: A Gym for Generalist LLMs'. The archived submission title used 'Agentic LLMs'; publication status is clearly archival. Title variant should be reviewed separately when normalizing metadata.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; set official ICLR proceedings identifier; flag final-title variant for metadata normalization"
417,"Holistic Agent Leaderboard: The Missing Infrastructure for AI Agent Evaluation",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,ICLR 2026,https://openreview.net/forum?id=vUaY1t64ZZ,https://openreview.net/forum?id=vUaY1t64ZZ,"Current OpenReview material is labeled 'Published as a conference paper at ICLR 2026'. The automated downgrade reflects the earlier anonymous under-review version.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; normalize venue to ICLR 2026"
496,"OSCAR: Operating System Control via State-Aware Reasoning and Re-Planning",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW,Archival published,ICLR 2025,https://openreview.net/forum?id=VuTrZzrPfn,https://openreview.net/pdf?id=VuTrZzrPfn,"Official OpenReview PDF states 'Published as a conference paper at ICLR 2025'; DBLP independently indexes the conference paper.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; normalize venue to ICLR 2025"
580,"Efficient Agent Training for Computer Use",DOWNGRADE,SET_ARCHIVAL_PUBLISHED,Archival published,ICLR 2026,https://openreview.net/forum?id=cDuA6ZNvCl,https://openreview.net/pdf?id=cDuA6ZNvCl,"Official OpenReview PDF states 'Published as a conference paper at ICLR 2026'. The earlier accepted status can be finalized as published.",ChatGPT-assisted manual evidence review,2026-09-13,"set status Archival published; normalize venue to ICLR 2026"
584,"MobileIPL: Enhancing Mobile Agents Thinking Process via Iterative Preference Learning",DOWNGRADE,SET_ARCHIVAL_PUBLISHED,Archival published,ICLR 2026,https://openreview.net/forum?id=PS8iu4PxKz,https://openreview.net/forum?id=PS8iu4PxKz,"Current OpenReview material is labeled 'Published as a conference paper at ICLR 2026'. The earlier accepted status can be finalized as published.",ChatGPT-assisted manual evidence review,2026-09-13,"set status Archival published; normalize venue to ICLR 2026"
612,"Agent Data Protocol: Unifying Datasets for Diverse, Effective Fine-tuning of LLM Agents",DOWNGRADE,SET_ARCHIVAL_PUBLISHED,Archival published,ICLR 2026,https://openreview.net/forum?id=tG6301ORHd,https://iclr.cc/virtual/2026/events/oral,"Official ICLR 2026 Oral program lists the exact paper and authors. The earlier accepted status can be finalized as published; the stored OpenReview id is retained as the paper identifier.",ChatGPT-assisted manual evidence review,2026-09-13,"set status Archival published; normalize venue to ICLR 2026 (Oral)"
