record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,venue_family
75,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,Archival published,Proceedings of ICML,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,,2023,10.48550/arxiv.2310.04406,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,PMLR_ICML
282,SeeAct: GPT-4V__ision__ is a Generalist Web Agent if Grounded,Archival published,Proceedings of ICML,arXiv:2401.01614,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,"GPT-4V(ision) is a Generalist Web Agent, if Grounded",arXiv,2024,10.48550/arxiv.2401.01614,datacite:arxiv | openalex:arxiv,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2401.01614,no,B1,PENDING,,,,,PMLR_ICML
307,Cradle Empowering Foundation Agents Towards General Computer Control,Archival published,Proceedings of the 42nd International Conference on Machine Learning,arXiv:2403.03186,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Cradle: Empowering Foundation Agents Towards General Computer Control,arXiv,2024,10.48550/arxiv.2403.03186,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2403.03186,no,B1,PENDING,,,,,PMLR_ICML
340,WebLINX: Real-World Website Navigation with Multi-Turn Dialogue,Archival published,Proceedings of ICML,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,WebLINX: Real-World Website Navigation with Multi-Turn Dialogue,,2024,10.48550/arxiv.2402.05930,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,PMLR_ICML
344,WorkArena: How Capable Are Web Agents at Solving Common Knowledge Work Tasks,Archival published,Proceedings of ICML,,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,WorkArena: How Capable Are Web Agents at Solving Common Knowledge Work Tasks?,,2024,10.48550/arxiv.2403.07718,openalex:title,openalex:title: OpenAlex type=preprint,no,B1,PENDING,,,,,PMLR_ICML
373,TravelPlanner A Benchmark for Real-World Planning with Language Agents,Archival published,Proceedings of ICML,arXiv:2402.01622,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,TravelPlanner: A Benchmark for Real-World Planning with Language Agents,arXiv,2024,10.48550/arxiv.2402.01622,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2402.01622,no,B1,PENDING,,,,,PMLR_ICML
383,Windows Agent Arena Evaluating Multi-Modal OS Agents at Scale,Archival published,Proceedings of ICML,arXiv:2409.08264,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Windows Agent Arena: Evaluating Multi-Modal OS Agents at Scale,arXiv,2024,10.48550/arxiv.2409.08264,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2409.08264,no,B1,PENDING,,,,,PMLR_ICML
385,Agent-as-a-Judge Evaluate Agents with Agents,Archival published,Proceedings of ICML,arXiv:2410.10934,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Agent-as-a-Judge: Evaluate Agents with Agents,arXiv,2024,10.48550/arxiv.2410.10934,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.10934,no,B1,PENDING,,,,,PMLR_ICML
425,AgentWebBench: Benchmarking Multi-Agent Coordination in Agentic Web,Archival accepted,ICML 2026 (Proc. 43rd Int. Conf. on Machine Learning; Poster),https://icml.cc/ (2026 proceedings); 2604.10938,icml.cc,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,AgentWebBench: Benchmarking Multi-Agent Coordination in Agentic Web,arXiv,2026,10.48550/arxiv.2604.10938,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2604.10938,no,B1,PENDING,,,,,PMLR_ICML
437,Pix2Struct: Screenshot Parsing as Pretraining for Visual Language Understanding,Archival published,Proceedings of ICML,arXiv:2210.03347,,no,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found,Pix2Struct: Screenshot Parsing as Pretraining for Visual Language Understanding,arXiv,2022,10.48550/arxiv.2210.03347,datacite:arxiv | openalex:arxiv | openalex:title,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2210.03347,no,B1,PENDING,,,,,PMLR_ICML
