record_id,title,year,venue,publication_status,status_category,existing_identifier,existing_archival_doi,doi_final,doi_status,doi_source,verification_url,crossref_title,crossref_score,crossref_type,crossref_year,openalex_title,openalex_score,manual_decision,notes
1,Attention Is All You Need,2017,Advances in NeurIPS,Published,Archival published,,,,verified_no_archival_doi_manual,Official NeurIPS proceedings,https://proceedings.neurips.cc/paper_files/paper/2017/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html,,,,,,,no_doi,"The NeurIPS archival record has no DOI. Crossref DOI 10.65215/2q58a426 is a 2025 posted-content repost from an unrelated repository, not the 2017 archival publication."
2,BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding,2019,Proceedings of NAACL,Published,Archival published,https://doi.org/10.18653/v1/N19-1423,10.18653/v1/n19-1423,10.18653/v1/n19-1423,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/n19-1423,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,1.0000,proceedings-article,2019,,,,
3,Language Models are Few-Shot Learners,2020,Advances in NeurIPS,Published,Archival published,,,,verified_no_archival_doi_manual,Official NeurIPS proceedings,https://proceedings.neurips.cc/paper_files/paper/2020/hash/1457c0d6bfcb4967418bfb8ac142f64a-Abstract.html,,,,,,,no_doi,The NeurIPS archival record has no DOI. Candidate 10.18653/v1/2021.mrl-1.1 belongs to a different paper.
4,Self-consistency improves chain of thought reasoning in language models,2023,International Conference on Learning Representations,Published,Archival published,,,,verified_no_archival_doi_expected_for_venue,,,Multimodal Chain-of-Thought Reasoning in Language Models,0.7448,posted-content,2025,Self-Consistency Improves Chain of Thought Reasoning in Language Models,1.0200,,
5,Training language models to follow instructions with human feedback,2022,Advances in NeurIPS,Published,Archival published,,,10.52202/068431-2011,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.52202/068431-2011,Training Language Models to Follow Instructions with Human Feedback,1.0400,proceedings-article,2022,Training language models to follow instructions with human feedback,1.0400,,
6,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,2022,Advances in NeurIPS,Published,Archival published,,,10.52202/068431-1800,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.52202/068431-1800,Chain-Of-Thought Prompting Elicits Reasoning in Large Language Models,1.0400,proceedings-article,2022,Chain-Of-Thought Prompting Elicits Reasoning in Large Language Models,1.0400,,
8,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,2020,Advances in Neural Information Processing Systems,Published,Archival published,,,,verified_no_archival_doi_expected_for_venue,,,Evidentiality-guided Generation for Knowledge-Intensive NLP Tasks,0.7340,proceedings-article,2022,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,1.0400,,
9,Finetuned Language Models Are Zero-Shot Learners,2022,International Conference on Learning Representations,Published,Archival published,https://openreview.net/forum?id=gEZrGCozdqR,,,verified_no_archival_doi_expected_for_venue,,,Language Models are Few-shot Multilingual Learners,0.6787,proceedings-article,2021,Finetuned Language Models Are Zero-Shot Learners,1.0200,,
11,Large Language Models are Zero-Shot Reasoners,2022,Advances in Neural Information Processing Systems,Published,Archival published,,,10.52202/068431-1613,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.52202/068431-1613,Large Language Models Are Zero-Shot Reasoners,1.0400,proceedings-article,2022,Large Language Models are Zero-Shot Reasoners,1.0400,,
12,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,2023,International Conference on Learning Representations,Published,Archival published,https://openreview.net/forum?id=WZH7099tgfM,,,verified_no_archival_doi_expected_for_venue,,,Chain-Of-Thought Prompting Elicits Reasoning in Large Language Models,0.6509,proceedings-article,2022,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,1.0200,,
13,Visual Instruction Tuning,2023,Advances in Neural Information Processing Systems,Published,Archival published,,,10.52202/075280-1516,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.52202/075280-1516,Visual Instruction Tuning,1.0400,proceedings-article,2023,Visual Instruction Tuning,1.0400,,
14,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,2020,"Journal of Machine Learning Research, 21(140):1–67",Published / peer-reviewed,Archival published,10.48550/arXiv.1910.10683,,,verified_no_archival_doi_expected_for_venue,,,Controllable Sentence Simplification with a Unified Text-to-Text Transfer Transformer,0.5357,proceedings-article,2021,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,1.0200,,
17,BART Denoising Sequence-to-Sequence Pre-training for Natural Language Generation Translation and Comprehension,2020,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Published,Archival published,https://doi.org/10.18653/v1/2020.acl-main.703,10.18653/v1/2020.acl-main.703,10.18653/v1/2020.acl-main.703,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2020.acl-main.703,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",1.0000,proceedings-article,2020,,,,
