record_id,title,machine_verdict,decision,final_status,final_venue,final_identifier,evidence_url,evidence_note,adjudicated_by,adjudicated_at,corpus_action
356,AgentRewardBench Evaluating Automatic Evaluations of Web Agent Trajectories,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_COLM,Archival published,COLM,https://openreview.net/pdf?id=fQcUZMPIvu,https://openreview.net/pdf?id=fQcUZMPIvu,Final OpenReview manuscript is explicitly marked Published as a conference paper at COLM. The automated downgrade was false because it resolved the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; retain/normalize COLM venue; add final OpenReview evidence
433,A Long Way to Go: Investigating Length Correlations in RLHF,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_COLM,Archival published,First Conference on Language Modeling (COLM 2024),arXiv:2310.03716,https://openreview.net/pdf/31326f5596207e8241d103bfa23b4521f5a4a539.pdf,Final OpenReview manuscript is explicitly marked Published as a conference paper at COLM. The automated downgrade was false because it resolved the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; retain/normalize COLM venue; add final OpenReview evidence
481,Agent S2 A Compositional Generalist-Specialist Framework for Computer Use Agents,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_COLM,Archival published,COLM,arXiv:2504.00906,https://openreview.net/pdf?id=zg5is4GJ3R,Final OpenReview manuscript is explicitly marked Published as a conference paper at COLM. The automated downgrade was false because it resolved the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; retain/normalize COLM venue; add final OpenReview evidence
501,Inducing Programmatic Skills for Agentic Tasks,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_COLM,Archival published,COLM,arXiv:2504.06821,https://openreview.net/pdf?id=lsAY6fWsog,Final OpenReview manuscript is explicitly marked Published as a conference paper at COLM. The automated downgrade was false because it resolved the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; retain/normalize COLM venue; add final OpenReview evidence
504,SteP: Stacked LLM Policies for Web Actions,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_COLM,Archival published,First COLM,arXiv:2310.03720,https://openreview.net/pdf?id=5fg0VtRxgi,Final OpenReview manuscript is explicitly marked Published as a conference paper at COLM. The automated downgrade was false because it resolved the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; retain/normalize COLM venue; add final OpenReview evidence
570,Advancing Language Multi-Agent Learning with Credit Re-Assignment for Interactive Environment Generalization,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_COLM,Archival published,COLM 2025,OpenReview SoEmgM1ioC; 2502.14496,https://openreview.net/pdf?id=SoEmgM1ioC,Final OpenReview manuscript is explicitly marked Published as a conference paper at COLM. The automated downgrade was false because it resolved the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; retain/normalize COLM venue; add final OpenReview evidence
578,Breaking the Data Barrier -- Building GUI Agents Through Task Generalization,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_COLM,Archival published,COLM 2025,OpenReview QDtORaZt8K; 2504.10127,https://openreview.net/pdf/65903331eb76e9b57f2b8de9291044b97381d0d6.pdf,Final OpenReview manuscript is explicitly marked Published as a conference paper at COLM. The automated downgrade was false because it resolved the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; retain/normalize COLM venue; add final OpenReview evidence
640,An Illusion of Progress - Assessing the Current State of Web Agents,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_COLM,Archival published,COLM,arXiv:2504.01382,https://openreview.net/pdf?id=6jZi4HSs6o,Final OpenReview manuscript is explicitly marked Published as a conference paper at COLM. The automated downgrade was false because it resolved the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; retain/normalize COLM venue; add final OpenReview evidence
643,Autonomous Evaluation and Refinement of Digital Agents,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_COLM,Archival published,COLM,arXiv:2404.06474,https://openreview.net/pdf?id=NPAQ6FKSmK,Final OpenReview manuscript is explicitly marked Published as a conference paper at COLM. The automated downgrade was false because it resolved the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; retain/normalize COLM venue; add final OpenReview evidence
713,VisualTrap A Stealthy Backdoor Attack on GUI Agents via Visual Grounding Manipulation,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_COLM,Archival published,COLM,arXiv:2507.06899,https://openreview.net/pdf?id=7HPuAkgdVm,Final OpenReview manuscript is explicitly marked Published as a conference paper at COLM. The automated downgrade was false because it resolved the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; retain/normalize COLM venue; add final OpenReview evidence
745,HAICOSYSTEM: An Ecosystem for Sandboxing Safety Risks in Human-AI Interactions,DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_COLM,Archival published,Conference on Language Modeling,arXiv:2409.16427,https://openreview.net/pdf?id=KI1WQ6rLiy,Final OpenReview manuscript is explicitly marked Published as a conference paper at COLM. The automated downgrade was false because it resolved the arXiv/preprint copy.,ChatGPT-assisted manual evidence review,2026-09-13,keep Archival published; retain/normalize COLM venue; add final OpenReview evidence
