record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,b2_bucket
256,AgentScope 1.0: A Developer-Centric Framework for Building Agentic Applications,Preprint/technical report,arXiv preprint arXiv:2508.16279,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
264,ALITA-G: Self-Evolving Generative Agent for Agent Generation,Preprint/technical report,arXiv preprint arXiv:2510.23601,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
267,The Era of Agentic Organization: Learning to Organize with Language Models,Preprint/technical report,arXiv preprint arXiv:2510.26658,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
301,Synapse: Leveraging Few-Shot Exemplars for Human-Level Computer Control,Preprint/technical report,arXiv preprint,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
316,"AI Agents for Computer Use: A Review of Instruction-based Computer Control, GUI Automation, and Operator Assistants",Preprint/technical report,arXiv,2501.16150,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
326,Agentic Web: Weaving the Next Web with AI Agents,Preprint/technical report,arXiv preprint arXiv:2502.09543,arXiv:2502.09543,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
327,CoAct-1: Computer-using Agents with Coding as Actions,Preprint/technical report,arXiv preprint arXiv:2504.13762,arXiv:2504.13762,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
329,Are LLM Agents the New RPA: A Comparative Study with RPA Across Enterprise Workflows,Preprint/technical report,arXiv:2502.01354,arXiv:2502.01354,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
358,DeepShop: A Benchmark for Deep Research Shopping Agents,Preprint/technical report,arXiv preprint arXiv:2506.02839,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
365,"BrowseComp-V3: A Visual, Vertical, and Verifiable Benchmark for Multimodal Browsing Agents",Preprint/technical report,arXiv preprint arXiv:2602.12876,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
366,PATHWAYS: Evaluating Investigation and Context Discovery in AI Web Agents,Preprint/technical report,arXiv preprint arXiv:2602.05354,https://doi.org/10.48550/arXiv.2602.05354,doi.org,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
431,Auto-Eval Judge: Towards a General Agentic Framework for Task Completion Evaluation,Preprint/technical report,arXiv preprint,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
473,Beyond Pixels: Exploring DOM Downsampling for LLM-Based Web Agents,Preprint/technical report,arXiv preprint arXiv:2508.04412,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
486,WebSailor Navigating Super-human Reasoning for Web Agent,Preprint/technical report,arXiv preprint arXiv:2507.02592,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
487,AgentFold: Long-Horizon Web Agents with Proactive Context Management,Preprint/technical report,arXiv preprint arXiv:2510.24699,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
