record_id,title,machine_verdict,decision,final_status,final_venue,final_identifier,evidence_url,evidence_note,adjudicated_by,adjudicated_at,corpus_action
21,"Flamingo: a Visual Language Model for Few-Shot Learning",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Advances in Neural Information Processing Systems 35 (NeurIPS 2022)",https://proceedings.neurips.cc/paper_files/paper/2022/hash/960a172bc7fbf0177ccccbb411a7d800-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2022/hash/960a172bc7fbf0177ccccbb411a7d800-Abstract-Conference.html,"Official NeurIPS proceedings list the exact paper in NeurIPS 2022 Main Conference Track with DOI 10.52202/068431-1723. Automated downgrade is false because it resolved only the arXiv copy.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; retain official proceedings identifier"
23,"BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Proceedings of the 40th International Conference on Machine Learning, PMLR 202",https://proceedings.mlr.press/v202/li23q.html,https://proceedings.mlr.press/v202/li23q.html,"Official PMLR page lists the exact paper in ICML 2023, PMLR 202:19730-19742. Automated downgrade is false because the resolver favored the arXiv version.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; retain PMLR identifier"
26,"PaLM-E: An Embodied Multimodal Language Model",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Proceedings of the 40th International Conference on Machine Learning, PMLR 202",https://proceedings.mlr.press/v202/driess23a.html,https://proceedings.mlr.press/v202/driess23a.html,"Official PMLR page lists the exact paper in ICML 2023, PMLR 202:8469-8488. Automated downgrade is false because the resolver favored the arXiv version.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; retain PMLR identifier"
63,"Thinking LLMs: General Instruction Following with Thought Generation",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Proceedings of the 42nd International Conference on Machine Learning, PMLR 267",https://proceedings.mlr.press/v267/wu25o.html,https://proceedings.mlr.press/v267/wu25o.html,"Official PMLR page lists the exact paper in ICML 2025, PMLR 267:67382-67407. Automated downgrade is false.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; retain PMLR identifier"
114,"An LLM Compiler for Parallel Function Calling",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Proceedings of the 41st International Conference on Machine Learning, PMLR 235",https://proceedings.mlr.press/v235/kim24y.html,https://proceedings.mlr.press/v235/kim24y.html,"Official PMLR page lists the exact paper in ICML 2024, PMLR 235:24370-24391. Automated downgrade is false.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; retain PMLR identifier"
119,"Executable Code Actions Elicit Better LLM Agents",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Proceedings of the 41st International Conference on Machine Learning, PMLR 235",https://proceedings.mlr.press/v235/wang24h.html,https://proceedings.mlr.press/v235/wang24h.html,"Official PMLR proceedings page confirms the exact paper as an ICML 2024 publication. Automated downgrade is false.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; retain PMLR identifier"
188,"AlphaZero-Like Tree-Search can Guide Large Language Model Decoding and Training",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Proceedings of the 41st International Conference on Machine Learning, PMLR 235",https://proceedings.mlr.press/v235/wan24c.html,https://proceedings.mlr.press/v235/wan24c.html,"Official PMLR proceedings page confirms the exact paper as an ICML 2024 publication. Automated downgrade is false.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; retain PMLR identifier"
202,"A Human-Inspired Reading Agent with Gist Memory of Very Long Contexts",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Proceedings of the 41st International Conference on Machine Learning, PMLR 235",https://proceedings.mlr.press/v235/lee24c.html,https://proceedings.mlr.press/v235/lee24c.html,"Official PMLR proceedings page confirms the exact paper as an ICML 2024 publication. Automated downgrade is false.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; retain PMLR identifier"
220,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use (Including RAG), Planning, and Feedback Learning",DOWNGRADE,RETAIN_ARCHIVAL_CORRECT_IDENTIFIER,Archival published,"Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025)",https://aclanthology.org/2025.coling-main.652/,https://aclanthology.org/2025.coling-main.652/,"ACL Anthology confirms the exact paper at 2025.coling-main.652, pages 9760-9779. The register's stored identifier 2025.coling-main.658 points to an unrelated music-entity-detection paper and must be corrected. Publication status itself is archival.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; correct identifier from .658 to .652"
392,"UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Proceedings of the 42nd International Conference on Machine Learning, PMLR 267",https://proceedings.mlr.press/v267/nayak25a.html,https://proceedings.mlr.press/v267/nayak25a.html,"Official PMLR proceedings page confirms the exact paper as an ICML 2025 publication. Automated downgrade is false.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; retain PMLR identifier"
430,"InfiAgent-DABench: Evaluating Agents on Data Analysis Tasks",DOWNGRADE,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS,Archival published,"Proceedings of the 41st International Conference on Machine Learning, PMLR 235",https://proceedings.mlr.press/v235/hu24s.html,https://proceedings.mlr.press/v235/hu24s.html,"Official PMLR page lists the exact paper in ICML 2024, PMLR 235:19544-19572. Automated downgrade is false.",ChatGPT-assisted manual evidence review,2026-09-13,"keep archival published; retain PMLR identifier"
