record_id,title,old_status_category,new_status_category,old_venue,new_venue,old_identifier,new_identifier,bibliography_eligibility,final_exclusion_reason,adjudication_decision
7,Improving Language Understanding by Generative Pre-Training,Archival published,Preprint/technical report,OpenAI Blog,OpenAI technical report,,,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,SET_PREPRINT_TECHNICAL_REPORT
9,Finetuned Language Models Are Zero-Shot Learners,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,,https://openreview.net/forum?id=gEZrGCozdqR,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
12,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,,https://openreview.net/forum?id=WZH7099tgfM,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
15,GPT-4 Technical Report,Preprint/technical report,Preprint/technical report,arXiv preprint arXiv:2303.08774,arXiv / CoRR,https://doi.org/10.48550/arXiv.2303.08774,https://arxiv.org/abs/2303.08774,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_FALSE_ARCHIVAL_MATCH
21,Flamingo: a Visual Language Model for Few-Shot Learning,Archival published,Archival published,NeurIPS 2022,Advances in Neural Information Processing Systems 35 (NeurIPS 2022),https://proceedings.neurips.cc/paper_files/paper/2022/hash/960a172bc7fbf0177ccccbb411a7d800-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2022/hash/960a172bc7fbf0177ccccbb411a7d800-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS
23,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,Archival published,Archival published,"ICML 2023, PMLR 202","Proceedings of the 40th International Conference on Machine Learning, PMLR 202",https://proceedings.mlr.press/v202/li23q.html,https://proceedings.mlr.press/v202/li23q.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS
26,PaLM-E: An Embodied Multimodal Language Model,Archival published,Archival published,"ICML 2023, PMLR 202","Proceedings of the 40th International Conference on Machine Learning, PMLR 202",https://proceedings.mlr.press/v202/driess23a.html,https://proceedings.mlr.press/v202/driess23a.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS
30,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",Archival published,Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),ICLR 2024,https://openreview.net/forum?id=hSyW5go0v8,https://openreview.net/forum?id=hSyW5go0v8,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
34,To CoT or Not to CoT? Chain-of-Thought Helps Mainly on Math and Symbolic Reasoning,Archival published,Archival published,International Conference on Learning Representations (ICLR 2025),ICLR 2025,https://openreview.net/forum?id=4hSaB8l9cB,https://openreview.net/forum?id=4hSaB8l9cB,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
38,A Survey of Frontiers in LLM Reasoning Inference Scaling Learning to Reason and Agentic Systems,Archival published,Archival published,Transactions on Machine Learning Research,Transactions on Machine Learning Research,https://openreview.net/forum?id=frontierslLMreasoning,https://openreview.net/forum?id=SlsZZ25InC,Eligible if cited,,RETAIN_ARCHIVAL_CORRECT_IDENTIFIER
