record_id,decision,doi,verification_source,verification_url,reason
1,no_doi,,Official NeurIPS proceedings,https://proceedings.neurips.cc/paper_files/paper/2017/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html,"The NeurIPS archival record has no DOI. Crossref DOI 10.65215/2q58a426 is a 2025 posted-content repost from an unrelated repository, not the 2017 archival publication."
3,no_doi,,Official NeurIPS proceedings,https://proceedings.neurips.cc/paper_files/paper/2020/hash/1457c0d6bfcb4967418bfb8ac142f64a-Abstract.html,"The NeurIPS archival record has no DOI. Candidate 10.18653/v1/2021.mrl-1.1 belongs to a different paper."
25,no_doi,,Official TMLR/OpenReview record,https://openreview.net/forum?id=y1pPWFVfvR,"TMLR uses the OpenReview record here. DOI 10.59350/90sh1-hbs94 is Crossref posted-content, not the archival journal DOI of record."
57,no_doi,,Official ACL Anthology record,https://aclanthology.org/2025.coling-main.719/,"The official COLING 2025 metadata has a blank DOI field."
115,doi,10.24963/ijcai.2024/890,Crossref direct DOI validation,https://doi.org/10.24963/ijcai.2024/890,"Official IJCAI proceedings DOI; accepted despite noisy title text in the source register."
162,doi,10.18653/v1/2025.acl-long.369,ACL Anthology and Crossref,https://doi.org/10.18653/v1/2025.acl-long.369,"Archival ACL version. Replaces the non-archival Preprints.org DOI returned by title-only search."
189,doi,10.24963/ijcai.2024/3,Crossref direct DOI validation,https://doi.org/10.24963/ijcai.2024/3,"Official IJCAI proceedings DOI derived from the official proceedings record and validated in Crossref."
214,no_doi,,Official arXiv record and ACM title search,https://arxiv.org/abs/2404.02039,"Formally accepted at ACM Computing Surveys but no ACM DOI was assigned as of the audit cutoff. DOI 10.1007/s11704-024-40231-1 belongs to a different autonomous-agents survey."
220,no_doi,,Official ACL Anthology record,https://aclanthology.org/2025.coling-main.652/,"The official COLING 2025 metadata has a blank DOI field."
283,doi,10.18653/v1/2024.acl-long.371,ACL Anthology and Crossref,https://doi.org/10.18653/v1/2024.acl-long.371,"Official ACL proceedings DOI; source title was truncated."
288,doi,10.1145/3637528.3671620,ACM and Crossref,https://doi.org/10.1145/3637528.3671620,"Official KDD proceedings DOI; archival title is 'AutoWebGLM: A Large Language Model-based Web Navigating Agent'."
313,doi,10.18653/v1/2025.acl-long.381,ACL Anthology and Crossref,https://doi.org/10.18653/v1/2025.acl-long.381,"Official ACL proceedings DOI; archival title begins 'AXIS'."
320,no_doi,,Official TMLR/OpenReview record,https://openreview.net/forum?id=yWQqoi1G1K,"The archival TMLR record uses OpenReview and has no DOI. DOI 10.20944/preprints202501.0413.v1 identifies a preprint, not the TMLR publication."
336,doi,10.1613/jair.1.19490,JAIR and Crossref,https://doi.org/10.1613/jair.1.19490,"Official Journal of Artificial Intelligence Research DOI."
372,doi,10.1109/CVPR52733.2024.01262,IEEE/CVF and Crossref,https://doi.org/10.1109/CVPR52733.2024.01262,"Official CVPR 2024 proceedings DOI; archival title uses 'PC Graphical User Interface'."
389,doi,10.18653/v1/2026.findings-acl.184,ACL Anthology and Crossref,https://doi.org/10.18653/v1/2026.findings-acl.184,"Official Findings of ACL 2026 DOI; archival title contains an expanded subtitle."
413,doi,10.18653/v1/2026.findings-acl.1816,ACL Anthology and Crossref,https://doi.org/10.18653/v1/2026.findings-acl.1816,"Official Findings of ACL 2026 DOI; archival title is 'Benchmarking Agentic Newswriting via Journalistic Workflows'."
424,no_doi,,Official CVF Open Access record,https://openaccess.thecvf.com/content/CVPR2026/html/Yu_Ego2Web_A_Web_Agent_Benchmark_Grounded_in_Egocentric_Videos_CVPR_2026_paper.html,"The official CVPR 2026 open-access record had no archival DOI at the audit cutoff. The arXiv DOI is not counted as an archival publication DOI."
436,doi,10.18653/v1/2023.findings-emnlp.185,ACL Anthology and Crossref,https://doi.org/10.18653/v1/2023.findings-emnlp.185,"Official Findings of EMNLP DOI; source title was truncated."
463,doi,10.18653/v1/2025.acl-long.1065,ACL Anthology and Crossref,https://doi.org/10.18653/v1/2025.acl-long.1065,"Official ACL proceedings DOI; archival title uses singular 'Model'."
464,doi,10.24963/ijcai.2024/339,Crossref direct DOI validation,https://doi.org/10.24963/ijcai.2024/339,"Official IJCAI proceedings DOI derived from the official proceedings record and validated in Crossref."
505,doi,10.52202/085713-5647,NeurIPS Foundation and Crossref,https://doi.org/10.52202/085713-5647,"Official NeurIPS 2025 proceedings DOI; archival title says 'Improving Agent Reasoning'."
548,no_doi,,Official CVF Open Access record,https://openaccess.thecvf.com/content/CVPR2026/html/Bai_WebGym_Scaling_Training_Environments_for_Long-Horizon_Visual_Web_Agents_with_CVPR_2026_paper.html,"The official CVPR 2026 open-access record had no archival DOI at the audit cutoff. The arXiv DOI is not counted as an archival publication DOI."
659,doi,10.1145/3777911.3801104,ACM and Crossref,https://doi.org/10.1145/3777911.3801104,"Official ICPE Companion 2026 DOI; archival title adds '(Work In Progress Paper)'."
692,doi,10.1145/3774904.3792695,Official ACM Digital Library record,https://doi.org/10.1145/3774904.3792695,"Official ACM Web Conference 2026 DOI; publisher page verified even though Crossref indexing lagged at audit time."
801,doi,10.1145/3772363.3799039,ACM and Crossref,https://doi.org/10.1145/3772363.3799039,"Official CHI 2026 Extended Abstracts DOI; register title contains an audit-trail merge note."
