record_id,section,priority,year,title,publication_status,status_category,venue,identifier,verification_source,bibliography_eligibility,note_quality,evidence_readiness,pages,canonical_status_detail,final_exclusion_reason
1,S2,P0,2017,Attention Is All You Need,Published,Archival published,Advances in NeurIPS,,Verified in ACM survey,Eligible if cited,B,Ready for claim-level use,,,
2,S2,P0,2019,BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding,Published,Archival published,Proceedings of NAACL,https://doi.org/10.18653/v1/N19-1423,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
3,S2,P0,2020,Language Models are Few-Shot Learners,Published,Archival published,Advances in NeurIPS,,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
4,S2,P0,2023,Self-consistency improves chain of thought reasoning in language models,Published,Archival published,International Conference on Learning Representations,,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
5,S2,P0,2022,Training language models to follow instructions with human feedback,Published,Archival published,Advances in NeurIPS,,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
6,S2,P0,2022,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Published,Archival published,Advances in NeurIPS,,Verified in ACM survey,Eligible if cited,A,Ready for claim-level use,,,
7,S2,P1,2018,Improving Language Understanding by Generative Pre-Training,Published,Archival published,OpenAI Blog,,Verified in final SLR bibliography,Eligible if cited,A,Ready for claim-level use,,,
8,S2,P1,2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Published,Archival published,Advances in Neural Information Processing Systems,,Verified in final SLR bibliography,Eligible if cited,A,Ready for claim-level use,,,
9,S2,P1,2022,Finetuned Language Models Are Zero-Shot Learners,Published,Archival published,International Conference on Learning Representations,,Verified in final SLR bibliography,Eligible if cited,A,Ready for claim-level use,,,
10,S2,P1,2022,Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,Preprint,Preprint/technical report,arXiv preprint arXiv:2204.05862,https://doi.org/10.48550/arXiv.2204.05862,Verified in final SLR bibliography,Not eligible under strict journal rule,A,Supplementary landscape only under strict WWW rule,,,
11,S2,P1,2022,Large Language Models are Zero-Shot Reasoners,Published,Archival published,Advances in Neural Information Processing Systems,,Verified in final SLR bibliography,Eligible if cited,A,Ready for claim-level use,,,
12,S2,P1,2023,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,Published,Archival published,International Conference on Learning Representations,,Verified in final SLR bibliography,Eligible if cited,A,Ready for claim-level use,,,
13,S2,P1,2023,Visual Instruction Tuning,Published,Archival published,Advances in Neural Information Processing Systems,,Verified in final SLR bibliography,Eligible if cited,A,Ready for claim-level use,,,
14,S2,P1,2020,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,Published / peer-reviewed,Archival published,"Journal of Machine Learning Research, 21(140):1–67",10.48550/arXiv.1910.10683,Checked in local evidence note,Eligible if cited,A,Ready for claim-level use,,,
15,S2,P1,2023,GPT-4 Technical Report,Preprint,Preprint/technical report,arXiv preprint arXiv:2303.08774,https://doi.org/10.48550/arXiv.2303.08774,Verified in final SLR bibliography,Not eligible under strict journal rule,A,Supplementary landscape only under strict WWW rule,,,
